0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
8828,17399,14249,14985,15006,15866,15868,16081,16081,16081,16165,16350,17766,17813,17816,18212,18301,18301,18301,18077,17887,17990,17986,18532,18284,19944,19944,20317,20317,20317,20370,20914,17590,17221,17221,16984,14225,14156,11763,8802,9094,8638,8626,8626,7686,7910,7903,7910,7906,17502,47806,48309,48762,48778,48804,49091,49091,49091,49091,51461,52451,39883,39851,40154,39952,41404,38973,39399,39399,37589,35643,34790,35588,35551,35560,35216,34968,34968,34419,28202,28202,28210,27877,27755,27759,28001,28001,28147
37845,43951,43951,44231,44262,29491,29491,29931,29931,29931,30043,30133,32960,23767,23779,24002,24038,24039,24039,29235,29235,29303,29303,26101,22900,20666,20546,20762,20762,20762,20768,20887,21444,21474,21485,21102,17252,12505,12021,8700,7810,7616,7621,7639,6412,6250,6219,6241,9454,30488,28745,28898,31080,31217,31217,31462,31548,31548,31548,27358,23353,23424,21619,21425,21429,21524,20472,20841,20841,20595,20037,20161,21142,20957,20969,20870,20904,20904,20904,23972,23603,23695,23691,24216,24170,24487,24448,24614
9210,17630,17630,18076,18147,20364,20364,20788,20788,20788,20853,21469,24038,20412,20413,20780,20851,20819,20819,24183,23622,23622,18432,18687,18727,19960,19960,20222,20224,20224,20252,20482,22084,19585,19585,18740,18635,18631,24348,19184,18699,18699,18699,18304,14180,14513,14509,14533,24691,24691,29002,24782,45573,45596,45614,46008,46083,46083,46083,26632,21871,21782,21427,21203,21244,21698,21468,21662,21662,21635,21689,21839,23176,23192,23186,23303,23380,23380,23380,27117,27095,27150,27120,27380,27400,28125,28125,28320
19591,18817,18817,19058,19111,20829,20833,21206,21206,19871,19946,20163,31796,29149,27390,27731,27781,27783,27783,27100,27100,26566,14998,15211,15254,16081,16083,16390,16390,16390,16464,14999,16216,16211,16211,13121,12288,12280,11578,10699,9792,9769,9769,9769,9769,8897,8892,8892,51662,49150,49166,49222,40991,41017,41017,41029,41035,41035,41035,39689,38128,36924,33976,33526,33102,33987,32830,33031,32479,32275,32314,32509,33721,33751,33751,33763,33484,33484,33484,28139,28134,27991,27741,28207,28198,29499,29378,29552
32067,18715,18499,18406,18418,19751,19751,20024,20024,20024,20078,20326,22028,21835,21695,21851,21886,21886,21886,27283,27283,27306,23796,24024,24055,25289,20347,20689,20679,20679,20686,20727,20130,20130,20130,20132,20132,14210,13950,10240,9782,9765,9763,9771,8922,8628,8616,8613,8612,10208,13811,13811,19229,33481,33483,33483,33500,33500,33500,32526,25153,24741,24675,22713,22772,23091,21869,21900,21900,21648,21712,21751,22366,21826,21476,21047,21072,21016,20957,22074,22074,22074,22074,22117,22095,22365,22365,22429
37761,69463,69465,69871,46858,35079,34995,35285,35285,35285,35322,31462,21399,36409,32371,32534,32554,32556,32556,18415,17286,17311,17313,17495,17536,17932,17932,18218,18218,18218,18248,18425,19775,19672,19674,19786,18342,18344,17834,17647,17563,14842,14741,14628,14066,14454,14454,14492,14492,14492,19805,15258,24333,24313,24328,24517,24549,24549,24549,18310,18310,17921,17761,18195,17518,18437,18437,18013,17994,17994,18104,18524,18990,19026,19026,19108,19307,19070,19070,20853,20819,20782,20761,20852,20871,22678,22678,22740
34926,59336,53567,53865,53959,55466,55466,55911,55913,55913,56000,56618,42001,37986,37991,38347,38390,38390,38390,39895,39022,39141,39141,39563,35448,35168,34785,35169,24115,24067,24073,24190,24934,24979,24981,24866,24867,21294,18565,19860,12092,11105,10999,11035,11042,11315,10988,8990,8990,8989,8986,38436,41767,41775,41788,42137,28421,28421,28421,31730,31730,31786,31791,32070,30742,32128,31925,32119,32119,32119,32201,32089,33154,33189,33189,33516,33536,33531,33186,28954,28954,29014,28660,28934,28943,30329,30329,30856
35341,15053,14328,14494,14543,15678,15678,15993,15993,15993,16009,15633,16240,16247,16252,16556,16592,16592,16005,14943,14943,17827,17710,17747,17754,16096,16096,16115,16115,16115,16117,16023,16069,19328,19339,19259,17890,17321,17317,15114,5587,4919,4794,4534,4474,4491,4491,4518,11320,28529,27450,27642,29018,29050,29055,29521,29679,29686,29686,25763,25763,25202,25207,24240,24251,24395,24200,24580,24545,24545,24659,24815,26021,26118,26130,26570,26681,26671,26671,28998,27602,27304,26900,27199,27195,28210,28210,28598
12988,5582,5582,5620,13510,13143,13139,13200,13200,13200,13213,13266,13574,13582,13582,13875,13921,13921,13921,8348,8339,7683,7666,7717,7734,8680,8680,8801,8801,8801,8874,8981,9594,9636,9147,9410,7765,7567,7559,8137,8137,7899,7594,7560,7556,7606,9494,13379,24391,16699,18031,19453,19917,19937,19944,20337,19922,19922,19922,21600,21600,19109,19114,19662,18692,18562,18529,18592,18522,18522,18573,18631,19011,18821,18821,19036,19062,19062,18897,21273,21278,21418,21245,21495,21537,21908,21851,21956
34980,78801,66951,61490,60511,44846,44846,45050,45050,45050,45073,45143,37802,37813,37813,37868,37868,37868,37868,25698,25698,25705,25663,25657,25661,21567,21128,21135,21135,21135,21144,21152,27588,27577,26160,26236,23539,23539,14588,12745,10317,10241,10114,10205,10216,9284,8960,8990,8987,8987,8995,16140,17842,20137,20530,20817,20926,20926,20616,23856,23760,23636,22040,22316,22162,22843,22843,22807,22788,22776,22390,21266,22220,22344,21860,21934,21625,21615,21598,22838,22840,22656,22410,22800,22816,23300,23300,23713
19959,26150,19915,20004,20012,11972,11972,12067,12067,12067,12097,12223,12893,12569,12569,12689,12713,12713,12713,7767,7468,7504,7451,7703,7730,8212,8212,8391,8391,8391,8419,8236,9027,9049,8620,8738,8778,7336,6546,7952,7332,7336,7100,6895,6895,7013,7010,34965,37387,37387,37456,37585,40265,40360,40360,40822,40826,40831,40831,33995,32636,32067,32072,31764,31892,33283,33075,32858,32628,32067,31887,31877,32088,32099,32099,32603,32616,32616,32616,27401,27401,27167,27169,27556,27590,28436,28436,28147
6608,9940,8744,8915,8927,9900,9902,10121,10121,10121,10169,10428,11333,11247,11252,11416,11498,11500,11500,11288,10941,11004,11006,11398,9409,10398,10400,10595,10595,10595,10615,10783,11667,11698,11700,11544,10276,10252,9739,8635,8415,8413,8413,8428,8006,8001,8001,7996,7996,8268,8268,12284,7756,25576,25576,25872,25937,25937,25937,30149,30154,29078,28877,26227,24432,25004,24619,24906,24156,24156,24216,24334,25740,25764,25513,24945,24951,24953,24749,29722,29722,29605,29391,29425,28934,30433,30435,31213
7680,8136,8136,8321,8121,8968,8970,9135,9135,9135,9199,8825,9109,8943,8934,9227,9255,9257,9257,10587,10589,10651,10614,10888,9863,10524,10524,10780,10780,10780,10818,11053,12301,11156,11041,11292,11311,10501,10399,14772,8016,6845,6133,6066,6057,5964,5954,5968,5965,5965,5965,5965,7044,9063,15901,21588,29114,28969,28969,34542,34542,34555,34557,20907,19820,21121,21068,21253,21058,20812,20842,20913,21842,21898,21470,21392,21132,21126,21121,24043,23720,23771,23771,24024,23916,24984,24810,25241
