0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
218,179,134,130,110,111,111,116,116,116,123,122,152,154,155,172,177,161,161,144,139,146,99,103,87,85,85,90,90,90,92,101,54,19,19,14,15,15,12,14,14,14,12,12,10,8,7,6,5,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
322,146,146,157,162,207,207,229,229,229,237,232,262,237,239,252,257,258,258,365,360,366,366,191,107,54,44,36,31,31,31,33,37,32,32,19,12,9,9,12,10,10,8,8,6,5,4,4,3,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244,203,203,213,215,158,158,163,163,148,150,168,197,96,96,100,103,71,71,94,52,41,41,41,36,37,37,38,38,38,39,39,32,28,28,17,17,16,13,12,12,10,10,7,6,5,3,3,2,2,3,4,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
241,230,230,243,250,296,297,310,310,262,271,287,304,214,171,183,189,189,189,216,204,164,71,76,77,85,85,89,89,89,89,51,40,26,26,17,17,17,13,13,13,11,9,9,7,5,4,3,3,2,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
409,157,152,142,144,159,159,168,168,168,176,185,186,177,129,133,99,99,99,143,143,144,58,45,46,44,26,26,26,26,27,27,28,28,28,23,23,13,13,11,10,10,8,9,7,6,5,4,2,2,2,2,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
236,235,235,253,145,161,152,116,116,116,116,91,64,69,39,39,41,41,41,46,42,35,35,32,33,36,36,36,36,36,37,41,43,24,21,23,13,13,12,11,11,9,9,9,6,5,4,3,2,2,3,4,4,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
512,339,304,319,330,365,365,398,399,395,401,424,477,375,376,395,402,402,402,538,521,535,398,414,279,173,150,142,68,65,53,60,60,61,61,42,29,18,18,19,14,13,13,15,13,13,8,6,6,5,3,4,3,3,3,4,4,4,4,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
312,203,133,137,141,153,153,159,159,159,161,137,141,143,146,157,160,160,106,94,98,51,46,50,52,52,52,52,52,52,52,35,32,28,28,19,12,12,12,9,9,9,7,9,8,8,8,6,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215,98,98,101,126,99,85,85,85,85,85,75,80,80,48,50,51,51,51,56,53,34,23,22,20,21,21,21,21,21,22,22,19,20,14,14,11,11,11,9,9,7,6,5,3,2,2,2,3,3,2,2,2,2,2,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
256,355,266,169,137,89,89,95,95,95,95,91,91,80,80,53,53,53,53,62,62,62,53,53,53,53,38,32,32,32,32,33,29,28,14,14,8,8,8,11,11,11,10,8,7,6,5,5,3,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
232,137,108,110,110,106,106,110,110,110,104,106,110,73,73,73,73,73,73,73,71,50,42,40,35,36,36,43,43,43,36,25,14,13,9,9,9,9,9,14,9,9,8,7,6,5,4,3,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
113,111,91,92,92,89,89,97,97,97,98,109,98,99,99,68,75,76,76,101,79,73,73,65,39,24,24,26,26,26,27,30,23,18,18,14,14,14,12,11,11,11,9,9,6,5,5,3,2,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,80,80,85,76,87,87,88,88,88,83,79,82,82,80,62,62,62,62,76,76,83,68,68,48,53,53,57,57,57,57,62,72,43,27,23,23,16,16,17,11,11,9,9,9,6,6,5,4,3,3,2,2,2,2,4,4,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
