0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
361,315,182,185,190,194,192,207,203,149,152,159,171,173,146,133,126,126,104,110,79,79,79,80,82,89,76,58,58,58,52,52,39,36,30,23,19,19,19,23,19,17,12,12,10,10,8,7,7,7,7,7,7,7,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,80,80,85,92,103,103,106,106,106,65,80,90,81,81,95,98,93,93,105,105,81,66,53,54,58,51,55,56,54,56,54,32,33,32,31,31,30,26,33,25,19,17,17,17,11,9,8,7,6,6,4,3,3,3,5,5,5,5,5,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
512,306,285,297,297,319,319,268,266,257,213,233,267,267,211,183,100,64,64,80,80,82,82,82,83,75,75,77,77,77,77,68,69,71,71,57,45,43,41,33,32,22,19,20,18,15,16,16,16,9,8,7,7,7,8,8,7,6,6,6,6,6,6,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
471,306,306,252,181,224,149,164,164,164,165,190,198,174,174,180,181,181,181,219,220,229,226,230,233,228,276,244,244,221,156,85,85,67,46,46,43,26,26,26,23,23,23,16,10,10,9,9,9,9,9,9,9,6,6,6,6,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
577,353,224,135,135,147,147,152,152,152,159,119,145,145,145,153,142,133,133,173,173,178,178,188,193,199,184,170,114,124,117,74,43,43,43,43,30,26,25,28,23,18,9,10,10,8,8,8,8,8,8,7,7,7,7,7,6,6,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
313,259,285,280,279,258,254,261,261,239,304,313,308,115,111,115,111,111,111,119,119,123,87,87,89,93,79,85,70,70,73,75,81,62,46,52,52,40,23,24,20,20,20,16,14,14,10,10,9,9,9,9,9,8,8,8,7,7,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
236,204,178,152,144,119,119,124,71,71,73,77,79,79,79,82,66,66,66,73,73,55,55,56,59,38,38,33,33,33,34,36,39,23,22,25,20,15,15,17,15,15,9,8,7,7,6,6,5,2,2,4,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
183,198,184,189,148,141,175,176,176,176,177,176,161,165,165,169,170,175,148,100,100,100,72,51,50,40,29,29,30,22,22,23,24,25,22,23,24,19,18,20,19,14,13,10,7,7,6,6,6,6,2,2,2,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,146,102,99,94,58,55,55,55,55,58,58,58,59,60,72,72,72,71,67,67,67,67,63,67,68,68,72,53,47,40,35,36,37,29,27,27,23,23,25,24,21,18,18,12,11,10,6,5,4,4,5,5,4,4,6,6,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
259,166,91,91,91,102,102,108,108,102,104,75,84,85,85,89,93,93,93,128,128,136,137,87,87,98,98,109,109,105,106,113,94,55,55,27,19,19,18,20,15,15,15,15,15,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
