0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
40877,68080,68090,70134,70560,79258,79274,81765,68633,68635,69175,71426,78184,78699,78772,79025,79645,79652,79652,64965,64967,65347,65354,67128,67566,72156,72166,74409,168107,325547,312285,320431,345162,347128,317034,230315,195843,193192,186116,155192,154887,154761,154756,155022,155049,142678,142678,142945,179289,169148,164357,163532,175830,157734,156743,159166,159678,158091,158062,180919,179280,179835,179843,181468,182445,186580,186599,189089,189096,189099,189667,191220,186720,187008,177283,178973,177293,175043,175043,203412,202512,203270,203285,205461,205742,219320,219350,224965
161025,433982,433984,435594,435630,323082,323094,315178,292102,292102,292753,293737,245809,245836,245843,246646,246816,245052,245048,188510,188519,188733,187057,188529,188625,193761,193772,194490,194497,192856,216508,216756,199397,188599,176300,173657,173480,173069,173064,120892,120822,120850,104981,159307,166904,147246,140038,136124,136128,183587,184067,184614,191190,212159,212252,214587,214578,214588,214572,240747,238715,237112,236909,239044,239617,249243,245568,248676,248706,248708,249241,249848,253484,253997,254057,255978,256787,256808,256808,230067,209708,198540,197044,197763,198116,210246,210253,214217
140970,98213,97994,99645,99981,107729,107744,110694,110698,109676,157538,158452,166904,167297,167330,169522,169914,169923,169923,120177,76845,76976,76976,78049,78468,85995,85981,87386,87634,86694,86945,87885,137980,110940,105920,106002,104434,104434,194600,242215,219545,194697,191450,189027,185475,189088,188886,190567,190575,190575,190784,179936,181716,181854,181870,182415,182586,182278,182181,141818,141586,141275,132045,132228,132727,140563,140571,143325,141496,141496,141897,139551,145094,145822,145869,146495,146717,146717,146717,190725,190727,191131,191139,192564,192852,195975,192143,193610
280149,264898,215180,177363,176517,132473,132485,133802,133805,133805,134173,135794,122120,106745,102780,103726,103933,103934,103934,106419,106432,106852,106857,106058,103656,106878,106880,107504,107510,107510,107582,106039,176157,327407,327414,283357,280970,280915,280620,210415,190281,187558,187156,184972,175344,179906,179880,182539,182553,182555,182854,185075,195781,196078,196206,197269,197915,197919,188584,155235,154873,153091,152578,154480,155066,155257,148417,150669,150694,150694,151313,152334,159284,159661,159713,161874,162256,162276,144894,170434,161260,161885,161905,163510,163954,167529,167529,169775
346348,230817,332988,337311,338365,359059,359112,370001,370087,370089,370438,371448,296894,297332,297412,299423,299939,299943,299943,223649,155447,154978,154989,156050,156244,162533,162542,164291,159522,151971,152250,153201,155955,150319,140686,125361,101455,97545,96941,84246,83948,83990,83356,83810,83927,108612,149938,134646,134654,134654,135226,137155,140684,140999,141149,142802,143487,143334,209873,180548,180552,173302,158503,161210,161243,169556,169558,173215,173230,173232,168156,170734,175671,173285,173485,178598,179225,179281,177224,191086,187077,188286,188322,191230,191675,198526,198530,202776
198535,1287606,929929,867852,869749,648990,535746,538669,529085,529085,529745,532334,416634,398082,398082,398836,399209,398907,398907,265947,265949,266022,265845,212913,211077,166841,166785,166947,166947,166947,166983,167077,153795,139178,139182,139457,138784,158109,132138,123888,85661,81386,80867,80346,80211,80845,80822,191272,169859,168551,168666,170445,174133,174862,174915,174408,174966,174577,174577,159112,159126,159142,157001,158475,158568,162309,162314,162766,162771,159849,160013,161923,172238,172499,170985,170950,171497,171506,171506,184347,181328,181782,181803,185991,185306,188624,188626,190743
122722,828255,893022,910077,787626,859305,859632,893636,891597,790867,792448,795008,574138,575944,576295,585825,586751,585613,585230,483399,483405,483864,483871,484540,476193,367881,367640,369053,341440,312540,313747,317812,332126,334007,334101,340093,339096,309582,305156,312932,312921,308192,308207,310349,306991,317418,310199,311432,311381,243895,210899,213168,220431,215906,211400,208096,208478,208310,201330,223551,223480,216372,214135,216265,216655,218264,215418,216125,216142,214986,215592,217223,224594,225358,225391,226812,227071,227078,227078,192230,192246,192880,191740,194106,192210,195791,195429,197363
164178,232681,232711,237861,187161,203128,203215,209262,209289,209289,209627,211572,169515,170040,169236,171304,171565,171577,171577,178392,174302,158748,157305,157537,103145,108872,108926,110340,106745,95932,95155,95858,102350,102497,102504,98444,97535,95674,95670,105072,111025,97389,92188,126857,116626,274575,273243,255478,254967,254967,255625,256908,261794,262126,241971,189259,189422,189422,189422,146581,137730,138124,138136,140080,140051,147918,147957,150387,150389,150391,150652,152068,156418,156924,156966,160043,160775,160783,160783,188454,188482,189173,189183,183334,175949,182324,176942,175760
192775,365644,365163,268770,226343,190087,190092,194225,194083,194083,194395,197999,516464,395360,375167,322537,278146,278148,278148,157660,153000,153013,153013,153174,153201,231605,231665,240028,240032,240037,240856,243765,248839,224825,224996,234050,232299,232246,184264,187950,183390,183328,183243,183931,183941,196553,196560,198998,199015,199015,199225,199615,204827,204636,199757,196875,196782,196524,195898,159069,158263,157498,156847,154617,154739,163812,162283,164997,164898,164893,164991,166535,176359,176880,176936,180191,180414,180422,180422,191138,191140,191236,191238,191685,191778,195057,190688,191012
91134,45879,37977,38458,38753,40986,40993,42677,42680,42680,42963,45262,91831,92196,92254,93995,94504,94509,94509,92110,92112,213691,197873,179837,180322,184931,184937,186361,184640,184640,184673,185054,146299,146322,146327,146212,146244,135801,135379,95143,180352,159021,176486,154931,151979,158760,158566,160436,160438,160445,161062,162353,169267,169800,169832,169572,169991,169932,169929,211155,211155,211410,211439,211958,212991,277640,274339,276172,275838,275691,276283,279044,292424,292533,292565,296808,297614,297618,297613,254534,226801,223408,223410,208216,206438,203963,201670,196716
63803,159836,94163,87373,87712,91300,585907,592203,445297,445302,446214,452742,462372,463995,464410,467660,468737,468753,468753,337499,337499,337556,337556,286534,286626,247459,247459,197654,197654,197654,197730,197985,180045,249827,250378,254444,255948,249808,247402,236844,210847,209648,208185,233853,234337,241735,241764,244999,245043,245043,246522,248564,266401,256824,255499,258326,259084,259086,259086,272133,272133,272301,272301,272568,272819,224689,224691,225326,225326,225326,225458,225952,229421,229625,229645,230196,223048,222144,222084,184982,184982,179975,179975,169424,166628,166987,164639,160585
66937,75894,62975,61889,61172,64319,64319,64647,64649,64649,64801,65092,69226,69362,69415,70218,70400,70407,69719,60195,59740,59862,59873,60525,60592,62139,62155,63043,63043,62962,61273,62087,64201,57758,56800,56703,50049,35992,30729,32666,31010,31092,31087,30647,28890,28939,82066,94970,85227,85227,85273,86001,86112,86150,86192,87031,87404,87404,87404,92109,92091,92461,92270,93851,93074,101761,101747,103521,103532,103534,103613,106043,116990,117228,117279,118486,118889,117270,117270,125253,125255,125866,123975,124446,125402,129618,129705,127304
206408,204170,199416,201358,201732,160798,160804,163752,163754,163754,164460,167142,172831,169255,169304,172459,170543,170388,170388,180038,180045,180443,180451,182958,183138,189649,134672,121953,71387,71387,71658,72515,77343,77462,77480,78716,78095,78041,78041,86844,85134,157643,156157,156283,112443,49334,59553,99125,132116,152265,127355,125448,130597,131178,131231,132552,133371,133381,133334,155280,152376,150628,150299,151851,152540,167000,167015,170271,170288,153988,154570,155889,162986,163578,163699,165727,166185,166193,166193,191878,191893,185863,183659,181031,178894,181632,173915,177811
70386,50921,50928,51326,51678,56149,56164,58375,58395,58395,58881,61055,67577,61841,61796,50966,51226,51232,51232,66512,66514,133495,129819,126662,126460,108517,108519,108780,108222,108222,108274,108503,84751,84744,84402,84792,81831,78971,78971,68511,46732,46738,45076,45024,44994,45203,45203,44167,115725,115725,115744,116018,112542,147884,135894,138331,138664,138691,138691,157211,155995,145285,140006,140169,140355,147451,147491,149490,140482,140482,140499,140733,142221,132903,127971,128213,127615,125944,124010,130165,130165,130354,130354,130991,130292,131373,127793,126014
70372,142786,89564,85729,85855,90454,90454,91435,91437,91437,91758,93073,96014,96227,96259,97471,97735,97758,97758,71011,71013,71399,71399,73298,57542,60433,60435,61378,61328,61298,56115,56737,59923,60204,52319,52649,51383,51322,51312,38823,31069,30939,30212,30288,30342,30558,98847,180623,175663,175663,169302,171273,176765,177646,173534,175021,175381,174775,174797,160764,160721,160889,160889,157123,157448,163445,163021,166174,163482,163451,164288,165344,173043,173811,173891,177098,177546,177582,177582,185699,185706,178829,173143,175865,176160,185037,185093,187612
385629,408894,607411,354980,355494,288502,247620,250386,250389,250389,250883,252906,257863,249372,233310,235309,235614,235616,235581,179051,144131,142361,359969,348009,348051,312354,312354,263912,240528,240528,240579,238607,214902,214957,214964,164656,164696,164696,164696,129298,127093,126851,126853,127008,127042,116778,116778,110118,110098,161885,135493,133317,196041,187902,185523,183778,184897,183522,182842,194618,187696,187809,185627,175861,174577,177514,177526,179477,179481,179481,179870,181452,187738,187960,187964,189401,189771,189771,189771,147590,147590,147827,147829,148590,148648,149183,149183,149753
221424,132016,95438,96829,97156,104828,102711,104923,99725,99725,99899,101145,107017,107204,107248,109272,109572,109584,109584,105197,114912,99899,102834,94954,95005,95831,95831,96095,96095,96095,96122,96255,162203,162248,162250,152552,151662,151637,199417,224125,224130,224677,205729,198876,197745,202763,202769,206269,202115,202127,203378,196722,207076,204819,204254,206358,206957,207003,207003,188015,185342,183620,183587,185043,185387,185944,185944,189972,189974,189974,190149,191399,201565,201994,202016,206336,207013,207055,207055,231923,231984,232943,232946,221588,216535,213272,205790,206848
