0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
150815,231371,788663,595006,954467,2460544,920616,2603446,1075438,2994494,1462353,1257901,1225082,1199714,665533,669421,550302,1367438,1323296,1271351,693029,701676,1235893,702199,760272,1308700
129384,1373950,517454,1671692,402826,1016957,401616,466311,463325,478929,1121558,1322697,1108435,1122179,884872,563332,791260,775867,863090,806280,801624,832183,824739,808581,847377,801158
171387,184486,749939,669957,702447,258380,712879,771163,749391,683425,655473,238614,238616,667019,397506,422648,428567,512625,1409748,1120616,1059110,1040048,1034504,1001388,1012188,1030942
47250,236211,204141,589447,1736394,1533558,1486316,722165,722268,747411,1638815,753863,1301155,1369408,1113604,1800547,1794557,932028,914234,1688346,1373774,769303,1404086,1386899,1378939,1480621
6673,23287,47527,25011,37092,3162123,2868358,3015699,3170305,3238540,3204186,3196592,3228091,3208887,1613193,1644329,1598075,1525320,1523784,1511114,1508439,1506467,864552,860549,1187192,1141672
163664,100400,529783,1407594,743273,1739090,1616790,1868168,2156312,2189874,932692,1947487,1940901,1940901,1075724,1094999,1093625,1056844,1062376,1047602,1069709,1074245,1112361,1111076,1073454,1080927
86294,57730,32668,568363,185413,185568,843397,866157,845480,866906,823542,732866,731882,712202,339756,312061,353697,307712,335065,295602,351175,349571,321138,353152,359926,352511
113162,177424,115598,64929,73931,85472,298595,101023,339798,318817,333032,113338,333931,112860,224459,255045,241157,224406,255125,270455,262010,230231,160868,253099,251367,238268
282995,170316,155305,101301,108210,96950,81685,92452,98014,98196,96770,98304,85500,95752,131731,150147,140296,131405,149804,151865,147036,137592,152224,156718,130108,133330
81249,2638456,721725,345167,578924,577441,563282,646389,606158,1557643,1450592,1362167,1362163,1365971,908784,903074,901223,901210,781722,1005533,924243,1000245,944675,976870,1068287,1063251
34107,126128,409331,353767,339540,1684835,1967370,1876576,879445,2085483,2111794,1819460,2016193,1784683,885963,886859,890308,906585,886673,886769,1121777,1178051,1134901,1177254,1239779,1235458
20311,200769,182922,713086,1104841,823485,815871,1426074,636201,1592973,630460,1619681,1399365,1399365,681743,679175,780593,801493,748954,801339,764364,735104,585613,719377,774600,759718
41864,123679,254497,290634,347628,372315,367836,142407,372153,352447,366609,147188,126727,126719,317099,320605,321290,314078,314228,319212,229263,241291,233478,236856,257549,239435
11270,104558,113713,76962,346441,91345,297342,297837,91524,93954,94570,94622,290797,230569,296744,165382,263408,290753,245911,271309,292759,260002,154921,259293,302542,295589
43071,31012,481471,884239,683749,536580,1503686,1325648,1543916,1554163,1364167,581814,581823,1306198,924492,827542,849984,842878,762498,713170,722194,756022,745517,731375,783931,739015
