0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
637,560,509,177,301,144,95,117,99,115,69,69,42,19,25,25,12,9,4,2,2,2,2,2,2,1
401,431,170,128,94,79,76,89,70,31,31,26,26,18,12,3,3,3,3,2,2,2,2,2,2,1
452,403,257,190,234,214,200,233,137,68,38,38,38,28,23,13,13,13,13,8,5,2,1,1,1,1
851,1155,984,485,265,155,157,118,93,94,75,75,61,58,53,53,37,21,6,4,3,3,3,2,1,1
234,298,206,89,49,136,131,140,141,125,127,127,127,72,85,85,73,31,24,24,12,7,7,7,1,1
524,116,169,155,186,131,139,157,131,146,156,159,159,159,157,85,32,32,12,12,2,3,3,3,3,3
679,435,117,208,243,213,176,191,190,159,101,59,49,42,45,30,21,8,3,4,3,3,3,3,1,1
772,538,196,73,66,58,43,33,35,37,38,38,31,31,43,41,23,23,21,12,7,6,5,5,2,1
713,289,97,51,64,62,56,67,38,42,29,29,29,19,13,13,11,7,4,6,6,6,6,3,1,1
211,654,446,262,309,224,144,161,65,73,79,65,59,59,49,26,13,4,4,1,1,1,2,2,2,1
190,178,193,171,138,161,170,209,209,96,43,41,41,36,44,31,13,13,13,3,2,1,2,2,2,1
492,362,248,234,229,129,80,41,41,15,16,18,18,11,11,12,12,12,12,5,5,1,1,1,1,1
453,653,195,192,152,137,63,57,65,71,49,21,22,22,25,25,19,6,6,3,2,1,2,2,3,2
56,229,201,124,173,141,157,47,39,40,33,33,41,30,28,28,17,10,10,5,1,1,1,1,1,1
455,146,206,134,110,78,49,57,57,55,46,46,38,38,44,26,15,10,4,5,3,3,3,3,1,1
633,405,232,56,60,81,83,99,97,68,70,68,61,40,65,31,17,6,4,3,1,1,1,1,2,2
692,261,143,86,85,80,144,117,78,90,64,51,51,51,44,28,13,13,10,5,3,3,3,3,1,1
816,297,430,194,126,109,61,74,55,35,36,30,30,21,27,20,6,3,2,2,1,1,1,1,1,1
308,403,157,65,75,78,56,83,77,88,90,62,43,28,27,16,9,9,9,6,3,1,2,2,2,1
655,549,565,262,120,110,85,44,45,40,42,40,36,33,19,19,7,7,2,1,1,2,2,2,2,1
817,827,225,141,187,118,57,65,62,65,66,43,31,31,38,22,14,4,3,3,1,2,2,2,2,1
497,478,348,170,114,106,59,75,81,89,91,68,44,35,36,20,12,7,5,5,5,5,3,3,1,1
91,291,214,281,235,181,181,122,96,72,75,57,11,11,15,15,15,7,7,3,3,3,3,3,1,1
187,168,163,177,171,169,175,202,83,77,78,67,60,60,65,21,21,13,13,3,2,1,2,2,2,1
108,299,156,110,138,172,156,94,94,41,30,30,30,30,34,34,19,13,13,6,6,4,3,3,4,1
204,215,254,157,220,178,173,172,58,61,51,33,33,24,32,32,33,18,11,8,3,1,2,2,3,2
473,232,252,184,141,138,91,105,92,94,77,71,49,49,50,24,17,17,10,5,1,1,1,1,1,1
197,196,185,168,265,169,121,95,96,116,89,80,80,47,53,39,39,12,4,3,1,1,2,2,2,1
1396,498,201,105,140,123,137,166,73,70,77,59,54,47,50,29,21,5,5,2,1,1,1,1,1,1
430,313,212,99,94,73,55,51,42,40,34,35,28,17,27,17,17,10,5,5,5,3,2,2,1,1
1255,1053,202,142,96,93,88,111,71,46,20,20,20,10,13,7,7,3,4,3,1,1,1,1,1,1
233,516,355,226,154,37,29,33,24,23,8,8,8,8,12,10,10,7,7,6,6,6,4,3,2,1
303,443,416,208,312,242,252,225,114,109,91,63,64,64,47,28,9,9,9,6,6,7,3,3,1,1
522,402,213,161,137,110,110,138,141,84,89,97,61,61,77,67,20,10,6,7,7,4,4,2,1,1
313,501,358,217,155,119,150,133,133,85,58,58,58,58,60,48,46,29,14,16,12,8,5,2,2,1
156,386,145,130,146,212,213,159,66,73,54,49,49,40,67,31,14,5,8,8,8,5,3,3,1,1
1066,546,247,192,140,137,119,117,58,58,40,39,39,27,37,37,37,30,24,15,8,8,5,5,1,1
276,259,175,117,137,114,121,146,124,64,64,64,42,42,53,51,47,44,17,9,13,9,4,3,1,1
227,174,121,127,109,85,85,82,33,29,29,29,29,13,26,15,13,5,6,2,2,3,3,3,3,1
766,492,279,288,245,225,171,194,93,93,95,53,53,46,16,14,7,7,7,1,1,2,2,2,2,1
747,183,178,115,199,165,149,79,47,47,43,43,25,25,10,8,8,5,3,4,3,3,3,2,1,1
497,286,48,40,49,81,55,60,56,56,60,52,42,39,25,19,19,6,6,3,3,3,3,3,1,1
141,276,274,260,317,183,131,140,115,47,46,47,24,14,20,20,15,15,15,16,16,14,6,2,1,1
248,279,149,127,232,222,205,236,156,130,136,111,45,45,45,54,54,37,37,40,23,7,8,1,1,1
290,578,578,355,96,197,157,102,133,112,54,37,31,28,39,39,21,12,12,13,13,5,5,2,2,1
480,498,320,116,102,69,45,55,46,40,35,32,32,33,24,10,10,5,4,4,4,2,2,1,1,1
657,459,278,240,320,209,123,57,40,49,36,29,23,23,16,7,7,4,4,3,3,3,4,2,1,1
602,656,555,214,139,119,78,56,56,58,41,42,42,31,46,33,33,21,3,3,3,1,1,1,2,2
207,363,265,225,76,55,59,79,66,59,54,41,22,22,13,13,10,7,7,1,1,1,2,2,1,1
322,510,265,79,94,73,60,60,58,55,57,48,44,44,53,41,25,27,9,4,3,2,2,2,1,1
