0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
182,177,164,207,85,38,40,102,44,31,21,21,9,9,9,9,10,13,16,16,12,6,2,1,1,1
182,336,965,578,137,96,71,113,76,67,54,23,16,11,10,10,10,10,10,10,8,4,1,1,1,1
63,176,457,622,147,47,42,100,79,55,56,48,35,17,17,11,11,11,12,12,5,3,2,1,1,1
400,358,309,204,172,75,52,58,35,38,23,18,11,11,7,7,7,10,10,10,10,10,4,1,1,1
398,148,261,215,140,54,39,185,117,43,30,25,16,12,8,8,8,8,8,8,8,4,2,2,1,1
38,14,5,104,50,151,108,81,43,43,30,23,25,14,10,5,4,4,4,4,4,4,4,2,1,1
243,130,137,114,38,25,34,63,25,30,44,44,35,31,31,31,31,31,33,33,24,29,4,2,1,1
88,115,95,228,169,119,54,98,78,78,55,55,39,35,23,12,10,11,13,13,13,16,16,8,8,2
378,89,114,78,70,196,102,87,57,29,29,29,29,19,17,10,4,4,4,4,4,5,5,3,2,1
122,227,124,937,839,480,253,213,125,49,22,23,22,15,11,11,11,13,13,13,10,11,2,1,1,1
396,1568,658,899,503,80,48,69,59,56,61,51,51,41,32,10,10,10,10,10,10,10,4,1,1,1
287,660,364,192,87,83,76,121,73,62,42,26,16,15,13,11,11,11,11,11,11,13,6,6,1,1
135,89,124,100,201,128,99,74,62,54,32,17,14,15,15,15,15,15,15,15,15,15,9,6,1,1
254,96,91,140,145,95,114,141,113,70,45,32,24,16,8,5,6,6,7,7,7,7,1,1,1,1
378,1044,418,624,401,254,183,151,82,73,63,18,13,11,8,7,7,7,8,8,8,9,4,2,1,1
168,685,739,572,417,348,194,92,68,74,48,38,34,34,23,13,9,9,10,10,10,11,4,2,1,1
527,457,203,212,90,28,25,27,21,15,20,10,12,14,7,5,4,4,4,4,4,4,4,2,1,1
230,192,285,177,109,54,56,37,34,34,16,16,14,14,13,8,8,8,8,8,8,5,2,1,1,1
107,86,195,152,130,88,68,78,85,59,37,24,22,16,14,14,14,14,14,8,8,4,1,1,1,1
532,174,84,183,204,179,149,68,54,29,17,17,7,7,7,7,7,7,7,7,4,3,3,1,1,1
468,63,31,43,17,44,79,48,20,17,19,14,14,14,13,13,13,13,17,17,17,16,6,1,1,1
284,178,265,86,18,49,23,32,21,21,24,13,13,13,8,6,6,7,8,8,8,8,4,1,1,1
288,219,316,385,137,121,90,73,42,42,40,27,33,22,22,22,22,22,22,18,18,8,4,1,1,1
545,207,150,114,132,50,46,34,44,29,53,16,16,14,22,12,10,10,11,11,11,14,14,4,1,1
271,171,279,124,117,57,36,27,43,15,30,31,25,22,22,16,10,10,10,10,10,11,11,2,1,1
555,190,156,283,96,78,87,120,78,35,28,25,19,19,10,10,10,10,10,10,10,10,3,1,1,1
815,1516,446,158,118,69,39,63,46,27,33,30,32,14,14,14,14,14,14,14,9,4,1,1,1,1
76,209,221,127,94,146,126,119,92,69,50,32,16,7,7,4,4,4,4,4,4,5,3,1,1,1
559,173,69,66,66,357,91,110,68,45,31,50,63,46,43,27,27,27,17,17,17,15,12,7,1,1
500,175,111,51,147,62,29,64,27,20,47,32,16,16,10,8,8,8,8,8,4,2,1,1,1,1
484,205,156,345,132,103,92,119,66,46,38,25,19,17,17,17,17,17,17,17,11,7,2,1,1,1
171,168,337,138,143,95,33,50,29,13,18,19,17,13,20,20,20,20,20,20,20,16,16,3,1,1
325,547,267,239,113,93,56,43,38,33,36,37,37,37,37,25,13,13,16,6,7,7,1,1,1,1
281,162,676,164,103,58,38,37,30,28,42,52,52,52,52,52,52,58,63,49,49,20,13,8,2,1
329,612,153,99,62,60,34,55,35,26,22,31,31,26,13,13,13,13,13,13,13,4,2,1,1,1
200,424,164,141,102,57,48,67,56,32,27,18,16,13,13,13,13,13,16,16,12,6,4,1,2,1
308,173,106,49,121,85,137,148,52,31,30,13,11,11,11,11,11,15,18,14,7,7,1,2,1,1
176,230,120,154,82,49,42,50,44,34,35,15,13,5,4,4,4,4,4,4,4,2,1,1,1,1
79,378,186,131,77,54,102,103,63,30,29,29,20,9,7,7,8,11,13,13,9,6,1,1,1,1
867,1760,1126,1241,1084,212,94,40,17,15,13,7,7,7,7,7,7,7,9,9,7,4,1,1,1,1
701,397,223,99,57,52,137,144,88,43,41,43,37,24,24,24,24,24,25,25,16,8,1,1,1,1
30,269,332,163,86,48,58,77,53,53,55,24,16,10,6,4,4,4,4,4,4,4,1,1,1,1
89,117,78,66,42,42,41,99,60,20,13,13,13,13,13,13,13,13,16,10,14,13,1,1,1,1
192,239,151,129,76,62,93,85,78,34,21,21,27,39,25,25,25,25,25,14,14,12,8,1,1,1
130,224,117,60,50,38,102,99,73,63,53,32,31,31,31,31,31,31,33,33,16,10,10,1,1,1
57,157,99,171,71,51,33,52,27,16,15,12,8,8,7,4,4,4,4,4,4,2,1,1,1,1
169,429,204,175,175,90,61,63,63,43,46,44,16,11,11,11,11,11,12,9,9,6,1,1,1,1
74,80,48,151,97,51,38,58,44,15,8,10,7,5,5,4,4,4,4,4,4,4,2,1,1,1
276,872,625,598,328,248,153,115,111,129,98,106,106,103,15,8,7,4,4,4,4,4,4,4,2,1
434,262,539,79,39,28,25,31,23,16,14,10,17,13,5,5,4,4,4,4,4,4,4,2,1,1
