0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1778,14331,5004,2296,1548,1208,1288,5062,5062,4762,22467,16336,16254,16218,42024,216202,214910,174910,91107,91107,91067,34434,34434,34438,34438,33070
2774,1469,943,5788,3981,3942,3913,4513,35915,22152,125169,128570,129077,32087,24968,24968,24986,25182,26831,26831,26833,38466,38428,36680,36680,36560
1882,1268,9679,4147,4195,4262,3243,3811,14608,13604,15114,15385,15425,15425,15189,15189,15189,15191,15252,14930,14930,8186,8110,15175,15151,12916
2713,15188,10768,10555,10555,10085,3627,1883,1731,1731,1909,1926,1926,1926,1926,1926,1928,11659,11843,23779,26748,27168,27168,27176,27176,27172
3068,1405,1550,1179,3914,3870,4026,3343,3414,45692,28751,27110,27479,27381,49231,49231,48466,48869,52292,52292,52298,62650,58478,59023,59023,59023
282,896,966,700,700,696,10083,1912,1757,1757,12999,13015,7303,7293,7293,7293,7293,7295,7322,7322,7322,4654,5376,5378,5378,5378
763,6265,17302,18292,9458,7516,7471,4715,4724,4724,4914,4929,4931,4707,5128,5117,5117,5121,5157,5157,5157,4567,4567,4567,4567,6612
6911,6010,5669,1345,1318,30195,30449,47656,22191,7484,10049,10725,10890,10890,10890,10890,10918,11254,13696,13696,13730,25178,10267,10593,9567,43912
2690,1510,688,20165,8660,7675,7922,14554,13233,46859,55668,57541,57770,57772,57652,57652,57652,57656,36385,36385,39931,12129,11782,11782,11086,11086
5393,4497,27406,24343,9405,9492,9783,16148,8241,4307,5049,5198,5215,5215,5215,5215,5248,5564,7705,7705,7707,11505,66038,61216,61076,61190
2071,18392,29879,17866,16535,18365,6336,3882,3881,3881,4137,4155,4157,4403,4475,4475,4489,4678,5897,5897,5899,12377,12377,9162,9138,11452
252,4199,13088,13255,11002,7663,6226,61435,59139,59588,70044,72357,72745,72717,70654,70624,28931,8706,9883,9883,9883,16528,16528,16928,16928,16958
9541,6165,1892,1708,8222,6529,6211,9833,9833,6927,7350,6982,6994,11514,11514,11514,11553,11948,14238,14238,14240,26861,26861,20257,16415,16395
5157,1936,2035,68189,68603,68499,68545,19610,12520,11057,11283,11376,11095,83296,83296,84652,84652,84656,51910,10178,10178,6881,6881,6887,6887,6354
455,6772,7870,7870,5959,6099,40217,36539,29091,23365,12886,13094,12067,12067,12067,12067,12067,12067,12128,12128,12128,12270,12226,10377,10161,10161
1377,727,3026,20382,20476,10048,60302,14087,14329,12899,88138,19953,12519,12519,12519,12522,12566,12826,15464,15464,15466,30029,30029,25349,25349,24031
371,1003,5916,6730,7064,7050,5941,12056,11719,53193,65181,67221,67457,67459,34520,19301,15777,15984,17956,17956,17958,28980,28980,29287,28908,28908
407,9886,35857,27284,27536,27624,27387,4945,6868,21071,23058,23298,23323,23323,23323,23323,23297,23297,22199,22199,21942,11012,8339,7140,7140,7070
58,32,1948,1905,2297,2298,2298,12811,66139,65483,47585,19988,20001,20001,20013,20059,23805,24313,27420,27420,27424,46919,46919,47441,47370,47135
2348,3492,3154,3145,3095,3101,15293,91627,55879,51425,48125,50169,50565,50569,56680,10096,10477,13140,25846,25848,25891,26311,26311,26212,26212,26212
3585,1180,36490,20393,20393,20102,13234,14009,12138,7944,8424,3283,3294,17843,17843,17855,17892,18213,20572,20572,20574,34652,34652,35213,11861,11861
6597,2690,2764,2760,13513,8213,8580,16112,64939,44856,53504,54889,43865,43565,43565,43565,43567,43608,43964,43964,43964,33820,18089,17316,17260,25617
750,18744,19478,10823,9830,8725,8385,23457,9484,47477,68684,81234,84675,84740,84740,84740,76790,69675,35254,33860,33860,14301,14301,14303,14303,14303
358,1514,1482,1474,1254,930,392,25457,16008,12608,15756,16949,13758,13758,13523,13523,13527,13636,13898,13898,13898,11435,11435,11487,11457,11461
12274,11861,3441,4444,94318,86671,46332,14741,6851,8203,9186,15395,15418,15418,15418,15418,14346,14316,13617,13617,13617,8461,8415,7705,7705,7701
299,1015,720,719,703,671,671,879,865,3390,3518,3535,3530,3530,3530,3525,3525,3527,3541,3410,3410,3479,4816,4800,4740,4740
1217,845,718,2892,2289,1876,1710,11813,11425,11487,12818,13085,26675,26461,26461,26461,26461,28425,26065,26065,26065,7797,7797,7829,15818,14690
14185,44460,34303,194651,104098,40646,15366,14236,14236,14238,15602,15815,15860,15860,15860,15860,15860,15866,26962,21954,21954,10061,10061,10063,10063,9703
529,2126,745,746,316,316,15296,4337,3780,3780,11608,11033,11064,11059,11059,11059,11059,11061,10887,10887,10887,8396,8392,11953,11078,11078
1029,2631,2956,2956,1578,1008,864,5668,4505,12742,14035,3822,3822,3822,3822,3822,3851,4001,4998,4890,4892,9309,9309,9613,9593,35959
6035,4154,3623,3623,1190,1192,16442,13528,39739,37977,54463,56796,57186,57188,57163,57163,46018,9782,11419,11419,11419,12825,12825,12856,12856,13642
469,1410,1243,1468,1208,4613,3048,16786,16794,16796,17820,17985,17420,17420,17420,20628,20624,20626,19772,19772,19772,9498,9498,9506,15604,15612
101,593,2611,11589,28355,30655,29671,45071,45111,24307,26531,14566,14589,14589,14589,14589,14589,14591,14145,12823,12005,6077,6077,6077,6027,6027
1929,36447,25178,100967,80459,81902,49920,14728,14728,14728,24369,25224,25343,25343,5230,12680,40539,43135,60805,60809,60852,61448,61448,55480,55467,55467
24557,120759,36379,36354,13623,14606,15379,15771,15811,11728,16217,13550,13639,78250,78250,77181,76965,67579,38637,38637,38637,14672,14662,13322,13322,13322
5644,180019,66998,30993,235319,250079,164357,17637,17593,63570,68899,70939,71254,59891,59891,59891,42235,42235,31512,31512,31504,13737,12577,15180,15180,15180
555,1985,1018,1004,986,7333,22591,59386,59386,53038,66965,61958,62257,6321,6318,6318,6342,6619,8589,8584,8586,16949,16499,16812,71773,71749
359,866,452,16959,16617,14840,16202,9953,9993,8270,11484,11662,11693,11693,63235,22869,22889,23112,25157,25157,25157,33517,33517,32400,32400,32294
2446,2211,923,2316,2326,2033,90508,27735,27302,17493,6963,7052,7077,7077,7077,7077,7133,7521,9909,9909,9913,21545,24614,21006,20911,20911
205,1449,763,6514,6449,5161,5101,8738,6895,4166,4770,4936,4955,4955,4955,4955,5005,5394,11021,11021,11021,16326,12431,12433,12433,12433
45,2260,12972,7123,6295,19478,20971,53888,41542,41557,38694,40449,33642,33644,32861,32861,32861,25153,11339,11339,11344,4578,4563,4563,4563,6360
1889,920,466,456,2212,13821,6022,10477,9947,9947,69711,70363,71180,54551,19676,16352,16306,16677,18630,18720,18722,28719,28629,29127,29027,28995
278,16048,5603,5591,5440,1914,4074,8458,5160,16004,5704,3671,3036,3036,3036,3036,3041,3141,3863,3863,3546,5494,5320,5545,5525,5560
485,1616,1620,9900,6749,6329,3765,12952,11257,78949,93332,13904,14041,14041,14041,14041,14046,14061,14319,14319,14324,15754,13290,13321,14698,12807
1939,1014,4878,2265,2193,12667,12798,20604,20110,45272,35403,37298,12941,12941,12941,12941,12960,13185,15242,15212,15246,24275,22464,18971,16697,16704
3008,13781,14517,8275,6866,5085,5186,11137,9533,9116,3601,3614,3659,3665,3665,3665,3665,3690,4010,4010,4010,6054,6054,5021,4263,13010
1175,5235,2658,1720,959,709,711,4853,26924,27084,28880,28906,28942,28942,28942,28942,4138,4334,6513,4764,4274,8806,8225,8462,8462,8462
236,1135,5571,5573,5329,26672,28087,27964,20586,20596,22384,21458,21483,21483,21483,21483,21485,21532,22895,22895,22895,36813,20554,138389,25037,25037
648,1115,1113,2411,2278,2268,2272,3337,2224,2376,2563,2563,2563,2563,2563,2563,2563,2556,3030,3030,3034,2581,2228,2228,2228,2228
521,2093,63371,62255,62255,38162,38026,45959,15964,10158,10433,10685,10720,9350,9350,9350,9390,9738,11986,11986,34189,8468,19034,19421,14115,14078
