0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
149,149,137,137,162,179,179,173,176,172,179,183,180,183,180,178,180,179,181,177,174,170,169,169,169,173,171,172,171,174,173,178,179,177,180,180,182,182,187,187,187,192,192,192,192,192,192,192,192,192,192,192,191,191,191,191,191,191,191,191,191,191,189,189,189,189,189,189,190,190,190,190,190,188,188,188,188,188,186,186,186,185,185,184,184,184,184,184,184,184,184,184,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,184,184,185,185,185,185,185,185,184,184,184,184,184,184,185,185,183,183,182,182,182
145,140,139,139,139,138,138,138,138,146,146,146,146,144,149,149,149,144,144,162,162,162,162,162,162,162,162,167,167,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
148,148,148,148,148,153,150,158,160,158,150,166,163,163,170,177,177,201,196,189,190,190,190,188,182,182,179,180,180,183,183,183,190,185,187,187,187,187,185,187,184,184,184,187,184,184,184,184,192,196,192,189,189,189,189,189,190,189,192,192,192,192,192,192,192,195,194,194,194,194,194,189,189,186,186,186,183,183,183,183,183,183,183,183,183,183,183,184,183,183,183,183,183,183,183,183,184,184,184,179,179,184,182,182,182,182,182,177,177,177,177,177,177,177,182,182,182,182,182,182,182,182,182,182,182,182,182,182
117,116,115,121,128,124,129,123,156,154,149,134,160,182,186,191,191,183,179,170,174,180,184,174,184,177,177,177,177,177,177,177,177,177,177,177,177,177,184,180,178,178,185,185,185,193,193,192,194,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,187,187,187,187,187,187,187,187,187,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
92,92,104,104,101,118,118,112,133,135,135,135,135,135,139,135,163,163,163,163,165,165,162,162,162,162,162,162,162,162,162,162,162,162,157,162,162,162,158,178,180,178,178,178,178,181,181,180,180,180,176,183,184,184,184,184,186,184,184,184,184,185,191,191,193,193,193,193,193,193,190,190,189,189,187,182,180,180,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,188
148,134,138,112,170,170,167,173,171,173,173,176,176,176,176,176,174,176,172,160,156,156,167,155,160,164,167,170,168,168,166,179,169,183,193,196,186,189,188,188,193,186,180,187,187,194,194,194,194,194,194,192,192,192,192,192,192,192,192,192,192,192,192,192,192,190,190,190,190,190,182,182,180,180,180,187,187,187,187,187,187,187,187,187,187,187,187,184,185,185,185,185,185,185,185,185,187,186,186,182,182,184,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
160,163,157,157,145,136,129,133,134,145,137,141,144,166,173,170,168,164,170,164,169,175,182,175,175,171,165,167,171,187,183,187,187,190,190,187,187,190,187,187,187,201,201,201,187,187,187,204,190,190,190,190,190,190,190,190,190,190,183,183,183,186,186,186,186,186,186,186,186,186,183,183,183,183,183,183,180,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
151,145,160,160,193,194,194,194,194,191,191,191,191,199,199,167,161,147,147,152,147,147,147,141,141,147,147,186,184,188,188,188,188,188,188,187,191,191,185,185,185,185,185,185,185,181,189,185,180,186,182,186,188,180,180,188,188,194,194,192,194,194,194,194,194,194,194,194,194,194,194,196,193,193,193,193,193,196,196,196,196,196,193,193,193,193,193,189,189,189,191,191,185,185,188,192,191,191,191,191,191,191,191,191,191,191,191,189,189,189,189,185,185,185,185,184,184,184,184,184,184,184,184,183,183,184,184,184
123,123,129,129,129,124,124,124,140,140,140,135,135,135,156,156,153,156,161,161,161,161,155,155,155,155,158,158,158,152,145,145,145,145,147,147,147,161,161,161,161,161,155,155,155,149,149,149,144,144,144,144,144,147,153,153,147,156,168,183,186,186,183,183,184,184,184,184,191,191,191,191,184,196,198,194,194,194,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,195,193,193,195,195,195,195,195,191,191,191,191,191,189,189,189,189,189,189,189,189,189,189,189,189,184,189,188,188,188
126,126,126,126,126,126,126,126,128,137,130,130,130,159,159,159,159,159,159,159,155,155,155,155,155,155,155,155,155,156,156,156,156,160,160,160,156,156,156,156,152,152,156,156,156,164,164,164,169,169,165,165,169,169,167,167,167,162,162,158,163,163,163,163,163,163,164,164,164,169,175,175,179,179,179,179,179,179,179,171,171,171,171,171,171,171,168,172,172,172,175,178,181,179,176,181,181,181,181,181,181,181,181,181,181,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,179,179
