0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
9093,9024,9330,9253,10582,11078,12199,12196,12378,12615,11712,12880,13078,12846,11008,12581,12782,12700,12068,11870,10827,9999,3333,3333,3338,3340,2957,2957,3612,5639,5430,7070,6151,12864,8451,6670,6251,6072,5606,5604,4860,4373,3996,3996,3954,3948,3693,3693,3664,3666,3586,3586,3596,3601,3409,3384,3388,3392,3368,3368,3076,2724,5043,5257,5185,5180,5043,5043,5209,6861,15693,15003,14953,13925,13018,12383,12138,10995,11087,11210,10830,10595,10210,9425,9022,8495,9550,9079,9035
4305,3671,5035,4719,1881,2858,2139,4845,4055,4148,3568,2644,4328,4226,3810,4077,5837,5335,4757,6625,6228,6301,4361,4248,5181,5215,5890,6330,5351,5364,4954,4398,4276,4405,4500,4526,4280,3944,4224,4029,4020,3951,3583,3550,3273,3308,2984,3051,2835,2807,2663,2666,2429,2513,2281,2294,2139,2144,1955,2037,1980,1980,1944,1863,1884,1915,2233,2079,3606,3583,3468,3432,3321,3315,2812,2707,2205,2201,2152,2106,2029,2022,1915,1906,1799,1828,1897,1882,1755
3565,4512,3134,1571,1573,1576,1408,1665,1570,1577,1630,1597,1471,1461,1347,1543,1548,1548,1271,1271,1280,1270,1293,1290,1298,1262,1170,1138,1403,1334,1457,1673,1806,1841,6232,8736,4051,4051,3880,3563,3561,3564,3486,3625,6435,6440,9142,9092,7219,6247,5624,5479,5477,5455,5134,5134,5111,5121,4972,4972,4978,5011,4831,4687,4678,4679,4509,4367,4370,4395,4175,4290,3948,6027,5214,5672,5079,3648,3532,3532,3376,3376,3249,3199,3093,2913,4381,4511,4336
2606,3565,3218,2362,2347,2453,2581,2496,2627,2260,2766,2793,2927,2926,2855,2633,2348,2036,2104,1863,2224,1580,1852,2158,2666,1949,1223,1306,1366,1351,1247,1249,1266,1261,1193,1180,1186,1185,1187,1181,1121,1029,1407,1295,1303,2026,1695,1584,1536,1514,1478,1478,1460,1406,1299,1252,2257,2254,1975,3182,3161,2755,2437,2520,2227,2146,2210,2258,2324,2335,2240,2104,2038,2454,2503,2715,2674,2506,2562,2342,3364,3423,3671,3618,3538,3534,2951,2865,2995
2592,1812,671,698,625,567,1374,1376,3446,2805,2330,2590,7448,7280,7284,5021,5088,3891,4304,4805,5417,5017,5524,5676,5646,5768,6040,5957,4491,5521,6108,6115,5996,5322,5213,4843,4626,4541,4136,3543,3213,3231,2789,2758,2665,2704,2469,2462,2269,2261,2192,2218,1964,1934,1869,1887,1647,1760,1615,1625,1570,1499,1573,1452,1508,1534,1198,1127,1163,1108,1782,2947,2822,3908,3774,3753,3831,3651,3839,3832,3399,3158,3044,2737,2659,2462,2570,2746,2656
5327,6043,1810,1783,1560,1312,1608,3826,3519,2887,3691,3809,3566,3361,2876,3317,3227,2932,2816,2534,2786,2747,2687,2817,2647,2458,2539,2233,2517,2323,2449,2634,2460,2586,1829,1896,1716,1640,1743,1745,1724,1460,2239,1950,1649,1758,1616,1614,1386,1426,1402,1339,1271,1307,1228,1155,1190,1163,2798,2852,2931,3035,3184,2838,3177,3285,2692,2937,2892,2867,2875,2778,2937,3161,2980,2924,2969,2911,2925,2709,2902,2354,2303,2223,2174,2148,2155,2451,2336
1798,602,292,330,299,339,356,332,362,326,282,327,355,272,274,269,279,265,241,266,258,425,371,411,400,404,415,388,306,321,319,213,253,258,283,281,301,277,270,232,286,240,294,291,296,279,236,301,274,313,264,290,282,696,700,699,617,700,623,698,623,760,769,736,769,460,475,413,464,475,472,438,435,438,837,1125,1203,1577,1470,1406,1400,1424,1374,1286,1233,1193,1153,1283,1178
4558,3435,2889,3285,3969,4319,4008,3442,4868,4571,4511,3171,2491,2549,2378,2381,2328,3202,3091,3078,1832,1891,1760,1926,1819,1777,1921,1660,1534,1572,1643,1570,1734,1618,1442,1419,1368,1185,1001,1215,1144,1172,1228,1179,1184,1291,1137,1303,1099,1507,1587,1694,2143,2160,1906,1997,1758,1807,1745,1752,1699,1692,1641,1591,1264,1131,1081,1062,1117,1040,1113,1098,1094,1105,3487,3097,2994,2876,3010,2611,2068,2033,1735,1811,1774,1707,1816,2073,1889
675,985,1171,1115,833,860,743,714,682,679,545,552,551,551,451,514,505,494,441,509,457,474,516,526,505,535,517,591,545,525,394,519,474,436,459,337,420,418,353,418,425,406,413,395,400,386,360,384,340,352,352,302,367,317,332,344,351,363,364,325,363,362,294,267,339,334,362,344,378,332,325,323,316,286,232,322,347,447,1127,2942,3025,2442,2006,1955,1748,1689,1796,1816,1791
26651,26046,31142,43096,40351,37740,33189,25902,16951,20196,17758,16503,16327,16296,15031,15031,13801,12566,10986,9064,13388,16242,14587,14462,14504,14585,12855,12851,11542,8764,6135,6252,6181,5763,5458,5458,5192,5160,4433,4437,4445,6376,6022,6019,5947,5900,5667,5667,5616,5564,5354,5354,5344,5339,5100,4908,4908,4910,4864,4864,4843,4843,4681,7931,7949,7514,7608,7613,7657,7732,7916,7379,9288,9569,9716,9716,8887,8817,9173,8652,8404,8367,8155,8002,7640,7426,7880,8527,8264
15320,14718,17476,32290,23804,16333,18587,26825,26343,23843,18585,18304,19405,20519,18703,23172,16549,12613,11596,11609,11323,10839,8820,8811,8545,8258,6826,6826,6592,6356,5636,5646,5399,5359,4919,4663,4270,4045,3404,4628,4530,4504,4085,4085,4090,4124,3683,4666,4544,4509,4058,4059,4059,4059,4879,4907,4907,4914,4470,4466,4470,7254,6984,6984,6987,6295,8506,8232,7358,7361,9249,11458,10955,10064,9629,9861,9901,9495,9376,8987,8411,8254,7958,7609,7416,7342,8755,8493,8221
21075,6139,4482,4327,3677,4509,3851,3846,3488,3382,3042,2598,2531,2539,2198,2198,2195,2194,2069,2348,3218,4356,4173,4175,4185,3770,4745,4715,4700,4690,4255,4255,3492,3653,3010,3056,3000,3003,2989,2862,2873,2873,2747,2747,2767,2784,2673,2673,2664,2664,2502,2370,2372,2372,2268,2461,2440,2441,2198,1567,1561,1564,2317,8138,10384,10380,9996,9713,9728,9701,9556,8085,9830,9390,8886,8886,8318,7701,7267,6886,6739,6673,4925,4564,4475,5660,11272,10754,10296
4980,2990,2205,2137,2157,2177,1970,1970,1994,2185,2193,2185,2172,2212,2216,2216,2216,2217,2148,2168,2091,2100,2034,2027,2020,2020,2095,2093,2097,2100,2112,3739,3720,3237,3818,2717,2723,2728,2824,2824,2831,2836,2875,3164,2887,2880,2876,2857,3098,2749,2459,2459,2461,2473,2446,2531,2090,1518,1238,1652,1465,1469,1476,3142,2885,2811,2570,3219,3219,3173,6314,7214,7695,5879,5127,4979,4935,4935,4736,4736,4296,4170,3778,3744,3648,3830,4608,4719,4766
681,1667,1072,1396,1151,1067,1029,995,807,694,1852,1562,1388,1414,1123,1631,1223,1312,1068,1292,1120,1224,1282,1157,1243,989,1252,1079,1448,1431,1486,1126,1384,939,944,882,762,691,770,753,756,754,723,739,707,714,593,693,680,522,676,653,667,672,674,674,671,669,639,666,671,563,639,562,668,613,670,672,671,666,583,665,651,633,1024,2403,2460,3035,3164,3281,3285,3282,3280,2530,2475,2234,2373,2686,2633
3833,6956,5262,6533,4789,2805,2274,8733,6731,5735,4749,4786,4588,4490,3839,2968,2796,2802,2627,2627,2633,2635,2500,4118,3389,3442,3017,2403,2077,1807,1757,1757,1758,1765,1739,1739,1744,1741,1606,1608,1611,1621,1556,1540,1529,1536,3270,3270,3275,3275,3108,3109,3112,3113,2978,7107,6889,6860,6348,6385,5591,8258,7912,7912,7446,7336,7106,7105,7058,7057,7243,7200,7235,7245,7357,7600,9264,11245,10004,10004,9571,10941,10630,10509,10100,9622,9826,10737,10043
