0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
48,48,208,160,160,160,160,208,174,240,174,160,160,160,160,160,200,208,1419,749,749,749,29,29,29,29,43,29,29,29,29,29,29,13,13,13,13,13,173,173,344,221,173,160,160,160,160,160,160,160,160,160,160,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,48,48,48,48,48
124,160,112,32,32,32,60,32,42,32,32,32,32,48,32,32,40,80,112,80,80,80,80,80,80,80,108,121,173,196,156,80,80,144,112,112,112,112,112,112,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
888,2026,540,433,132,112,112,150,697,284,1412,196,916,2384,500,240,3137,4172,704,1216,616,616,616,616,616,616,696,872,760,760,760,760,760,352,272,272,272,320,272,272,272,272,272,272,272,272,160,160,160,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,48,48,48,48,48,48,48,48,48,48,48
308,732,384,237,190,128,184,112,112,112,112,112,112,160,112,112,112,112,112,112,112,144,144,112,112,272,272,272,272,374,320,272,272,272,272,272,272,272,272,272,272,320,320,320,320,320,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
34,20,12,92,526,148,48,160,724,32,32,46,32,336,768,660,1000,920,920,920,640,640,640,640,640,304,272,272,272,320,319,272,272,272,272,272,272,272,272,272,160,160,160,160,160,208,160,160,160,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,48,48,48,48,48,48,48,48,48,48,48
76,242,1208,684,160,160,160,168,48,8,8,8,8,22,8,8,8,8,8,8,8,8,8,8,8,8,22,30,30,30,30,30,30,30,30,30,30,30,190,160,160,160,160,160,160,208,216,160,160,168,160,160,160,160,160,160,160,160,160,160,160,208,208,208,208,208,208,208,208,208,208,208,208,222,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208
84,48,60,48,48,108,152,76,32,32,32,32,32,56,8,8,8,8,8,8,8,20,8,8,8,8,16,88,144,459,192,328,272,384,272,272,272,272,272,272,344,272,286,272,272,320,320,320,320,320,320,320,320,352,352,352,352,352,352,352,352,352,352,352,240,240,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
232,39,22,24,16,22,8,8,168,420,344,448,1208,888,728,728,736,896,910,910,630,662,62,918,690,608,608,608,608,608,608,608,608,272,272,272,286,344,286,272,272,272,272,272,272,272,160,160,160,208,160,160,160,160,160,160,160,160,160,160,160,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208
256,208,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,208,174,160,160,160,160,160,160,208,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,48,48,48,48,48
88,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,208,160,160,160,160,160,160,160,160,208,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,208,160,160,160,160,160,160,160,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208
