0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
31,22,25,41,17,6,4,1,3,1,1,1,1,9,5,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,1,1,1,1,1,3,2,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,8,3,42,18,26,12,9,12,21,44,32,36,122,54,22,86,59,27,20,23,28,25,30,19,24,22,23,19,19,18,14,14,15,17,10,10,7,7,7,8,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,22,18,13,11,22,102,95,41,79,61,63,43,36,40,83,18,41,20,11,12,11,12,11,44,17,17,13,13,13,11,11,11,12,10,8,8,6,6,4,6,5,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,6,30,29,46,44,12,3,5,4,3,3,3,3,3,14,9,17,7,4,5,5,5,14,11,38,29,19,13,10,3,3,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,14,34,14,22,42,36,36,26,33,12,9,15,10,11,7,9,7,29,17,11,9,9,13,8,8,8,8,9,7,8,8,8,10,5,4,4,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,22,13,12,11,12,71,13,12,6,6,3,11,61,50,35,25,23,19,19,17,17,17,19,13,13,26,30,18,13,12,11,11,12,7,7,7,6,7,6,6,6,24,12,12,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,10,22,3,21,9,29,123,32,17,4,1,1,3,2,2,3,2,2,2,2,2,2,3,1,1,1,1,1,1,2,1,1,8,8,39,34,23,5,5,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,7,33,41,14,30,38,15,14,8,29,22,18,33,43,51,25,17,7,7,7,8,7,13,11,14,11,11,11,11,7,7,7,7,7,7,7,7,7,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,85,53,11,19,31,13,7,19,65,43,7,15,18,7,2,2,1,1,1,2,3,6,31,12,8,7,7,6,6,5,5,5,7,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,34,6,14,13,15,38,40,194,112,19,14,7,10,13,7,8,9,11,11,12,11,11,14,5,5,5,5,5,5,5,3,3,2,2,2,1,1,1,1,1,1,1,2,1,2,4,1,1,1,1,1,2,6,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,74,17,44,49,56,7,19,78,56,80,128,80,46,18,43,70,36,29,12,46,15,14,15,7,7,7,7,6,6,6,6,6,6,5,5,5,5,6,3,4,4,4,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,12,20,32,8,4,5,20,22,36,13,45,8,7,5,2,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
