0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
3252,2850,452,463,463,43,332,61,316,377,788,788,214,153,153,153,61,61,61,47,47,47,47,47,37,37,37,38,140,137,137,137,123,123,123,80,79,79,79,79
21,20,21,100,417,400,401,401,589,617,624,624,106,78,78,191,48,34,35,35,35,35,35,35,37,37,37,34,34,34,35,36,36,35,35,35,35,34,34,34
146,154,150,94,94,95,95,95,533,574,581,581,109,69,69,69,62,62,62,34,34,34,34,34,8,8,93,42,93,173,44,40,75,75,64,64,54,54,54,54
111,348,69,70,70,56,24,91,110,124,218,218,55,34,27,135,128,84,84,42,116,47,47,47,47,47,47,48,48,48,48,201,44,34,36,34,36,34,34,34
100,78,66,37,23,23,23,96,118,122,122,122,122,122,122,122,48,27,27,27,27,276,276,276,122,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34
1041,830,844,363,745,123,1493,917,108,108,1585,1585,776,531,531,531,181,181,187,188,187,153,136,84,173,151,151,151,152,141,152,152,175,175,175,176,176,176,176,176
49,285,73,73,27,27,119,119,134,134,134,134,134,98,98,98,27,27,27,43,43,27,97,203,33,33,28,29,35,29,29,29,59,41,43,43,81,81,81,59
239,200,32,32,20,20,20,20,25,23,157,157,157,190,37,37,23,23,23,23,23,23,23,23,23,23,23,23,23,53,53,53,53,42,42,42,42,42,42,42
165,809,3354,3504,3796,3558,3590,3598,6264,7706,8694,5876,851,797,797,557,241,214,215,113,43,163,109,109,68,68,68,84,67,67,67,64,64,64,62,62,62,62,62,62
485,189,100,348,60,23,23,23,23,23,23,23,49,23,27,27,53,43,61,36,36,36,36,36,40,40,40,40,4,18,4,4,16,16,25,33,85,91,78,76
28,65,53,33,33,23,968,969,1477,733,66,66,43,15,15,15,12,12,12,12,12,12,15,15,15,15,17,12,12,13,12,13,12,12,12,12,12,12,12,12
22,104,104,107,107,26,26,26,26,26,26,26,26,4,4,4,13,60,64,64,64,64,64,64,35,21,35,103,41,41,41,41,41,41,23,23,32,24,24,24
50,28,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,43,43,43,37,39,39,39,36,36,36,36,36,36,36,36,36,37,38,38,38
4015,966,976,2740,363,217,217,217,263,110,111,111,111,111,111,111,37,37,38,38,38,38,38,38,42,70,46,46,44,43,43,41,41,39,38,36,40,36,38,36
17,15,27,27,27,27,111,111,134,136,137,137,137,123,123,123,40,40,40,40,40,40,41,41,49,105,89,90,83,83,71,71,71,71,71,57,57,47,47,47
