0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
517,377,366,372,355,355,355,355,355,380,380,380,339,179,172,172,172,172,172,172,172,172,253,219,219,197,197,197,198,118,118,121,121,121,121,101,101,55,42,28,28,16,12,7,4,2,1,1
1257,805,805,568,480,406,406,406,486,501,501,501,501,497,501,501,358,358,358,358,358,358,193,118,118,118,118,118,119,119,102,102,102,61,61,61,61,61,55,61,58,58,38,38,26,21,3,1
262,235,634,634,634,634,634,634,637,469,469,469,469,469,309,105,100,101,85,66,66,66,106,84,84,75,75,75,84,84,84,84,84,63,63,41,41,41,23,23,23,8,8,5,3,1,1,1
137,114,114,113,113,113,113,113,113,114,114,102,102,102,957,537,326,262,262,262,262,262,474,474,474,474,393,393,474,482,482,254,256,215,215,215,215,144,140,144,88,55,31,10,4,2,1,1
209,209,209,204,196,196,195,193,193,180,164,164,164,164,164,164,164,164,164,149,297,220,290,290,290,290,290,290,290,308,308,255,255,255,255,255,163,163,158,163,53,53,41,20,8,1,1,1
462,379,335,239,239,245,245,245,246,246,246,246,228,217,217,217,217,177,177,177,177,177,205,205,174,80,42,42,42,42,42,42,37,28,28,28,21,17,17,15,11,7,5,5,3,3,1,1
907,876,876,834,685,529,461,449,391,359,359,359,359,358,359,359,189,127,127,127,127,127,165,165,165,165,165,98,111,111,62,63,63,63,63,63,51,44,44,44,22,21,26,26,12,5,3,3
315,222,222,217,193,573,539,419,419,420,420,420,420,420,349,349,349,349,349,242,196,196,259,259,259,259,259,259,155,143,111,111,111,111,111,111,86,76,50,50,50,28,28,28,28,19,10,1
222,219,219,218,208,208,202,199,199,197,214,438,438,438,438,438,438,445,350,350,350,350,505,370,211,211,211,211,231,231,189,191,191,191,110,110,110,110,54,56,36,18,7,2,1,1,1,1
165,158,158,158,158,158,158,158,159,153,153,153,153,153,153,153,112,95,79,547,469,469,225,225,225,225,225,225,229,184,184,184,184,117,117,117,81,81,65,37,37,28,22,9,3,1,1,1
787,771,761,496,338,278,221,221,221,224,224,224,224,145,113,106,106,111,111,95,95,49,61,61,61,61,61,61,64,64,64,65,41,41,41,41,41,41,41,27,22,15,15,15,7,7,3,1
229,229,229,229,222,274,177,173,174,374,340,340,340,340,340,340,249,177,177,177,177,177,163,163,163,163,163,163,163,163,127,127,127,127,127,127,86,86,51,50,38,38,30,7,7,3,1,1
383,376,370,1021,916,746,746,746,746,769,769,769,769,726,382,239,180,185,185,185,185,185,222,222,160,160,160,160,175,175,175,137,137,137,137,137,47,40,40,40,40,30,15,15,7,3,1,1
337,337,337,337,337,337,337,337,344,349,349,349,349,349,343,287,278,278,278,278,278,242,279,213,213,213,213,213,219,220,220,220,510,510,389,389,315,240,241,241,204,204,134,55,36,7,1,1
283,201,558,558,558,558,558,558,562,565,516,516,420,282,282,282,282,288,288,288,288,288,317,253,253,253,253,144,153,154,154,156,135,135,135,92,92,68,30,26,26,26,21,21,13,6,3,1
584,463,330,311,263,263,263,263,263,267,267,267,206,206,169,141,141,135,135,135,135,76,76,76,76,76,76,76,76,79,79,79,79,52,52,52,52,44,24,24,24,12,6,6,3,1,1,1
