0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
8225,2015,2732,264,91,46,24,17,11,8,8,8,8,3,1,1
23346,2386,730,158,86,48,23,26,18,13,12,12,12,8,3,1
2761,3328,3553,1520,306,76,53,33,18,13,12,12,12,3,1,1
39770,7370,5275,630,153,90,48,19,14,7,6,6,5,1,1,1
5552,5575,4098,3160,704,418,73,35,18,8,6,6,6,3,1,1
15322,25468,4659,192,76,51,35,29,22,19,21,11,3,1,1,1
23525,53237,5063,435,78,43,32,26,20,10,10,10,10,4,1,1
3659,7592,4931,1623,191,65,38,37,19,15,14,13,7,2,1,1
826,1735,5333,1910,372,94,24,28,15,11,13,12,8,3,1,1
1926,4386,1698,154,57,25,21,23,12,6,7,7,7,3,1,1
1280,418,91,294,913,73,37,35,22,14,15,14,14,5,1,1
117061,27869,2841,521,79,40,26,28,14,11,13,13,4,1,1,1
15508,2569,1862,462,122,42,18,16,11,9,9,9,5,1,1,1
3287,620,4272,232,92,39,24,15,8,6,6,6,3,1,1,1
25102,4836,7337,2991,1374,78,48,43,18,12,10,10,10,6,1,1
2115,1614,2045,276,96,38,27,21,12,11,11,11,9,2,1,1
27844,25369,3863,1115,138,60,29,17,12,7,8,8,2,1,1,1
2008,13486,2242,345,199,67,23,20,12,8,6,5,1,1,1,1
55874,21236,2232,526,78,53,31,25,19,15,18,9,4,1,1,1
18865,26629,6734,1389,253,165,106,45,9,5,5,5,3,1,1,1
52954,6427,1026,3319,149,57,35,34,25,13,6,6,6,1,1,1
33715,3811,310,180,96,58,26,18,13,12,13,6,2,1,1,1
7545,8076,1123,436,139,65,30,29,14,8,9,9,7,2,1,1
9718,1730,313,2336,735,94,28,17,9,6,5,5,4,1,1,1
40409,11753,1714,240,72,32,18,13,8,6,7,7,5,1,1,1
1340,6091,44445,5643,658,122,51,46,28,16,10,7,7,6,1,1
8416,30543,3682,1531,368,69,40,21,12,9,10,5,1,1,1,1
36722,29056,3294,416,65,43,30,15,9,9,9,9,7,1,1,1
33193,70931,7919,1429,176,71,37,34,12,8,10,10,5,1,1,1
2706,3171,2123,4423,1254,74,35,30,17,12,12,7,1,1,1,1
12704,2254,4861,508,105,49,30,32,23,7,7,7,7,3,1,1
16714,30439,6170,346,83,66,46,33,20,8,7,7,7,3,1,1
147414,16246,2349,559,149,56,26,24,10,5,3,2,3,2,1,1
7418,5722,8171,617,138,41,27,16,9,8,9,9,3,1,1,1
1430,3985,4080,736,78,45,25,25,14,11,11,11,4,1,1,1
13278,28666,5318,892,400,65,37,20,12,7,7,5,5,3,1,1
1732,9008,13981,1292,114,59,38,30,17,7,6,6,3,1,1,1
37177,15416,2449,337,89,40,26,19,11,8,8,8,3,1,1,1
3778,2325,497,95,47,37,24,20,11,8,6,6,6,1,1,1
139801,30516,2682,327,93,61,46,42,18,11,11,11,6,1,1,1
137725,18489,4079,217,104,47,32,28,17,10,11,11,11,5,1,1
9028,3482,9518,1421,169,64,44,42,30,20,15,15,11,4,1,1
17421,4061,6452,761,272,40,26,21,11,6,5,5,3,1,1,1
55615,7330,1487,475,157,62,71,35,12,5,5,5,5,2,1,1
3159,4040,1387,307,114,69,43,26,16,16,17,14,9,3,1,1
1417,6145,751,967,336,76,33,26,18,18,20,8,3,1,1,1
2418,44832,15284,2140,218,51,24,26,15,13,13,13,5,1,1,1
23956,28119,7041,1197,204,86,34,15,8,6,7,7,6,1,1,1
2904,7938,1795,372,108,80,42,27,16,8,9,9,8,2,1,1
6272,921,7461,1125,64,49,40,36,15,9,10,10,11,3,1,1
