0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
289,249,323,387,408,467,444,434,407,423,440,447,436,387,395,424,403,446,430,410,395,455,441,383,387,375,361,386,455,531,550,530,520,499,514,465,500,519,475,434,431,416,397,376,402,464,517,571,606,606,627,609,567,578,550,479,415,352,321,281,237,245,238,230,244,242,242,242,242,214,236,248,276,290,331,310,327,365,423,459
122,163,159,148,172,223,210,266,220,321,383,429,383,445,502,557,588,645,604,627,592,520,487,546,568,550,624,663,601,534,481,465,537,596,541,462,548,605,516,548,524,573,566,575,610,570,561,602,616,642,602,585,617,637,575,527,543,566,578,590,596,552,544,531,544,557,541,502,506,509,481,406,373,391,415,470,439,455,424,497
207,232,281,269,353,404,381,363,340,276,347,312,354,383,329,342,440,506,452,475,496,538,504,461,486,572,556,469,400,431,432,459,429,481,506,516,544,552,501,517,534,497,385,363,353,425,388,344,377,364,383,335,318,346,323,322,338,317,302,318,341,383,351,391,369,398,405,447,480,526,531,532,542,544,541,525,481,471,497,477
324,394,382,393,408,409,392,381,413,450,430,428,359,439,407,374,331,323,382,411,398,430,477,445,392,416,385,420,470,520,595,620,552,501,512,494,484,489,510,511,485,446,500,538,526,506,520,455,512,505,544,523,478,408,422,441,434,483,519,531,543,525,531,505,497,455,466,417,391,417,455,440,440,454,469,506,562,560,560,532
172,212,277,347,289,373,484,576,522,394,385,338,410,365,465,476,534,655,600,607,597,528,603,528,499,401,471,480,492,546,561,578,563,554,572,500,469,523,583,595,596,566,596,579,609,603,624,603,593,577,538,572,587,583,586,609,596,543,522,542,527,492,427,393,354,423,445,478,457,431,440,438,429,398,409,416,415,429,443,462
370,264,371,354,258,297,255,211,262,375,275,335,390,367,416,542,478,567,604,547,549,599,578,557,573,579,541,534,529,458,588,595,559,612,610,565,501,514,503,530,543,517,520,553,570,532,510,494,480,433,489,435,394,423,454,420,396,375,301,290,318,275,243,236,280,295,252,214,240,284,246,293,270,300,337,350,324,359,350,387
444,361,330,408,497,575,449,611,666,658,632,649,668,603,501,547,469,387,433,490,566,615,594,610,587,615,617,586,515,578,610,646,550,575,555,545,544,502,467,425,390,487,525,487,466,484,460,494,535,513,538,540,530,499,433,361,405,375,405,424,398,397,380,365,386,374,380,370,374,392,445,443,441,449,445,447,447,446,447,426
437,459,430,467,517,518,518,486,408,381,460,568,462,518,492,418,462,430,377,429,527,612,547,455,363,283,249,330,304,262,306,411,351,387,339,280,354,378,329,425,483,531,489,429,505,526,490,534,582,626,643,656,593,653,628,622,632,622,601,626,597,655,587,505,472,522,558,495,501,462,452,390,356,392,422,454,509,539,527,551
247,179,248,363,415,510,406,455,406,488,435,364,286,177,234,196,180,163,249,377,438,480,539,565,611,600,689,610,622,621,620,615,549,574,539,535,518,510,484,488,565,545,524,492,485,495,453,512,457,515,516,476,485,476,491,453,449,443,431,423,405,373,365,399,426,436,425,401,423,407,392,402,418,446,441,443,450,453,468,468
576,522,573,646,605,481,535,517,381,539,560,576,558,637,643,629,641,645,625,647,624,533,495,639,483,436,570,486,461,348,435,550,447,373,305,372,438,387,462,584,426,465,412,483,587,636,660,672,668,686,724,673,587,636,713,662,669,664,620,552,534,540,469,450,476,510,494,503,478,510,526,471,518,568,520,528,556,580,562,561
65,102,148,111,216,231,294,249,179,178,130,103,172,149,182,154,123,151,199,170,226,259,220,255,301,359,329,366,397,481,596,578,589,566,545,515,536,538,579,620,604,545,580,565,527,534,535,536,542,530,575,550,491,512,570,591,567,657,649,633,516,598,559,476,568,440,374,497,418,379,352,388,355,398,431,477,427,427,437,467
325,339,335,357,412,424,421,432,427,381,445,411,387,360,441,442,430,390,422,437,448,449,482,487,489,457,435,424,384,335,301,342,300,336,416,485,458,420,380,331,405,428,499,431,365,443,414,413,423,419,439,392,366,307,268,253,218,253,253,271,271,238,284,238,213,232,261,251,266,301,329,284,280,298,329,303,277,309,353,370
86,130,136,171,130,198,185,167,166,216,217,275,242,311,306,292,247,307,326,306,353,276,311,367,343,364,433,512,514,522,589,587,589,598,671,656,683,652,616,568,555,481,524,519,546,499,471,501,456,509,554,556,525,532,523,528,522,535,509,529,494,468,478,459,440,451,454,454,452,467,452,454,455,487,484,463,454,473,474,451
340,368,463,397,307,292,354,296,396,324,257,237,186,221,169,136,152,143,169,251,208,265,229,175,236,318,368,417,492,349,482,547,607,594,576,558,619,637,642,564,636,644,624,634,637,659,684,664,634,621,686,716,652,613,613,572,522,469,526,468,405,317,395,351,300,289,327,393,440,473,454,418,476,466,488,457,487,547,550,500
361,270,220,243,209,324,258,198,119,104,131,170,243,213,288,355,317,444,301,203,278,374,474,426,500,458,514,585,514,479,554,576,538,464,536,513,492,544,611,526,513,491,423,457,370,473,371,483,540,641,579,509,579,504,421,498,565,515,455,415,454,509,482,510,467,401,435,457,451,405,455,397,480,442,455,512,539,565,510,529
54,39,29,48,101,101,178,156,200,256,301,372,421,462,525,562,486,586,511,606,645,620,667,648,667,683,692,670,698,708,741,739,708,709,717,778,742,772,763,675,705,773,700,643,712,732,620,640,515,502,494,538,526,493,495,508,519,516,511,493,441,391,391,377,363,408,405,408,429,442,449,478,483,503,529,515,507,520,511,465
231,180,256,308,345,296,330,355,344,337,417,381,447,454,453,425,474,424,385,416,406,493,478,422,463,430,513,571,533,488,456,470,537,518,501,332,399,464,372,466,506,446,451,542,541,540,537,595,522,481,490,564,563,569,547,495,487,430,472,489,512,531,500,470,486,484,459,427,421,450,464,511,518,508,505,480,469,469,453,449
387,468,457,365,600,727,565,451,533,536,526,566,556,612,642,623,593,567,590,536,542,538,489,513,565,552,606,553,516,451,505,599,642,602,615,624,578,554,545,542,481,477,457,379,475,499,537,586,553,576,601,627,693,625,579,534,590,507,530,528,493,497,486,463,501,497,512,486,478,487,511,520,496,503,502,467,467,494,476,455
374,463,363,405,409,433,402,431,444,406,460,535,465,403,338,315,368,358,315,280,207,159,192,244,358,385,311,261,325,275,357,432,496,519,571,578,549,621,583,689,685,685,649,650,647,646,637,591,517,511,517,510,494,470,451,433,370,337,347,389,412,434,460,468,476,483,526,506,496,496,500,538,529,522,517,491,492,484,484,468
