0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
4,1,1,1,13,15,21,13,1,8,35,10,11,7,11,15,13,11,5,17,7,11,17,7,9,5,13,12,17,19,12,35,305,19,325,30,27,29,217,39,63,63,69,93,64,102,73,57,55,12,12,11,18,13,16,19,47,45,43,35,35,39,33,31,47,57,49,55,49,59,61,57,10,11,19,25,11,11,21,10
1,1,14,6,18,18,13,5,12,9,17,41,23,199,265,341,347,321,514,201,515,177,147,260,260,205,289,291,209,205,197,33,7,19,33,13,322,185,13,149,7,11,7,9,7,5,11,7,11,17,15,7,12,11,13,23,26,14,12,10,9,9,9,9,9,9,9,7,12,11,9,9,10,10,9,15,12,13,13,5
3,13,23,25,27,87,105,29,79,51,5,3,123,7,293,243,225,33,8,7,5,139,38,28,27,285,275,25,21,211,291,231,41,13,13,14,69,54,15,14,15,17,23,23,13,15,13,11,27,13,23,21,21,31,21,21,29,25,23,19,18,21,21,17,15,9,1,1,9,121,155,1,1,1,228,1,49,229,229,169
21,8,10,10,4,3,3,3,3,26,9,353,11,271,3,1,3,1,153,195,347,289,387,339,289,261,219,201,285,257,334,229,3,5,5,5,232,9,9,12,10,5,7,15,15,8,13,9,21,11,19,17,27,16,15,29,61,59,14,18,18,125,25,19,17,15,17,15,13,17,20,23,21,12,20,20,12,20,20,209
41,25,65,71,1,3,3,3,3,3,3,3,3,3,155,201,47,7,5,9,21,125,137,21,19,43,35,35,21,5,23,29,33,7,7,21,25,29,197,7,19,7,13,7,9,19,9,207,7,15,17,22,18,23,34,34,30,29,27,24,24,23,23,22,23,83,22,189,23,253,23,1,223,25,1,199,140,145,187,175
3,10,9,13,21,5,13,13,31,13,13,7,13,17,5,13,11,7,13,33,29,415,47,353,347,39,141,53,85,81,89,67,120,61,127,71,89,121,95,99,107,109,135,141,85,37,43,39,14,12,29,9,11,10,16,15,15,15,15,13,19,13,17,15,9,9,7,9,9,5,7,7,7,5,7,7,14,7,23,9
73,13,3,63,5,37,37,8,10,39,20,27,21,7,7,191,3,3,7,265,301,359,477,497,5,3,13,23,21,27,13,13,5,15,15,19,17,31,11,73,79,9,74,84,56,49,55,52,38,41,28,25,26,33,1,1,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,1,5,3,5,5,3,3,3,23,5,199,13,113,19,19,97,19,29,139,153,33,49,105,19,19,17,77,46,56,57,11,48,34,38,42,42,27,11,9,7,11,21,36,19,17,21,27,18,27,13,11,12,11,19,14,19,21,57,23,12,17,16,19,12,12,29,14,225,215,353,325,331,71,229,221,265,377,259,55
17,3,15,7,16,12,32,7,23,7,9,13,13,13,5,7,5,13,1,11,9,13,11,163,5,7,17,255,7,7,17,7,5,123,189,453,225,5,209,29,69,37,35,44,41,41,117,43,147,43,38,217,253,211,81,199,193,105,101,35,37,43,43,41,87,97,45,1,89,85,43,1,237,73,133,139,215,215,177,145
6,5,8,41,7,9,21,13,17,13,11,29,8,83,16,13,347,215,429,125,109,19,11,35,14,9,23,12,15,7,9,55,17,22,11,13,49,43,45,39,43,63,76,55,50,61,46,26,23,17,16,14,5,5,15,5,13,14,13,13,13,12,12,12,13,13,13,12,12,14,11,11,15,17,15,22,29,24,24,24
