0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
64,34,254,143,83,652,325,2857,1128,772,723,769,769,769,769,769,781,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,872,885,1024,1024,1024,1024,1024,1024,1024,1024,210,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,231,231,231,231,231,195,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
822,400,270,185,85,50,478,244,110,1546,1009,661,547,512,494,494,494,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,895,858,858,858,858,863,863,863,863,863,863,863,863,952,961,961,961,961,961,975,975,975,975,975,975,975,975,975,975,975,975,975,979,925,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979
67,622,378,225,130,41,429,1976,1960,12235,9445,8239,8163,8111,8144,8144,8133,727,727,727,727,727,727,727,727,727,697,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,83,113,83,83,83,83,83,83,83,83,83,83,83,83,83,109,761,415,414,423,423,423,423,423,423,423,423,423,423,423,423,423,423,378,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423
113,62,53,403,227,150,95,82,256,256,256,256,256,256,256,256,260,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,1304,1236,1187,1187,429,429,429,429,429,429,429,429,429,429,429,429,429,429,436,436,436,436,436,438,438,438,438,438,438,438,438,438,438,438,438,438,438,357,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438
426,322,156,96,60,1239,867,7678,6030,5088,4716,4658,4592,4592,4592,4592,4710,4763,4797,5034,5035,5035,5035,5035,5040,5040,4185,5040,5040,5040,5040,5040,5041,5041,5041,5047,5047,5047,5047,5047,5047,5047,5047,583,583,583,583,583,583,583,583,583,583,583,583,583,584,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,399,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585
99,58,39,24,74,506,329,1539,637,494,418,418,418,626,626,626,626,635,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,826,826,826,826,826,826,826,826,826,1085,962,962,962,962,1065,2148,1486,1486,1486,1526,1526,1526,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1486,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1534,1534,1534,1534,1534
13,171,108,52,23,268,112,907,609,4216,3946,437,405,387,391,2073,1901,2098,2058,2722,2722,2733,2727,2727,2727,2727,2403,2727,2727,2727,2727,2727,2727,2727,2727,2727,2727,2727,2727,2727,2727,2735,2735,848,848,848,848,848,848,848,848,848,848,848,848,848,877,875,875,875,875,875,875,875,875,875,875,875,875,875,875,875,875,875,875,875,813,875,875,875,875,875,875,875,875,875,875,875,875,875,875,875,875,875,875,875
144,81,49,497,268,110,88,386,326,316,316,316,316,316,316,316,316,332,2701,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,83,582,490,418,361,318,318,318,318,318,318,318,318,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,312,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
942,470,294,163,76,64,208,174,163,163,163,163,163,163,163,163,171,33834,3952,173,795,638,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,179,179,313,312,312,312,312,312,312,312,312,537,537,537,537,539,371,371,371,371,369,371,371,372,372,372,372,372,372,372,372,372,372,372,372,325,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372
62,495,314,223,162,121,98,89,89,89,89,89,89,89,103,103,103,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,142,129,119,152,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,2328,147,147,147,147,147,147,129,147,150,150,150,150,150,150,150,150,150,150,150,151,151,151,151,151,151,151
14,147,82,39,25,152,102,815,3353,1049,679,11494,4414,1999,9673,8597,753,753,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,793,793,793,793,793,793,793,793,793,1398,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1550,1572,1572,1572,1572,1572,1604,1604,1604,1608,1608,1636,1636,1636,1636,1636,1636,1636,1636,1636,1461,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636
73,42,355,192,828,452,298,1128,4956,4125,3598,3241,3187,3231,3227,3227,3229,215,215,215,215,215,215,215,215,215,155,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,82,82,82,82,82,82,82,82,82,82,82,82,82,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,75,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
459,249,150,90,39,273,122,1084,800,595,2281,5840,5778,5778,5778,5778,5778,7003,4551,6659,6598,6593,6554,6554,6554,6554,6114,6554,6554,6554,6554,6554,6554,6554,6570,2758,2758,2758,2758,2758,2765,2765,2765,466,466,466,466,466,466,466,466,466,466,466,466,466,468,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,329,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341
