0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195
3646,2492,1061,745,315,95,31,26,21,98,96,95,94,94,94,94,94,94,94,107,95,94,94,94,94,94,94,94,94,94,94,94,96,94,94,94,94,94,94,94,102,304,208,99,95,94,94,94,94,94,94,94,94,94,94,94,94,94,118,501,376,110,94,94,95,94,94,94,94,94,94,94,94,100,120,100,120,34,120,34,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,42,46,42,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,37,38,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
1613,1121,929,478,2603,1715,469,1297,1018,882,341,978,1227,978,1018,978,1227,345,327,107,403,339,309,308,308,309,308,308,308,308,308,308,326,314,314,314,314,314,314,314,314,314,314,315,315,315,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,597,330,282,250,250,250,250,250,250,250,250,310,274,260,250,250,263,250,250,250,250,250,250,250,306,306,306,306,306,307,321,397,107,341,31,341,341,341,341,341,299,359,526,202,192,191,191,191,191,191,191,192,192,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,68,52,52,52,52,52,52,52,52,52,52,52,52,118,118,119,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,119,119,119,88,75,75,75
48,30,96,245,200,196,177,162,150,150,158,154,150,150,150,150,150,150,150,162,156,150,150,150,150,150,150,150,150,222,154,152,159,152,152,152,152,152,160,156,156,156,156,156,156,156,160,179,160,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,160,160,179,37,179,37,179,198,190,190,190,190,190,190,190,190,190,190,787,941,927,921,921,921,921,921,921,921,921,921,921,921,921,921,921,815,921,921,921,921,921,921,921,921,921,388,389,388,388,388,388,388,388,388,388,388,388,388,388,388,402,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,117,117,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
25,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,19,39,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,34,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,31,76,157,116,114,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,129,195,430,350,430,195,195,195,196,199,196,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,145,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
324,145,89,78,75,75,106,33,27,23,26,186,236,209,110,92,92,92,92,148,541,226,164,142,128,128,128,128,128,128,128,128,128,140,128,128,128,128,132,173,132,128,128,130,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,146,291,191,176,162,158,158,166,162,162,162,162,162,174,162,162,162,162,162,162,162,162,162,162,162,162,190,176,197,176,176,176,176,176,176,176,176,176,176,190,176,176,176,176,176,176,176,176,176,176,176,180,192,204,204,204,204,204,204,204,204,204,204,204,210,206,206,206,206,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,316,279,296,314,313,313,313,313,313,313,313,313,313,313,313,313,314,313,313,313,313,313,313,313,313,313,313,313,313,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314
17,6,26,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,43,23,23,23,23,23,23,23,23,23,23,23,24,24,31,28,28,28,28,28,28,28,28,28,28,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,154,295,154,295,232,202,202,202,202,202,202,202,202,202,202,202,202,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
871,698,624,583,583,672,89,89,89,89,89,89,89,89,89,89,89,89,89,108,108,136,108,108,108,108,108,108,108,108,176,108,110,108,108,108,108,108,131,108,108,108,108,108,108,108,108,108,108,180,1063,992,860,808,779,765,751,751,751,751,751,751,751,751,1999,751,751,759,755,755,755,755,755,777,765,765,765,765,765,765,765,765,765,765,765,765,793,779,773,773,773,773,773,773,773,777,787,881,881,881,881,881,773,881,881,881,881,881,881,881,888,881,348,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,138,135,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
49,285,169,150,150,150,150,150,150,150,154,150,150,150,150,150,150,150,150,186,162,156,305,160,158,158,165,247,165,158,162,158,158,158,158,158,430,288,286,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,286,274,292,442,170,389,190,175,170,170,170,170,170,170,170,170,170,170,442,450,449,177,184,177,184,177,184,177,176,172,184,172,170,170,170,170,170,170,170,170,170,170,170,170,170,170,190,190,190,190,190,190,190,190,190,190,190,196,192,192,192,192,192,193,193,193,193,193,193,193,197,199,197,199,224,205,63,205,63,57,63,57,56,56,56,45,56,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,72,72,72,72,72,74,74,74
54,27,111,95,26,17,11,10,10,10,10,10,10,10,10,10,10,10,10,20,12,12,12,12,12,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20,90,44,30,26,34,26,34,26,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,23,23,23,23,23,47,217,208,229,216,197,189,198,275,198,191,183,176,195,176,195,47,43,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,23,23,23,23,23,23,23,24,23,43,23,23,23,23,23,23,23,23,23,23,23,43,23,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
54,138,94,76,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,80,104,60,52,102,74,68,68,68,68,68,68,68,68,92,270,210,191,176,172,166,162,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,759,769,759,769,759,788,329,810,791,810,798,798,798,798,798,798,798,798,798,888,880,873,873,873,873,873,873,873,873,873,873,874,873,873,873,761,873,873,873,873,873,873,873,873,873,869,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,139,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
