0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
38616,41589,39133,193023,925573,939089,921731,749307,564201,489121,485888,490621,129380,78879,17645,78746,82500,131842,131970,131970,131842,124590,18750,123438,18750,121966,79231,128254,128194,119205,101903,128179,126707,107637,22351,22351,127040,84220,119206,128308,119206,44004,119206,76573,44361,88321,44361,84577,67475,107995,67475,22709,22727,122425,44379,80011,80011,108013,100717,108013,44891,44891,123365,86515,98893,130219,129495,129495,102767,100721,129495,121143,100721,22727,113385,113385,106507,154567,166216,134606,56772,166216,167448,164080,134606,164080,56772,134606,165288,169992,56772,165288,153776,166216,154544,166216
57980,43775,32418,29943,503807,493264,461260,470829,486323,479927,491819,118391,75180,78985,17403,75109,59558,129095,75119,131935,129095,74647,128691,74647,128691,61915,54755,82180,82172,123978,137176,78344,69440,116086,132388,132388,78128,57873,123979,78345,123979,78653,123979,136896,78981,58201,78981,52537,67817,116415,66249,136901,132742,137530,79006,22850,136898,116440,137530,116440,80670,80670,129948,102048,110488,131082,56802,56802,131082,126824,56802,42450,126824,137530,57872,57872,40920,169039,122934,173010,132686,122932,167962,121134,173010,121134,136514,173010,127342,162298,148956,123514,168778,119104,168970,119104
45738,223862,286131,321897,309240,1397228,922984,557874,445762,428757,422922,365767,329579,336299,22151,103465,87120,160684,103558,163880,160648,103066,160368,105502,160368,81564,75084,107077,106101,155005,168218,106875,89847,147517,163309,163309,104887,73354,155002,106008,155002,101504,155002,168404,107606,73792,107606,68128,87672,147956,87672,168317,163754,168662,107612,25956,168421,147973,168673,147973,108583,108583,83919,68017,168673,100371,115807,115807,100627,168673,115807,114647,168673,167945,25765,25765,77130,144535,156469,195849,139477,156469,184695,138045,195849,138045,139413,195849,55919,198833,108901,55919,198833,156469,144477,156469
447139,577057,590811,687345,553977,531243,557675,566711,194280,161512,100791,5339,5319,5311,31214,5304,5199,40699,5304,33806,40699,5304,29442,5304,29442,5304,35654,5576,5576,38196,35834,5576,5576,39060,29714,29714,5576,35834,38196,5600,38196,28210,38196,30536,28224,35848,28224,35848,16844,39074,16844,29728,29728,40985,5614,35125,39111,39200,5569,39200,5614,5614,37771,28408,5584,36501,5614,5614,36501,36441,5614,40429,36441,28378,34893,34893,8114,41185,8911,37310,24278,8911,42421,8775,37310,8775,24278,37310,38702,8927,29095,38702,41134,8911,41182,8911
533834,743420,676276,632818,553382,584630,375193,289058,291458,297290,627589,616561,245322,165603,40579,165389,78551,165179,165271,165271,165143,159135,22481,159135,22481,157295,114460,161863,161863,153213,131939,161203,159363,142749,25209,25209,161223,111005,153223,162001,153223,62159,153223,107624,62332,112558,62332,112558,88260,142932,88260,25392,25412,154676,62352,107484,105944,142963,129907,142963,62875,62875,157155,112749,128527,162269,69917,69917,162269,149725,69917,50663,149725,168213,74395,71061,39804,191031,112151,193649,140213,112151,180369,121163,193649,121163,140213,193649,117175,178453,149863,117175,187421,108493,190973,112151
39217,43671,38840,31255,29867,433570,465653,397779,392804,400248,401968,137794,106348,99128,21773,99043,80017,150395,100587,156267,152283,106835,149917,106835,149917,77739,79457,107075,108635,147740,125670,148701,149541,55117,119525,119525,49307,24629,151517,160741,151517,160741,151517,118834,132868,24838,129284,24838,24838,147752,24838,111380,119784,124888,125666,153006,115675,147793,158473,147793,128601,128601,125327,24879,157577,121039,150425,150425,122101,128041,151449,142301,129193,24879,144233,144233,141245,148792,171382,133744,44812,171382,169150,173038,133744,173038,44812,128552,160622,177830,44620,165814,155676,171382,148792,171382
55588,49433,931413,926672,577920,472796,315176,311362,305176,297536,623432,247142,168298,168214,40325,168138,76239,167936,168064,168064,167936,161784,22920,161784,22920,159724,110388,165268,164158,155512,132957,165169,163109,145221,26305,26305,165180,112968,155520,165308,155520,61508,155520,109177,61894,113354,61894,113354,91090,145618,91090,26702,26738,157661,61927,108831,109187,145652,131506,145652,62488,62488,160146,111824,131506,166064,69736,69736,166064,152396,69736,55284,152396,171880,79362,79362,59308,201525,122893,205151,154151,122893,189139,143264,205151,148928,157979,205151,134412,181539,156349,134412,195479,122893,183867,200287
43109,225040,281975,242041,191762,20616,144442,136450,124864,121034,67115,66827,65529,196148,39439,131211,51891,131078,167058,123486,131070,130846,74198,130846,75934,95486,18646,133776,36958,112736,133778,36858,110007,44079,86311,86311,36735,21353,121699,133777,121699,133777,121699,90147,106473,21551,106473,21551,21551,123417,21551,85538,86538,97515,106489,118133,91758,123060,130838,123444,112092,112092,94988,21578,129998,101074,127262,127262,99886,98992,127262,117094,98992,21578,111328,111328,104177,143657,155005,118035,46645,155005,156525,152469,118035,152469,46645,114377,145635,159069,46645,149293,142889,155005,143657,155005
220461,202256,155484,124487,133641,124295,119249,117833,122407,122863,121216,76383,76330,76286,17564,76262,59847,127602,76272,130386,127602,78236,127158,72572,127158,65008,47503,81652,79108,122494,135158,79025,65685,114471,130383,130383,78809,57848,122484,79026,122484,79250,122484,134899,79625,58223,79625,58223,66541,114959,66541,134920,130777,135549,82079,22329,134917,115421,107547,115421,53625,53625,125449,99151,109019,129101,57553,57553,129101,124803,57553,44013,124803,135549,58877,58877,37029,161407,109215,166021,121237,109215,158165,110927,166021,110927,121237,166021,114003,151773,139607,114003,160637,109215,161405,109215
194734,235434,227097,172669,160387,176339,146892,139410,143090,147388,173114,103074,105643,210567,45501,158121,79070,158107,158107,158107,158107,143979,23023,143979,23023,127699,23023,161316,51766,139236,161386,50557,141051,54955,120237,116541,50557,26306,152234,161380,152234,161380,152234,119800,126864,26730,130560,26730,26730,148732,26730,112907,116994,125779,130571,153905,120053,148753,159355,148753,133133,129437,126013,26751,159355,121359,150995,150995,121103,129131,152019,140135,130193,26751,144955,144955,136038,169877,189063,159119,62169,189057,186889,190873,159119,190873,62169,159119,190229,194453,61977,190229,177357,189057,169745,189057
