0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
11,422,382,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,345,80,344,344,344,344,2937,2915,2903,2899,2898,2898,2898,2898,2898,2898,2898,2898,2899,2899,2899,2899,2899,2899,2899,2899,2899,2899,2899,359,359,359,359,359,359,359,359,359,359,359,3717,3651,3651,3651,3651,3651,3662,3662,3662,3662,3672,3672,3672,3672,2834,3672,3672,3672,3672,756,756,756,756,756,420,420,420,420,420,420,420,420,420,420
1188,885,566,3702,20629,19144,17630,16548,15922,16711,16601,16627,2991,1975,1967,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,2861,2397,2273,2220,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2210,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,462,462,462,462,462,462,462
28,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1926,1576,1312,1194,1234,385,266,227,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,236,226,226,226,226,226,226,226,226,226
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2659,1449,1248,1130,266,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,1972,1972,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,247,2432,2401,655,655,655,655,655,655,655
6366,5538,4588,3323,2801,2700,2688,2680,2680,2680,2680,2680,2680,2680,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,307,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,321,310,310,310,310,310,310,310,310,310,310,310,310,310,360,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,311,311,311,311,311,311,311,340,340,340
1049,5728,5048,3448,2493,2276,2236,2224,2214,2214,2214,2214,2214,2214,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,261,258,2712,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,564,511,511,511,511
11,570,522,484,448,448,448,448,448,4837,3917,3750,3770,3770,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,332,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483
1330,960,5495,3983,3597,2412,2154,2024,1984,1972,1964,1964,1964,1964,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,229,226,226,226,226,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,237,237,237,237,237,237,237,255,255,255
23655,31807,24193,119038,128863,103097,82503,79862,77166,76020,78824,22603,22321,22318,22318,22318,22318,22318,22318,22318,22318,22318,22318,22318,22318,22318,2380,2825,2685,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2627,2630,2630,2630,2630,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,526,526,526,526,526,526,526
14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,47,39,39,16229,14262,12732,12424,3285,2687,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2994,2862,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2832,2839,2832,2832,2832,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,462,462,462,462,462,462,462
11,476,367,287,274,1152,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1194,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,267,3692,3692,3692,3692,3703,3693,3693,3693,3693,3693,3693,3693,3693,3693,3693,422,422,422,422,422,422,422,422,422,4187,4187,4187,4187,4187,4187,4187,4187,4204,4204,4204,4204,4214,4214,4214,4214,3275,4214,4214,4214,4214,943,943,943,943,943,449,449,449,449,449,449,449,449,449,449
12,11,592,4036,3561,3090,2611,2250,2200,2172,2157,2157,2157,2157,2157,2157,2157,2228,350,226,226,226,226,226,226,226,226,226,2395,1979,1967,1964,1964,1964,1964,1964,1964,1964,1964,1964,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,236,236,236,236,236,236,236,236,236,236,236,236,2397,2344,2344,2344,2344,2360,2360,2360,2360,2361,2361,2361,2361,2001,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,623,623,623,623,623,623,623
583,434,356,292,256,226,226,226,226,226,226,226,2180,1984,226,226,226,226,226,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2412,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,287,287,287,287,287,287,287,290,290,290
6591,4046,2911,2493,2276,2024,1984,1972,1964,1964,1964,1964,1964,1964,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,236,236,236,236,236,236,236,237,237,237
4586,3160,1192,886,588,472,370,322,312,312,312,312,312,312,312,312,312,312,312,312,19923,3695,2395,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2412,2402,2392,2392,2392,2392,2392,2392,2392,2392,2392,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,286,286,286,286,286,286,286,533,533,533
11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,98,515,390,350,340,340,340,340,348,341,5170,3466,3312,3310,3298,3298,3298,3298,3298,3298,3298,3298,3298,3298,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,3643,2725,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,667,667,667,667,667,667,667
1450,1649,765,610,5560,4439,25505,17410,10762,9150,8256,7942,7942,7942,7942,7942,7942,7942,7986,7986,7986,7986,7986,8475,20353,20489,3212,2873,2733,2680,2622,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2586,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,470,470,470,470,470,470,470
620,468,392,351,287,274,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,435,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,2363,2360,2371,2371,2371,2371,2011,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,633,633,633,633,633,633,633
24,11,542,431,367,352,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,311,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,310,310,310,310,310,310,310,312,312,312
11,632,452,332,292,256,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,237,226,226,226,226,226,226,229,229,229
5394,4729,3458,18437,15987,16809,16151,26472,18584,18186,1987,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1994,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,236,236,2220,462,462,462,462,462,462,462
5148,3972,3130,2552,2504,2114,1984,1972,1964,1964,1964,1964,1964,1964,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,227,226,226,226,226,226,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,546,546,546,546,546,546,546
6419,4105,2130,1297,788,684,362,332,284,258,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,6868,16333,16997,3597,2413,2376,2344,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2329,2329,2329,2329,2330,2330,2330,2330,1970,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,592,592,592,592,592,592,592
1117,6890,5224,4137,3192,2270,2104,1998,1986,1978,1970,1964,1964,1964,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,227,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226
11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,32,81,2970,2958,2958,2958,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,246,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366
2474,1820,1442,1230,994,1034,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1076,374,266,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,2084,1994,1974,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,236,236,236,236,236,236,236,237,237,237
11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,80,368,365,365,3649,2981,2981,2981,2981,2981,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,246,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366
766,636,460,348,334,334,334,334,334,334,334,334,334,334,334,334,334,451,345,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,3050,2916,2904,2896,2907,2896,2896,2896,2896,2896,2896,2896,2896,2896,2896,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,345,345,345,345,345,345,345,346,346,346
11,546,424,346,278,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,271,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,271,271,271,271,271,271,271,272,272,272
569,341,273,260,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,227,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,236,236,236,236,236,236,236,237,237,237,237,237,237,237,253,253,253
12,10,10,10,113,5751,4692,3477,2264,2018,1978,1970,1964,1964,226,226,226,226,226,226,226,226,226,1967,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1974,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,2220,2221,2221,2221,2221,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,493,493,493,493,493,493,493
2162,1679,1392,1112,87,4436,3910,3750,3669,3647,3633,3621,764,764,764,764,764,764,764,764,764,766,765,765,765,765,765,765,765,765,765,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
937,6113,4776,3264,3150,3016,2918,2882,2885,2874,2874,2874,2874,2874,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,335,3291,3291,3291,3291,3312,3301,3291,3291,3291,3291,3291,3291,3291,3291,3291,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,386,386,386,386,386,386,386,387,387,387
11,1261,860,507,4089,3426,3137,2851,2557,2419,2423,2423,2423,2423,2423,2423,2423,2502,395,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,261,258,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257
11,10,1260,847,4479,3772,3243,3108,2966,2962,2985,2973,2965,2965,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,368,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,246,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,383
11,687,520,390,273,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,3171,2439,2417,2405,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2423,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,301,301,301,301,301,301,301,328,328,328
1590,1279,975,4684,28862,15488,13968,11638,11174,27313,3363,3339,3331,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3327,3347,3337,3337,3337,3337,3337,3337,3337,3337,3337,3337,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,386,386,3482,530,530,530,530,530,530,530
11,632,452,332,292,256,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,267,266,266,266,266,266,2396,266,266,266,2720,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2714,2729,2729,2729,2729,2740,2740,2740,2740,2380,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,626,626,626,626,626,626,626
24,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2779,1418,1194,1076,385,266,266,266,266,266,266,266,266,266,266,266,266,266,267,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
2768,1668,1006,8769,5223,4934,3672,3650,3661,764,3682,3681,3681,3681,3681,3681,3681,3681,3681,3681,3681,3681,3681,3681,3681,3681,3161,3681,3681,3681,3681,3681,3681,3681,3681,3681,3681,3681,3681,3681,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,3682,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,320,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
11,556,3450,3116,414,354,312,264,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,266,2476,3758,2495,2405,2402,2422,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,287,287,287,287,287,287,287,302,626,626
583,370,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,345,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,462,335,334,334,334,334,334,334,334,334,334,334,334,334,334,334,345,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,344,344,344,344,344,344,344,344,344,344,344,344,344,344,355,355,355,355,355,355,355,370,370,370
12,11,542,460,392,334,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,311,311,311,311,311,311,311,334,334,334
1120,966,5544,3853,2853,2399,2057,2057,2057,2057,2057,2057,2057,2057,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,240,3059,3059,3059,3059,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,3649,3649,3649,3649,3649,3649,3649,2929,3649,3649,3649,3649,975,975,975,975,975,405,405,405,405,405,405,405,405,405,405
