0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
8867,8457,6540,33770,208263,188443,137820,126715,127225,25841,26207,26207,26207,26207,26207,26207,26795,26807,26721,26721,26721,26722,26722,26722,26722,26722,25662,26722,26722,26722,26722,26722,26722,26722,26744,26741,26741,26741,26741,26741,26741,26741,26741,32296,32288,32288,32288,32288,32288,32288,32288,32288,32288,32288,32288,32288,32470,33302,33302,33302,33302,33302,33305,33303,33303,33313,33303,33303,33303,33303,33303,33303,33303,33303,33303,33303,27137,33303,33303,33303,33303,33303,33303,33303,33303,33303,33303,33303,33303,33303,33303,33313,33313,33313,33313,33313
6594,5751,34195,36294,28299,19192,18794,17431,17428,17420,17216,17216,17216,17184,17216,17216,17622,21684,21636,21508,21604,21519,21615,21587,21491,21587,21455,21491,21491,21587,21587,21587,21587,21587,21614,21642,21642,21614,21614,21614,21614,21614,21614,25903,25786,25822,25822,25786,25786,25786,25786,25786,25786,25822,25822,25822,26017,26215,26215,26215,26215,26275,26317,26317,26317,26318,26318,26318,26318,26318,26318,26318,26318,26318,26318,26318,20338,26318,26318,26318,26318,26318,26318,26318,26318,26318,26318,26318,26319,26319,26319,26333,26333,26333,26333,26333
6612,6463,37757,30856,209658,205333,171231,157321,134813,122711,122316,122298,26471,18390,18370,18370,18440,22779,18793,18740,18740,18750,18750,18750,18750,18750,18750,18750,18750,18750,18750,18750,18750,18750,18769,18766,18766,18766,18766,18766,18766,18766,18766,22532,22460,22352,22352,22352,22352,22352,22352,22352,22352,22352,22352,22352,22446,22709,22709,22709,22709,22709,22730,22727,22727,22727,22727,22727,22727,22727,22727,22727,22727,22727,22727,22727,17315,22727,22727,22727,22727,22727,22727,22727,22727,22727,22727,22727,22737,22737,22737,22746,22746,22746,22746,22746
41332,34195,24761,25031,25913,24070,24042,23409,23405,23391,23391,23391,23391,23391,23391,23391,23591,23567,28001,23559,23505,23516,23505,23505,23505,23659,23659,23659,23659,23659,23659,23659,23659,23659,23664,23660,23660,23660,23660,23660,23660,23660,23660,25069,25051,24959,24959,24959,24959,24959,24959,24959,24959,24959,24959,24959,24972,25062,25062,25062,25062,25062,25083,25079,25079,25089,25089,25089,25089,25089,25089,25089,25089,25089,25089,25089,23037,25089,25089,25089,25089,25089,25089,25089,25089,25089,25089,25089,25090,25090,25090,25121,25121,25121,25121,25121
8722,10275,8724,5859,45877,37753,29433,25403,23245,21843,18529,18151,18391,26583,18390,18370,18671,18777,18753,18753,18753,18763,18763,18763,18763,18763,18763,18763,18763,18763,18763,18763,18763,18763,18779,18779,18779,18779,18779,18779,18779,18779,18779,22555,22483,22463,22455,22455,22455,22455,22455,22455,22455,22455,22455,22455,22575,23194,23178,23178,23178,23178,23203,23203,23203,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,17377,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23213,23214,23214,23214,23236,23236,23236,23236,23236
22907,21689,27587,27047,20915,18741,19446,18532,18350,18430,18427,18407,26197,18406,18370,18370,18440,18753,18700,18700,18700,18710,18710,18710,18710,18710,18710,18710,18710,18710,18710,18710,18710,18710,18729,18726,18726,18726,18726,18726,18726,18726,18726,22052,21944,21944,21944,21944,21944,21944,21944,21944,21944,21944,21944,21944,22343,22823,22823,22823,22823,22823,22865,22862,22862,22863,22863,22863,22863,22863,22863,22863,22863,22863,22863,22863,16411,22863,22863,22863,22863,22863,22863,22863,22863,22863,22863,22863,22863,22863,22863,22881,22881,22881,22881,22881
7840,52791,59003,56931,38115,164122,139803,110964,105820,104411,31684,22037,18545,18187,18184,18544,18607,18793,18793,18793,18793,18803,18803,18803,18803,18803,18803,18803,18803,18803,18803,18803,18803,18803,18819,18819,18819,18819,18819,18819,18819,18819,18819,22889,22871,22813,22813,22813,22813,22813,22813,22813,22813,22813,22813,22813,22907,23120,23120,23120,23120,23120,23148,23145,23145,23155,23155,23155,23155,23155,23155,23155,23155,23155,23155,23155,17319,23155,23155,23155,23155,23155,23155,23155,23155,23155,23155,23155,23156,23156,23156,23180,23180,23180,23180,23180
6035,6686,6176,33826,32641,28096,25700,24202,5702,5349,22798,22954,23198,23198,23198,23198,23358,23605,23605,23605,23605,23606,23606,23606,23606,23606,20978,23606,23606,23606,23606,23606,23606,23606,23634,23630,23630,23630,23630,23630,23630,23630,23630,27748,27676,27668,27668,27668,27668,27668,27668,27668,27668,27668,27668,27668,28261,28382,28382,28382,28382,28382,28386,28386,28386,28396,28386,28386,28386,28386,28386,28386,28386,28386,28386,28386,20767,28386,28386,28386,28386,28386,28386,28386,28386,28386,28386,28386,28386,28386,28386,28397,28397,28397,28397,28397
30740,28856,24317,18432,16912,17237,19702,18292,18110,25476,18109,18349,18346,18326,18406,18406,18476,18807,18759,18706,18592,18592,18592,18592,18592,18592,18592,18592,18592,18592,18592,18592,18592,18592,18595,18592,18592,18592,18592,18592,18592,18592,18592,20792,20706,20616,20616,20616,20616,20616,20616,20616,20616,20616,20616,20616,20845,21357,21357,21357,21357,21357,21394,21394,21394,21396,21396,21396,21396,21396,21396,21396,21396,21396,21396,21396,17416,21396,21396,21396,21396,21396,21396,21396,21396,21396,21396,21396,21396,21396,21396,21413,21413,21413,21413,21413
8061,40764,31866,22818,23860,21453,20423,20171,20413,19991,19989,19986,19985,19985,19985,19985,20059,20182,20182,20182,20182,20182,20182,20182,20182,20182,20170,20182,20182,20182,20182,20182,20182,20182,20187,20184,20230,20390,20229,20229,20229,20229,20229,22800,22800,22800,22800,22800,22800,22800,22800,22800,22800,22800,22800,22800,22933,22997,22997,22997,22997,22997,23019,23019,23019,23030,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,19678,23020,23020,23020,23020,23020,23020,23020,23052,23052,23052,23052,23062,23062,23062,23072,23072,23072,23072,23072
