0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
322,164,77,55,43,426,201,106,1113,566,445,325,272,208,184,166,148,138,128,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,1188,1132,124,124,1096,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
44,24,182,131,104,82,72,68,62,59,56,53,51,49,47,46,618,322,166,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
200,2993,1631,900,515,284,226,170,139,119,99,87,484,327,212,194,176,162,148,138,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,138,1324,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
47,819,410,208,134,1720,1035,576,290,183,133,632,344,218,186,178,160,146,136,128,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
286,144,2922,1483,807,423,206,148,114,100,86,266,216,184,174,164,156,152,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,1442,1386,1342,1320,1306,148,1294,1286,1286,148,1286,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306
92,52,28,22,16,14,459,247,157,114,516,270,230,180,184,156,146,138,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,144,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
570,302,150,71,494,314,282,244,214,190,156,140,122,114,112,112,112,112,112,112,112,465,223,168,144,144,144,144,144,144,144,144,1499,1427,1370,144,144,144,144,144,144,144,1304,1274,1244,1220,1200,1188,148,148,148,148,148,148,148,148,1535,148,148,148,148,148,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
196,1658,939,561,322,163,88,617,378,235,175,157,139,123,110,104,98,94,92,92,92,356,176,128,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,1330,1202,1142,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
2895,1474,1009,465,248,164,136,755,529,347,278,238,212,192,174,166,148,138,128,124,124,124,124,124,124,124,124,124,124,124,124,124,1278,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,134,128,124,124,1222,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
170,94,44,32,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,188,132,114,440,232,192,174,164,154,144,134,124,124,124,124,124,124,124,124,124,124,130,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
831,435,228,108,56,1475,790,445,233,2847,1254,675,470,346,280,240,200,176,158,148,138,128,124,124,124,124,124,124,124,124,124,124,124,124,1214,1118,1050,124,124,1020,996,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
