0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
8484,4809,22968,14348,8691,4829,2588,1600,10801,8699,4834,3818,1977,785,507,255,138,113,94,86,75,66,61,55,39,28,25,17,15,12,9,8,16,14,12,11,9,8,7,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,7,6,1,1,1,1
1343,993,6943,4315,3110,8614,4690,33479,31231,21584,9743,4705,2672,1544,1288,492,171,100,86,68,62,52,47,40,38,32,28,24,20,19,16,14,19,18,17,14,11,10,8,7,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,35,29,1,1,20,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26924,13245,124252,72603,39722,21861,12924,7833,5233,2654,1252,731,284,199,157,130,97,86,74,63,43,40,32,26,24,20,19,15,13,11,9,7,16,14,12,10,8,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11501,5294,3400,12200,7641,3178,2773,2334,1299,1251,937,675,458,277,176,148,106,152,119,59,44,40,38,36,32,31,26,52,21,44,19,12,16,13,12,9,8,7,6,4,6,36,17,9,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39792,24274,16757,7914,5125,2939,1570,1308,931,628,508,427,374,852,475,290,219,132,109,108,63,56,50,47,46,40,37,60,30,25,24,38,19,30,28,14,21,11,10,8,7,16,5,4,3,2,1,1,47,40,122,98,50,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55627,34354,16158,5996,2579,1706,1717,1086,800,468,312,198,153,116,96,84,61,52,45,37,30,25,20,17,15,13,12,12,9,41,40,32,25,26,16,12,9,8,7,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9114,4484,2296,8469,6380,4107,2161,16379,4841,4378,2478,1506,971,671,518,435,363,276,224,108,58,51,43,37,33,32,31,25,24,20,17,15,20,17,14,13,12,11,9,8,6,4,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1325,919,597,358,237,146,102,85,72,64,58,46,34,180,103,106,121,254,199,158,114,87,77,66,57,54,37,34,29,103,62,36,30,24,21,20,16,15,14,13,12,11,9,8,7,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13875,8853,4176,2840,2206,1533,865,5149,1842,872,451,449,267,172,227,96,80,63,98,51,47,73,34,28,26,25,45,19,42,17,14,12,56,57,24,16,10,6,5,4,86,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16404,9339,47630,25839,24000,40415,20537,18212,9841,5735,3417,1783,1471,843,702,552,362,407,257,195,150,139,112,133,83,95,58,79,46,67,66,35,36,32,28,25,21,16,12,11,9,8,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
