0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1850,1080,712,415,211,67940,44177,23262,13550,7179,62168,33997,19999,12435,6379,4301,3378,2901,2502,2162,1949,1780,1610,1492,1364,1280,1202,1160,1124,1088,1060,1034,1016,998,980,964,948,940,932,924,916,910,904,900,900,900,900,900,900,900,900,900,900,1082,1068,1054,9468,1050,1050,9360,9276,1050,1050,9204,9156,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
1177,638,324,192,98,20571,12576,7864,59502,37165,20799,12071,6979,4936,3911,3226,2909,2565,2342,2174,2048,1934,1850,1802,1734,1678,1630,1586,1566,1548,1536,1524,1516,1512,1506,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1682,1670,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662,1686,1682,1682,1682,1682,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692
30,15,276,155,76,41,23,188,116,78,66,60,54,52,50,50,50,14320,10241,6226,3354,2188,2048,1958,1870,1810,1762,1722,1690,1666,1648,1632,1618,1606,1594,1584,1576,1570,1564,1560,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,2043,2043,2043,2045,21297,2045,2045,21164,21124,2045,2045,2045,2204,2204,2204,2204,2204,2220,2220,2232,2232,2232,2232,2232,2232,2232,2232
23153,16803,9051,4700,2983,2402,1915,1686,7538,5050,4384,3581,3094,2676,2611,2510,2352,2210,2052,1866,1758,1642,1552,1472,1410,1370,1344,1324,1306,1290,1276,1264,1252,1240,1228,1218,1210,1206,1198,1192,1186,1180,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1316,1308,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1314,1314,1314,1314,1314,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324
1332,680,353,177,89,18075,9950,5842,2957,38671,19518,10136,6850,4936,3733,2958,2460,2070,1956,1750,1630,1470,1352,1268,1172,1122,1078,1034,1002,978,958,942,926,910,898,888,878,872,866,860,856,856,856,856,856,856,856,856,856,856,856,856,856,1040,1024,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1024,1024,1024,1024,8482,8420,8380,8356,8356,8356
101,64,49,31,237,112,96,76,72,64,59,55,53,51,49,48,47,46,46,4739,3032,1782,1274,1224,1182,1144,1108,1072,1042,1018,994,972,8258,8001,7758,924,914,906,900,894,894,894,894,894,894,894,894,894,894,894,894,894,894,1062,8576,1032,1028,8699,8581,8480,8408,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028
47,819,410,208,134,25824,17746,10391,4962,2668,1724,1287,1077,881,4020,2328,1838,1558,1456,1309,1228,1190,1130,1096,1064,1036,1010,986,962,950,938,926,914,904,894,888,882,878,878,878,878,878,878,878,878,878,878,878,8840,878,878,878,878,1028,1004,996,996,996,996,996,996,996,996,996,996,996,996,996,996,996,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006
18,170,81,1044,568,297,166,15429,8882,5880,3788,2434,1898,1516,1204,1104,1026,956,890,850,807,757,725,711,697,679,669,659,663,4663,2191,1394,1238,1222,1206,1190,1182,1174,1168,1162,1156,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1395,1387,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,11562,11418,1387,1387,1387,1387,1387,11356,1387,1387,1387,1387,1387,11296,11288
451,289,149,78,562,365,198,99,5608,3152,2626,2055,1693,1511,1243,1173,1064,967,899,849,807,785,4569,2754,1663,1216,1126,1100,1080,1064,1052,1040,1028,1018,1010,1002,994,988,982,976,970,970,970,970,970,970,970,970,970,970,970,970,970,1156,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138
3145,1726,882,550,344,208,14848,10538,7774,4470,2607,1611,1199,1006,846,3254,2588,1934,1726,1544,1390,1272,1174,1098,1054,1026,1000,980,962,946,930,918,906,894,882,872,864,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,1042,1038,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1038,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034
48,24383,14582,8727,4474,2382,1269,10666,5757,4246,3206,2798,2270,1972,1770,1750,1626,1538,1432,1336,1256,1176,1110,1050,1020,998,978,962,946,930,916,904,7877,7651,7467,7276,7146,7161,7080,7007,8869,8631,842,842,842,842,842,842,842,842,842,842,842,1008,1008,1008,1008,8612,1008,8526,8466,8426,1008,8392,1008,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012
3321,1885,969,487,276,142,83,41,24,6030,47711,27506,17374,11578,6759,5191,3657,2618,2248,2010,1844,1678,1474,1352,1238,1144,1072,1016,980,952,938,928,922,916,910,904,904,904,904,904,904,904,904,904,904,904,904,904,9279,904,904,904,904,1032,1008,1008,8618,8520,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008
781547,443290,278536,154190,88721,60345,31779,19089,11552,8390,5994,4326,2892,2412,2068,1826,1576,1404,1338,1274,1220,1168,1120,1088,1058,1030,1018,1006,994,984,976,970,964,958,954,7665,7483,954,954,954,954,954,954,954,9081,954,954,954,954,954,954,954,954,1076,1068,1064,1064,1064,1064,1064,9003,1064,1064,1064,1064,1068,1064,1064,1064,1064,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074
324,206,1250,837,449,43031,28267,14434,8298,4175,2558,1876,1402,1050,6179,3914,2829,2349,2077,1899,1762,1618,1516,1414,1314,1248,1216,1184,1168,1152,1136,1124,1114,1108,1102,1102,1102,1102,1102,1102,1112,1112,1112,1112,1112,1112,1112,1112,12910,1112,1112,1112,12186,1340,1326,1318,11904,11788,11712,11648,11584,11538,11554,11576,11556,11540,11528,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520
47,28,15,190,100,57,45,37,32,3063,26681,14870,8145,5597,3931,3246,2760,2275,1894,1680,1522,1472,1402,1354,1294,1252,1216,1192,1174,1164,1160,1152,1146,1142,1142,1142,1142,1142,8780,8634,1142,10193,10135,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1308,1308,1308,10500,10220,10110,10039,1308,1308,9969,1308,1308,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314
1929,1342,722,389,223,92,68,62,3731,2992,2159,1824,1692,1467,1213,1071,919,853,793,757,727,3773,2737,1874,1344,1212,1156,1142,1130,1118,1108,1100,1092,1084,1078,1072,1066,1062,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,10991,1288,1284,1284,11147,11059,1284,10995,1284,10955,1284,1284,10975,10941,10913,10897,10889,10881,10881,10881,10881,1312,10881,10881,1312,10881,1312,10881
71680,39572,21422,12011,6004,3601,37265,23586,14480,10226,6808,4880,3497,2560,2050,1816,1628,1464,1374,1296,1246,1150,1106,1082,1052,1028,1004,986,970,958,946,934,922,912,906,902,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,898,1022,1008,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1004,8752,8628,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004
11328,6089,54296,34411,20706,13273,7272,5359,3873,3275,2833,2393,2057,1829,1674,1557,1468,1334,1240,1152,1092,1032,990,956,928,912,900,888,876,864,854,846,840,834,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,976,960,952,952,952,952,952,952,952,952,952,952,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956
101,53,41,33,4401,38408,21195,12845,7615,4073,3338,2665,2301,2021,1804,1666,1498,1410,1350,1278,1214,1172,1136,1104,1080,1058,1038,1020,1004,988,972,960,948,936,930,926,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,1076,1066,1058,1058,9280,1058,1058,1058,1058,1058,1058,1058,1062,1062,1062,1062,1062,9092,1062,1062,1062,1062,1062,1062,1062,1062,1062
1256,761,432,308,45848,30001,17749,9075,4798,3224,2322,1924,1514,1302,1106,1004,930,902,846,794,750,702,664,638,616,612,3061,1753,1158,1106,1058,1018,994,980,968,956,948,940,932,926,920,914,914,914,914,914,914,914,9155,914,914,914,914,1076,1066,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1060,1060,1060,1060,8771,1060,8695,1060,1060,8623,8603,8591,1060,8583,8583
49,28,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,3445,1687,1204,891,566,1758,1714,1606,1511,1421,1362,1334,1314,1300,1298,1286,1276,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1468,1440,1416,1412,12406,1412,1412,1412,1412,1412,1412,1412,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464
65,56,46,257,110,84,63,4581,2899,1670,1344,1114,945,814,4000,2456,1931,1620,1453,1350,1270,1200,1152,1112,1072,1032,1004,980,956,938,920,904,892,882,872,864,858,852,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,968,964,964,964,964,964,964,964,964,964,964,964,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970
200,54456,28662,22082,12494,6774,5050,2948,2070,1470,1121,959,853,747,672,3505,2230,1936,1716,1595,1482,1382,1304,1244,1192,1148,1112,1084,1066,1048,1032,1016,1004,996,990,984,978,972,968,964,964,964,964,964,964,964,964,964,964,964,964,964,964,1102,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092
570,302,150,71,5250,3226,2521,2502,2050,1864,1560,1453,1260,1142,1041,981,953,899,867,841,817,805,793,783,775,781,4058,2618,1554,1278,1234,1214,1198,1182,1172,1166,1160,1160,1160,1160,1170,1170,13793,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1491,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1537,1537,1537,1537,1537,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538
92,52,28,22,16,14,6884,4107,2366,1725,1267,988,848,4321,2469,1925,1632,1536,1436,1370,1310,1256,1208,1174,1150,1126,1118,1108,1100,1092,1084,1076,1070,1064,1058,1052,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1298,1274,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1278,1278,1278,1278,1278,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288
173,93,537,344,191,15150,12512,7263,4284,23927,14631,9941,5991,4227,3177,2695,2292,2010,1764,1614,1526,1412,1316,1252,1196,1162,1130,1102,1080,1060,1040,1024,1008,996,984,972,960,952,944,938,932,932,932,932,932,932,932,932,9289,932,932,932,932,8642,1066,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060
53,952,526,290,156,101,4492,2531,2082,1644,1385,1177,1081,993,916,862,796,748,702,662,638,618,606,598,592,586,580,574,568,562,2040,1344,948,888,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,1012,1002,994,990,990,990,990,990,990,7832,990,990,994,7736,7678,7630,7616,7606,7602,994,994,7588,994,994,994,7588,994
