0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
329346,182141,107788,77271,42285,28253,17898,13332,10210,8288,52017,33901,25399,21173,17177,15228,12879,11514,10553,9545,8433,7593,7022,6574,6203,5939,5647,5472,26028,17329,12911,9646,8947,8811,8598,8449,8268,8096,7918,7796,7674,7605,7515,7497,7437,7397,7353,7305,7277,7253,7237,7221,7213,7209,7209,7219,7219,7219,7219,7219,7219,7219,7219,7219,7219,7219,7219,7219,7219,7219,7219,7219,8777,8771,8765,8765,8765,9015,9077,9077
31461,21805,14381,7111,3889,2023,13091,107976,58513,458806,229360,161196,85781,65025,44238,34158,28009,23502,20292,18541,16701,15641,14030,13142,12048,11359,10921,10515,10186,10073,9784,9525,9277,9022,8841,8682,8540,8385,8253,8139,8091,8025,7965,7921,7905,7901,7885,7861,7843,7827,7813,7801,7793,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7793,7793,7793,7793,7793,7793,8868,8862,8862,8862,8862,9233,9251,9271
170395,119300,913820,547002,325390,197232,121744,99971,733634,505007,315576,212073,138111,91324,53337,33995,29573,22976,17484,15881,14300,13267,12043,11502,10750,10222,9762,9380,9032,8954,8726,8526,8416,8232,8120,7990,7864,7734,7648,7550,7476,7462,7416,7384,7356,7336,7326,7310,7294,7278,7266,7258,7250,7246,7246,7246,7246,7246,7246,7246,7246,7246,7246,7250,7250,7250,7250,7250,7250,7250,7250,7250,8774,8768,8762,8758,8758,9024,9046,9056
238808,148761,126192,78894,612168,330040,182804,112312,75316,44188,29058,18143,14873,11363,8818,8056,35180,23747,18897,16356,14834,13758,13003,12281,12036,11768,11447,11206,11005,11164,10899,10774,10592,10405,10275,10141,10045,9947,9893,9823,9759,9683,9627,9603,9565,9537,9573,9555,9545,9529,9513,9497,9485,9485,9473,9463,9457,9457,9457,9457,9457,9457,9457,9457,9457,9457,9457,9457,9457,9457,9457,9457,11747,11739,11731,11725,11725,12323,12363,12375
332873,189026,99615,57372,38232,22995,17049,9992,7231,5480,28691,19355,14894,10990,9096,8489,7552,33959,23155,16001,14264,12459,11106,10003,9491,9073,8725,8397,8057,8108,7864,7606,7430,7338,7226,7116,7068,6984,6902,6865,6825,6811,6767,6735,6719,6687,6667,6637,6613,6595,6595,6579,6563,6559,6555,6565,6565,6565,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6581,6585,6585,6585,8012,8004,7998,7998,7998,8298,8356,8356
214183,126998,89161,49791,30262,18019,156605,96013,63073,410570,261788,143621,96511,71179,50594,38273,31856,27021,24147,22247,20627,19231,18318,17222,16138,15331,14642,13807,13214,13273,13073,12851,12602,12372,12168,12004,11910,11798,11670,11591,11490,11408,11364,11284,11252,11202,11234,11208,11182,11174,11170,11190,11178,11166,11162,11172,11172,11172,11172,11172,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,13357,13339,13339,13339,13339,13736,13832,13842
183593,174656,133765,81516,65004,36414,263977,180744,97289,69753,51451,34209,26278,20606,17075,14783,12581,11433,10262,9410,8678,8117,7650,7369,6984,6629,6333,6025,5831,5783,29228,20225,12851,9069,8579,8441,8283,8135,8062,7922,7830,7755,7700,7630,7582,7517,7463,7407,7403,7359,7335,7319,7303,7291,7279,7281,7273,7269,7269,7269,7269,7269,7269,7269,7269,7269,7269,7269,7269,7269,7269,7269,8847,8825,8813,8813,8813,9165,9235,9245
29445,201870,134285,1021062,657675,394852,240043,169446,87621,52939,33492,22145,16912,13396,59884,36795,29068,23517,21131,19085,16886,15379,13732,12492,11408,10788,10141,9822,9463,9601,9518,9367,9197,9083,8959,8875,8761,8655,8561,8513,8465,8421,8385,8361,8339,8323,8369,8369,8353,8345,8341,8337,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,10899,10879,10869,10869,10869,11446,11508,11508
12211,6419,5122,3166,1876,13012,8881,72636,39800,20865,15835,11269,59678,35470,29948,26285,23663,21551,19579,17854,16262,15317,14547,13949,13436,12982,12681,12334,11966,11904,11612,11350,11208,11007,10737,10496,10344,10366,10226,10179,10079,9969,9857,9786,9711,9629,9633,9589,9563,9535,9515,9499,9495,9495,9495,9495,9495,9495,9495,9495,9507,9507,9507,9507,9507,9507,9507,9507,9507,9507,9507,9507,11397,11379,11363,11351,11347,11944,11986,11987
962796,642929,384824,223414,126192,103258,67915,55592,31145,22017,17924,15066,12343,10358,8683,44879,26567,20117,17843,15368,14390,12694,11465,10789,10417,10018,9947,9781,9569,9586,9326,9144,8940,8758,8596,8446,8320,8178,8067,7958,7881,7825,7757,7699,7671,7633,7605,7575,7555,7537,7521,7509,7497,7489,7481,7477,7477,7477,7477,7477,7477,7523,7523,7523,7523,7523,7523,7523,7523,7523,7523,7523,9116,9104,9104,9104,9104,9392,9416,9426
234211,173351,100985,65342,698950,449598,268978,170413,100993,56695,495415,273087,173763,104648,68084,46935,35799,29238,25616,22000,19700,17761,16400,15117,14371,13532,13020,12428,11936,12015,11667,11327,11175,10930,10861,10701,10533,10371,10197,10039,9993,9903,9859,9831,9767,9713,9687,9655,9623,9599,9581,9563,9545,9529,9513,9507,9491,9479,9471,9463,9455,9451,9451,9451,9451,9451,9451,9451,9451,9451,9451,9451,11991,11983,11981,11981,11981,12483,12551,12551
253764,166031,123679,88571,55357,40532,23153,197413,107743,79672,50253,32086,23648,18057,14783,12384,10383,9255,8100,6989,6389,5871,5522,5276,5090,4894,4734,4574,4467,4475,27393,19220,11938,9920,9479,9071,8867,8776,8680,8612,8548,8478,8439,8381,8329,8281,8255,8231,8191,8155,8139,8123,8107,8091,8079,8067,8065,8057,8049,8041,8037,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,9153,9141,9137,9137,9137,9531,9537,9547
7213344,4343970,3131773,2588984,1513054,1000960,572400,322270,204941,126596,76879,50764,35962,27090,20260,17368,14639,12710,11316,10518,10274,10048,9801,9412,9330,9182,8956,8688,8413,8457,8181,7905,7720,7542,7394,7234,7144,7078,6986,6918,6851,6803,6759,6727,6699,6675,6655,6635,6615,6603,6591,6583,6583,6579,6579,6589,6589,6589,6589,6589,6589,6589,6589,6589,6589,6589,6589,6589,6589,6589,6589,6589,7985,7985,7985,7985,7985,8341,8405,8415
9199,7715,6678,51241,34532,21304,155315,104072,62182,443522,277866,159671,102748,54553,37412,28749,24189,19977,16605,14338,12427,11006,9804,9352,9017,8639,8520,8422,8177,8218,8042,7847,7772,7608,7438,7285,7255,7187,7110,7028,6966,6912,6892,6844,6800,6760,6734,6706,6684,6664,6648,6632,6620,6616,6612,6612,6612,6612,6612,6612,6612,6612,6612,6612,6612,6612,6612,6612,6612,6616,6616,6616,7904,7880,7868,7868,7868,8092,8110,8120
9641,6006,49248,317765,189125,120680,74022,45738,26237,232950,140497,95353,70945,44021,32149,23672,21320,18944,17527,16113,14791,13471,12539,11603,10865,30095,19598,17976,16824,16594,16022,15325,15093,14843,14623,14532,14408,14298,14191,14090,14016,13922,13836,13756,13700,13668,13795,13769,13745,13721,13703,13687,13671,13663,13663,13679,13679,13679,13679,13679,13691,13737,13737,13737,13737,13737,13737,13737,13737,13737,13737,13733,19319,19307,19301,19297,19297,20870,21450,21527
986261,587400,366585,208286,1509995,1059778,695705,410781,292511,143349,90483,63248,41951,30084,25143,20501,17602,15843,14642,13570,12790,11956,11200,10654,10089,9697,9269,8921,8633,8579,8379,8175,8003,7841,7641,7450,7280,7142,7076,6986,6914,6894,6834,6794,6772,6752,6736,6718,6700,6716,6700,6720,6704,6692,6684,6680,6676,6676,6676,6676,6676,6676,6676,6676,6676,6676,6676,6676,6676,6676,6676,6676,7958,7946,7946,7946,7946,8362,8376,8386
9740,9561,6373,47044,26025,17243,14933,11311,9594,7086,5128,4049,19753,12733,8661,7533,6321,25744,17567,14392,12930,11439,10717,10234,9686,9415,9122,8863,8668,8776,8618,8350,8260,8159,7971,7813,7676,7526,7394,7312,7224,7204,7154,7090,7050,7004,6974,6938,6906,6876,6856,6832,6814,6798,6782,6770,6762,6754,6746,6738,6734,6734,6734,6734,6734,6734,6734,6734,6734,6734,6734,6734,8133,8103,8103,8103,8103,8379,8383,8393
49349,28708,18107,160598,93538,58301,33007,19725,13005,61578,34647,25590,19715,15731,13102,11389,10404,31434,22270,19294,16617,15272,14258,13659,12920,12190,11882,11376,10872,10808,10714,10423,10176,9962,9729,9530,9406,9312,9164,9090,8970,8864,8783,8704,8630,8574,8520,8466,8418,8394,8374,8354,8336,8328,8320,8312,8308,8304,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,9646,9638,9630,9626,9626,9917,9931,9951
5586,4238,2622,1759,1327,1058,948,756,651,585,544,501,468,444,3349,1914,1290,7038,5329,4064,3822,3558,3314,3138,3016,2916,2787,2721,2660,69881,44101,23555,14931,11352,10654,10350,10045,9861,9731,9541,9431,9303,9203,9106,9019,8931,8854,8772,8724,8665,8595,8613,8559,8515,8485,8471,8455,8443,8435,8431,8431,8431,8431,8431,8431,8431,8431,8431,8431,8431,8431,8431,10080,10072,10068,10068,10068,10364,10436,10446
178723,1437496,775640,521245,331431,189317,110663,60106,41304,30349,23029,17577,13852,11603,10004,8892,43412,30191,21386,18695,16873,14755,13352,12078,11611,11077,10587,10091,9961,10091,9899,9737,9579,9473,9329,9227,9125,9043,8965,8935,8861,8837,8827,8803,8767,8739,8737,8703,8683,8663,8647,8635,8627,8615,8611,8611,8607,8611,8611,8611,8611,8611,8607,8607,8607,8607,8607,8649,8649,8649,8649,8649,10622,10614,10608,10596,10602,11082,11116,11136
