0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
50394,46209,38013,23029,15626,53486,28044,18661,12491,7063,3197,2369,1611,1020,678,531,412,327,239,186,138,124,104,98,85,76,69,60,55,48,42,39,35,33,31,28,24,22,21,18,17,17,17,15,13,12,11,9,8,7,6,5,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
19106,15085,76777,51856,36455,21304,14732,11041,43846,30655,16391,10874,8436,5180,2803,1393,1130,645,392,323,248,200,178,147,117,108,91,75,66,57,51,49,46,45,43,38,32,25,23,18,17,15,14,12,10,9,8,7,6,5,4,3,2,1,1,1,1,1,8,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49335,37110,24614,19396,13969,8245,30648,20140,13254,6240,3472,1840,940,667,465,374,1574,808,432,321,219,157,117,94,80,78,69,63,58,51,46,41,38,36,32,30,27,25,22,20,18,16,15,14,13,11,10,9,8,7,6,5,4,3,2,1,1,1,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13519,6405,3781,3545,2153,2107,2271,1584,1093,578,339,209,156,124,108,131,82,66,58,57,178,202,138,64,58,53,52,48,194,142,88,58,51,37,35,31,29,27,23,20,19,18,17,15,11,10,9,8,7,6,5,3,2,1,1,1,1,1,10,8,7,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27913,159683,107196,62242,31362,15599,85236,50115,27329,15230,7708,3641,1808,1267,993,811,668,504,345,273,249,234,196,184,141,116,80,73,59,59,57,55,43,39,39,32,30,27,26,22,19,17,14,13,12,11,8,7,5,3,2,1,1,1,1,1,1,1,9,7,6,5,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
606314,357976,266540,224011,118812,79826,42973,23330,15994,9153,4246,2409,1504,916,572,360,266,190,170,160,118,107,97,86,80,78,73,70,69,63,60,56,49,42,40,35,27,22,21,19,18,17,14,13,10,9,8,7,6,5,4,3,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3210,2105,116138,89752,52680,26472,14476,7105,4897,2610,1533,6841,4189,2712,1925,1157,696,490,362,266,222,149,108,97,87,82,80,77,67,62,57,49,46,37,35,32,29,26,22,18,17,16,17,15,14,13,12,11,10,9,8,8,7,6,5,4,3,2,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19482,11704,5690,22897,15179,11442,7186,3323,1725,1138,582,447,414,285,218,218,138,127,97,80,72,373,344,213,90,78,72,60,56,51,48,44,42,39,35,34,32,29,25,24,23,22,20,19,17,16,15,14,13,12,8,7,5,4,3,2,1,1,10,8,7,6,5,4,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
93134,49985,30803,22169,16011,9476,5105,3662,2222,1582,1114,879,2553,1326,973,793,593,466,374,346,267,224,190,157,128,118,97,90,83,79,61,55,53,49,47,46,42,40,39,29,28,26,26,24,21,19,17,14,13,11,9,8,7,6,5,4,3,2,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1417,748,5154,2684,10129,6581,5221,3861,2465,1254,580,415,1752,1144,639,470,362,236,193,148,113,99,75,69,65,65,58,231,153,97,74,62,53,39,38,34,30,28,26,25,20,18,18,17,15,14,13,12,9,8,7,5,4,3,2,1,1,1,9,8,7,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
