0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
163,2061,1406,902,9,344,219,141,87,64,34,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,34,792,24,24,24,24,24,24,24,24,24,24,24,24,24,24,676,622,24,24,24,24,24,24,598,24,24,24,24,24,24,24,24,24,24,24,24,576,24,24,24,570,538,538,24,24,24,24
35,14,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,72,52,40,28,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
141,74,41,12,9,5,4,4,4,4,4,4,4,68,489,270,24,24,24,186,24,24,24,170,114,24,90,80,24,56,28,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,462,408,402,396,396,396,396,396,396,396,24,24,24,24,24,24,24,24,24,24,24,24
11,7,3,3,44,605,36,24,254,24,206,190,24,24,180,174,24,36,28,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1839,916,24,24,24,24,744,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
4,4,4,4,4,4,137,78,817,27,158,124,73,67,62,50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
4,3,2,569,356,166,88,90,34,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,458,24,452,442,442,442,24,24,24,24,24,24,24
6,4,4,4,4,4,4,4,4,4,4,4,4,132,74,44,34,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,398,398,398,24,24,24,24,24,24,24,24,24,24
14,10,4,4,4,4,4,4,4,4,4,4,4,416,229,114,74,46,34,24,24,24,24,24,24,24,24,24,24,24,24,24,34,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,856,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
14,9,6,6,6,6,6,6,383,211,2363,65,1053,448,24,360,24,24,142,24,24,40,28,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,656,560,24,548,24,24,530,524,518,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,474,474,474,474,24,24,474,24,474
18,6,1,1,1,1,1,1,1,1,323,154,110,60,36,32,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,622,24,24,24,24,24,24,524,512,462,430,24,424,24,24,24,24,24,424,424,424,424,424,424,424,424,424,424,424,424,424,24
31,24,10,9,8,8,8,8,8,8,3,477,337,158,96,70,54,38,34,24,24,24,24,24,24,24,24,24,24,24,24,24,36,26,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
23,12,5,2,2,2,486,258,168,109,91,40,34,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,34,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,692,600,534,516,484,478,472,24,440,434,434,434,434,434,434,24,24,24,24,24,24,24,24
3,1,1,2006,883,536,352,221,150,52,32,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,474,462,456,456,456,456,24,24,24,24,24,24,24,24
122,61,30,18,14,186,118,91,8,8,8,8,8,84,60,42,34,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,430,398,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
180,3315,58,50,938,38,28,1212,691,515,397,312,273,95,66,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
10,4,3,1,10,8,315,206,139,63,51,36,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,534,490,472,404,398,24,398,398,24,24,24,24,24,24,24,24,24,24,24,398,398,398,398,24
1269,812,12,225,160,104,75,35,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
12,6,4,4,35,29,21,14,4,4,4,4,4,4,4,4,162,124,80,42,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,610,524,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,482,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
64,1555,8,2,32,14,403,214,158,52,32,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,34,24,824,24,774,732,24,688,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,628,622,590,584,514,490,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
4,4,4,4,169,1154,954,36,17,133,107,103,79,28,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,436,24,24
