0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
35,23,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,323,162,102,80,226,212,204,192,188,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
657,408,188,145,126,120,99,90,70,204,146,122,122,116,106,102,100,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,396,248,176,128,124,124,124,124,124,124,124,124,124,124,1342,124,124,124,124,124,124,124,1196,1174,124,124,124,124,124,124,124,124,124,124,124,124,1042,124,1030,124,124,124,124,124,124,124
5397,3083,1366,703,427,297,232,197,1464,763,514,318,268,264,250,250,230,214,210,202,188,164,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,1590,1530,154,1486,154,154,154,154,154,154,154,154,154,154,1410,154,154,154,154,154,154,154,154
175,85,55,38,28,22,10,10,691,454,196,2693,1784,1041,622,414,292,236,210,162,144,134,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,128,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
53,42,40,34,149,1124,698,371,233,127,103,437,339,280,242,222,218,208,200,176,156,142,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,1181,1169,1125,1119,128,1107,128,1103,1103,128,1103,1103,1103,1103,1103,128,1103,1103,128,1103
1177,601,354,168,1564,792,361,200,106,70,840,518,406,272,262,242,236,234,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
570,310,165,84,892,500,338,254,240,216,200,190,172,166,164,120,112,112,112,112,112,112,112,489,314,192,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,1928,144,1813,1741,1683,148,148,148,148,148,148,148,148,148,1603,148,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
3090,1488,786,12923,7002,3888,2264,1439,801,497,398,316,260,206,178,154,144,134,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,1557,124,124,124,124,124,124,124,124,1274,124,124,124,124,124,124,124,124,124,124,124,124,1234,124,1162,1114,124,1074,1042,1036,1004,1004,1004,1004,1004,124,124,124,124,124,124
211,115,60,33,15,7,5,102,80,67,62,59,49,47,46,46,46,46,46,46,46,46,46,46,46,46,46,836,260,192,164,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,1042,124,124,1042,1036,124,124,124,124,124,124,124,124,124,124,124,124,124,1030,124,124,124,124
1785,735,5857,3440,1598,945,435,269,221,164,137,127,114,110,100,90,86,364,250,214,210,206,184,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,140,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
