0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
10694,88131,66113,32662,16118,10056,5182,3389,2115,1343,14049,8659,5587,4171,3378,2580,2202,1910,1557,1501,1380,1284,1204,1160,1136,1126,1112,1096,1072,1048,1030,1020,1014,1008,1234,1150,1124,1118,1114,1108,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1102,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098
8829,78960,46405,28805,19852,11313,8510,4757,3207,2288,1825,1426,1280,1211,1131,1058,1006,927,887,849,837,817,805,795,805,801,795,4008,2587,1671,1263,1239,1223,1229,1657,1593,1583,1575,1567,1543,1527,1519,1491,1487,1487,1487,1487,1487,1487,1487,1537,1537,1537,1537,1537,1537,1537,1537,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538
1851,1358,856,534,381,254,211,139,126,5002,2634,1474,1220,784,692,595,582,503,473,452,422,417,413,2246,1292,1148,1050,1038,998,978,966,958,952,882,1182,1122,1102,1092,1044,1038,1024,1020,1014,1010,1010,1010,1010,1010,1010,1010,1018,1014,1018,1018,1018,1018,1014,1014,1014,1018,1018,1018,1018,1014,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018
15005,10386,4459,2794,1907,1164,7019,3598,2271,19611,12838,9048,5394,4119,3408,3053,2579,2282,1946,1772,1676,1514,1446,1366,1324,1306,1188,1156,1140,1128,1122,1108,1094,1096,1348,1304,1300,1296,1288,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1236,1236,1236,1236,1236,1236,1236,1236,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256
933,582,4062,2877,1570,1253,994,858,4783,2630,2036,1486,1315,1052,964,886,844,782,710,698,658,638,630,624,618,592,586,580,574,568,562,1348,1136,1112,1248,1040,1024,1004,1000,990,990,990,990,990,990,990,990,990,990,990,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,990,990
1420,865,313,179,138,100,70,617,4334,3196,2629,851,404,385,375,363,348,344,330,302,296,285,278,262,256,253,253,253,253,253,253,847,769,698,606,501,471,465,459,459,456,444,444,444,444,444,444,444,444,444,445,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444
5469,3005,1853,1002,622,353,241,1571,1070,761,650,565,503,441,417,393,388,334,315,311,305,299,284,282,277,263,263,263,263,263,263,263,263,263,284,280,277,275,275,6686,6340,3472,1848,1596,1304,1102,1078,998,992,992,996,996,996,996,996,996,996,996,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006
127864,68685,43127,23618,17273,8325,4817,2722,25956,17839,11250,6697,5112,3309,2460,2250,1929,1825,1781,1721,1616,1532,1436,1346,1316,1266,1222,1206,1194,1180,1168,1148,1136,1112,1474,1447,1383,1379,1371,1361,1353,1347,1291,1257,1233,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229
35438,21724,19007,225746,125042,82433,36244,19249,9757,6548,4725,4248,3552,3064,2844,2409,2253,2103,1977,1881,1807,1759,1779,1748,1730,1632,1462,1440,1420,1394,1384,1378,1372,1364,1691,1619,1527,1511,1507,1499,1453,1439,1435,1423,1423,1423,1423,1423,1423,1423,1427,1421,1421,1427,1421,1421,1421,1421,1431,1431,1431,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437
506,382,215,159,125,99,92,82,327,219,150,129,981,765,700,612,561,543,529,509,502,405,389,383,381,358,356,354,10865,5959,3920,2814,1974,1376,1708,1518,1508,1500,1460,1450,1442,1436,1428,1422,1404,1392,1340,1330,1324,1314,1308,1284,1284,1284,1284,1284,1284,1284,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294
47277,28984,18827,10404,5658,3714,1743,967,8633,5305,4471,4300,3346,3150,2870,2618,2506,2368,2320,1812,1740,1660,1558,1526,1506,1476,1460,1442,1426,1350,1344,1300,1294,1296,1648,1604,1594,1590,1570,1562,1552,1534,1528,1528,1528,1528,1528,1528,1528,1528,1620,1620,1620,1620,1620,1620,1620,1620,1630,1630,1630,1630,1630,1630,1630,1630,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632
20877,128395,86775,45278,24231,15887,8539,5933,3624,40890,26603,13454,8743,6049,4134,3274,2862,2348,2136,1994,1930,1864,1650,1598,1572,1536,1506,1442,1373,1325,1307,1206,1192,1176,1542,1526,1474,1462,1454,1438,1410,1358,1350,1350,1350,1350,1350,1350,1350,1350,1366,1366,1366,1366,1366,1366,1366,1366,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376
26051,17937,7448,4451,2711,1929,12883,7901,4440,3592,2938,2541,2294,1992,1942,1816,1778,1676,1506,1462,1436,1404,1376,1364,1352,1340,1322,1306,1166,1136,1132,1126,1118,1112,1376,1324,1320,1312,1264,1248,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1248,1248,1248,1248,1248,1248,1248,1248,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258
780527,527374,342835,183511,113107,66921,34885,21755,14902,7145,4336,2493,2384,2059,1517,1391,1311,1283,1235,1187,1127,1099,1087,1064,1032,1016,1004,992,986,970,964,960,960,954,1144,1128,1112,1104,1100,1092,1068,1064,1064,1064,1064,1064,1064,1064,1064,1064,1068,1064,1064,1064,1064,1064,1064,1064,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074
3078,1942,10712,6733,3935,1949,1093,629,5752,49771,29519,17160,9747,6782,5110,4008,3406,2991,2196,2044,1934,1758,1656,1590,1392,1364,1344,1332,1326,1320,1312,1302,1288,1112,1392,1360,1352,1338,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1368,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364,1364
7054,4369,2461,1521,1257,728,629,523,31470,18487,11118,6851,4941,3163,2605,2394,2246,2172,1904,1766,1678,1632,1526,1490,1434,1410,1304,1258,1246,1224,1218,1202,1194,1190,1378,1354,1346,1338,1332,1324,1318,1294,1262,1262,1262,1262,1262,1262,1262,1262,1266,1262,1262,1262,1262,1262,1262,1262,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272
21881,15822,7962,4518,2200,1291,873,653,520,443,2730,1983,1698,1501,1345,1089,1043,983,923,887,832,788,784,768,747,735,713,3273,1685,1240,1160,1148,1134,1128,1438,1386,1370,1354,1336,1322,1316,1242,1234,1224,1206,1182,1158,1062,1056,1056,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060
19608,9954,5882,3951,2182,1284,165359,93189,66189,36257,20632,13524,8450,6963,4293,3435,2980,2716,2420,2268,2212,2104,1996,1934,1894,1870,1798,1754,1726,1686,1608,1602,1596,1600,1850,1834,1830,1822,1808,1776,1756,1744,1736,1730,1662,1662,1662,1662,1662,1662,1690,1686,1682,1682,1682,1682,1682,1682,1692,1692,1692,1692,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684
1545,22657,12604,6184,71715,32522,19822,11551,7122,4899,4016,3496,2694,2370,2156,1904,1751,1588,1490,1422,1346,1326,1249,1213,1157,1137,1107,1046,986,972,956,936,920,914,1156,1146,1138,1120,1116,1098,1046,1038,1018,1008,1008,1008,1008,1008,1008,1008,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012
7786,95662,56694,505670,271133,168268,74609,45940,24948,17498,10394,6471,4644,3309,2939,2568,2152,1960,1680,1596,1558,1460,1240,1216,1190,1158,1142,1124,1040,1028,1006,982,970,962,1184,1174,1160,1114,1110,1092,1068,1058,1054,998,956,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950
21644,14857,8321,4193,1873,16362,10247,6398,3760,2529,21253,13626,8934,6932,4742,1996,1785,1713,1587,1545,1421,1334,1290,1266,1244,1226,1112,1082,1066,1056,998,990,982,974,1100,1096,1082,1078,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058
71488,31928,18969,157978,105118,55280,33764,21218,12872,8417,6245,3733,3065,2648,2258,1828,1748,1606,1448,1344,1294,1204,1184,1138,1066,1030,1006,994,988,984,968,964,952,926,1128,1106,1102,1098,1046,1038,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004
709,5190,2938,1709,12532,6432,3331,2048,1658,8937,5941,4546,3759,2863,2329,1887,1749,1649,1587,1551,1473,1429,1363,1311,1067,1037,1015,989,977,965,953,954,930,924,1217,1199,1189,1181,1159,1147,1141,1097,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103
1646,1224,593,440,254,202,176,147,139,134,130,128,110,107,3633,1468,760,661,627,615,606,596,2266,1332,1308,1128,1120,1114,1104,1098,1090,1082,1076,1060,1324,1316,1302,1284,1278,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1276,1272,1272,1272,1278,1278,1278,1278,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288
24322,21510,14464,133388,89542,54401,30361,18592,11024,6054,4138,3336,2183,1810,1634,1430,1311,1257,1187,1075,1023,5359,3513,2285,1745,1564,1430,1334,1306,1270,1252,1186,1154,1138,1386,1362,1344,1334,1274,1264,1258,1250,1244,1230,1222,1216,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106
23172,11808,147255,73908,40384,27738,15071,7958,5383,3073,2120,1416,1016,820,735,3652,2564,1840,1616,1520,1480,1436,1336,1306,1282,1164,1140,1096,1052,1042,940,920,914,908,1184,1152,1112,1108,1092,1082,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024
8954,93179,55551,30887,15940,9907,6150,3854,2859,2226,2170,2073,6300,3644,3160,2760,2766,2280,2190,2136,2082,2010,1962,1910,1666,1638,1594,1526,1514,1504,1498,1494,1486,1490,1622,1550,1542,1518,1468,1430,1422,1408,1404,1404,1404,1404,1404,1404,1404,1404,1414,1408,1408,1408,1408,1408,1408,1408,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414
13709,85874,66930,39472,23176,15947,8580,5886,4208,3159,2186,1857,1577,1417,1286,1131,1075,999,5450,3235,2195,1871,1730,1658,1560,1496,1358,1342,1300,1286,1278,1264,1256,1250,1522,1514,1510,1378,1342,1334,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334
24891,15656,162133,106416,53586,21897,13355,8800,5855,4449,3489,2997,2648,2467,2203,2083,2072,1987,1909,1871,1834,1736,1684,1558,1518,1508,1498,1486,1392,1376,1336,1330,1322,1316,1454,1438,1418,1410,1406,1398,1394,1390,1390,1390,1390,1390,1390,1390,1390,1390,1398,1398,1398,1398,1398,1398,1398,1398,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408
