0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
3091,1966,88209,47065,26070,18529,11051,7463,4185,18608,10799,5794,3962,2109,940,753,591,431,333,254,199,155,129,113,99,89,78,68,61,56,51,46,41,37,34,31,28,25,23,22,20,18,16,15,14,13,12,11,21,18,16,14,12,11,10,9,8,7,6,5,4,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38077,20099,119562,72433,43097,26638,14995,8070,49984,26391,14901,8071,5851,3617,2281,1465,1078,800,604,466,368,294,246,198,161,137,120,104,89,78,68,61,54,47,42,37,32,28,25,22,19,16,14,13,12,11,10,9,19,16,14,12,11,10,9,8,7,6,5,4,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1885,11358,6481,3450,18220,11355,6428,3674,1878,1336,940,633,477,365,279,667,476,367,339,292,226,186,402,194,141,114,97,81,77,68,61,53,49,44,39,34,30,27,24,22,18,16,14,13,12,11,10,9,21,18,15,13,12,11,10,9,8,7,6,5,4,6,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3840,2300,10029,5888,3742,2279,1526,805,4731,22902,16663,12240,7566,4230,2642,1778,1073,771,582,424,320,257,208,179,156,133,117,103,89,78,68,61,55,50,46,42,39,36,33,30,27,25,23,21,19,17,16,15,35,31,27,24,22,20,18,16,14,13,12,11,10,9,10,8,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1
4731,2885,1688,8748,42327,25577,15628,8963,4848,2999,2033,1315,927,607,454,330,254,205,173,142,118,102,89,76,69,64,55,50,46,42,38,34,30,26,23,26,24,22,20,19,18,17,16,15,14,13,12,11,21,19,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74556,41772,26043,14956,9721,63726,33539,19621,11806,6816,41094,21462,11977,5980,3414,1884,1184,825,600,459,364,291,242,203,177,154,132,111,94,82,72,66,57,50,46,42,38,35,34,31,28,25,22,20,18,16,15,14,21,18,16,14,12,11,10,9,8,7,6,5,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4606,26435,14934,10670,5907,3412,17976,10609,7105,3266,16043,8531,5013,3302,2045,1026,739,514,376,291,225,168,142,120,102,82,71,61,54,48,43,38,34,31,28,25,23,21,19,18,16,15,14,13,12,11,10,9,17,14,11,10,9,8,7,6,5,4,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36097,25641,14790,8564,4881,3149,15497,7812,4337,2169,1401,908,661,567,416,314,229,1486,990,577,300,249,190,147,114,87,74,61,51,42,39,35,31,29,29,25,22,19,17,16,13,12,11,10,10,9,8,7,18,14,12,10,8,7,6,5,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141044,616176,433792,333917,212340,118035,60159,31592,18935,12025,6949,3905,2314,1331,871,595,376,286,193,149,125,109,91,82,68,58,52,46,43,39,35,31,28,25,22,20,18,16,14,14,14,13,12,12,11,10,9,8,10,8,7,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13959,8446,5805,3380,1808,10072,41773,26506,15644,8351,4327,2184,1325,636,527,1468,749,594,387,284,220,190,146,123,105,90,81,70,62,54,47,40,34,32,28,26,23,21,19,17,15,14,13,12,11,10,9,8,15,13,11,9,8,7,6,5,4,3,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
