0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
1732,837,403,197,85,46,1682,1103,15792,7318,4665,3356,2328,924,640,424,328,288,772,484,3716,2558,26106,15696,10220,7652,7124,6836,6548,6260,6140,3044,6140,6140,6140,6140,6140,6140,6140,6140,6140,6140,20226,18524,17356,16828,12240,12144,46882,45352,45376,44000,43904,43904,43904,43904,43904,43904,43904,43904,66724,66724,66724,66724,66724,34378,34378,34378,34378,34378,9736,9736,6236,6236,6236,6236,6236,6236
66,33,455,312,132,58,55,237,152,101,1807,1124,394,355,222,1835,1244,1048,11891,11004,8796,6177,5295,5254,5189,4453,14680,14480,10860,1832,1732,10464,5932,121182,108324,603660,357560,268734,242134,222280,458544,264390,224842,223930,229672,229576,226140,225880,225868,223764,383238,383226,383226,109374,109374,109374,109374,109374,112822,112822,112822,112822,112822,112822,112822,34788,34788,34788,35068,35068,31612,31684,31684,31684,31684,31684,31684,31684
372,158,80,29,621,398,205,127,4129,2422,1049,571,398,5639,2891,1968,1156,1012,932,872,3546,2210,1560,1528,1504,1536,1504,7400,7392,7040,7040,11936,123212,69196,33534,363964,168326,106990,312140,1287692,1302518,346636,219250,214884,220180,86040,75012,75040,75040,75040,75040,75040,75040,17448,17448,17448,17448,47532,49020,49020,49020,49020,49020,49020,49020,29832,29832,29832,29906,29906,29906,29934,29934,29934,29946,29946,29946,29946
10,6,2,2,292,315,198,62,957,488,308,128,626,245,122,68,88,80,102,4478,2946,1773,897,768,6106,3430,18094,14208,7948,1524,6420,2416,2360,2296,2264,2216,2184,2248,290244,189076,40864,32988,32748,409444,475464,472868,471916,472180,472084,469032,138636,138588,138588,73980,109708,73980,73980,73980,73980,73980,73980,73980,73980,73980,73980,21372,21372,21372,21372,21372,8444,14116,10404,10404,10404,10404,10404,10404
2477,1375,1030,600,235,167,2135,1403,980,328,2564,2144,1242,654,6346,3694,2160,1960,1612,10714,6764,4804,4756,4258,3942,3918,13796,12084,58728,41838,31608,24920,27664,27664,53292,49868,48972,47772,47398,28534,28502,28490,28490,28490,46130,44458,43946,139214,134790,131590,48222,48222,48222,28886,28886,28886,20330,20330,20330,20330,20330,20330,20330,20330,20330,5448,5448,5448,5448,5448,2412,2412,2412,2412,2412,2412,2412,2412
241,115,66,46,54,135,1609,1281,445,305,236,207,199,270,212,200,556,478,4296,2980,2504,1336,6336,5696,19342,61995,44848,23308,15706,14982,14670,14462,14546,14398,47476,94906,58170,53930,59720,17636,17492,17348,15168,15168,73614,73598,73594,77306,77002,76932,73796,73796,73796,76684,76684,76684,70540,140212,275958,221590,323914,323396,323396,301124,301124,152152,152152,152152,152152,152152,49432,49432,17004,17004,13740,13740,13740,13740
8245,5196,3144,1930,759,13752,7919,5390,3074,1916,1260,1130,1046,5634,3828,3060,2104,14796,10632,9228,7992,7764,6940,6868,6460,6452,5492,18160,20938,20256,18816,127312,61700,63144,62168,216096,213168,205608,204996,204996,204996,204996,204996,204996,232860,231960,231796,232204,232204,232204,232204,232204,232204,54396,54396,54396,54396,54396,54396,54396,54396,54396,54396,54396,54396,29540,29540,29540,29540,29540,12696,12696,3912,3912,3912,3912,3912,3912
2180,1502,1373,724,383,2282,1397,1161,490,268,2168,1148,780,440,272,264,240,228,200,196,168,168,168,840,720,648,468,468,468,468,468,468,468,468,468,20280,17744,9308,4100,3848,2744,2540,2432,2432,2652,2608,2560,2560,2560,2560,2560,2560,33680,4448,3424,3424,3424,3424,3568,3568,3568,3568,3568,3568,3568,3644,3644,3644,3644,3644,3644,3644,3644,3644,6446,6230,6230,11132
4542,2661,2030,1277,445,222,1183,708,516,221,117,95,79,69,209,1907,1424,1255,1027,3177,1426,986,904,854,694,7674,126898,78674,71324,61596,1456,11804,7720,4088,3656,3512,3416,4076,4016,3392,3344,3392,3392,3392,15416,15264,15260,15668,15668,15668,15716,15716,15716,15716,15764,15764,15764,15836,31328,31280,31280,31280,31280,31280,31280,35840,35552,35552,37472,37472,37472,37952,37952,37952,37952,37952,42636,42636
974,12167,5361,3009,1724,1062,540,424,364,1383,1166,695,619,290,284,284,26300,20924,20100,7650,4466,3782,3742,18342,14504,14524,54678,34248,14672,83408,66464,23888,2976,1936,61328,57112,50872,273240,198884,198548,87204,87140,86376,131088,308414,308126,308126,325886,325886,254942,77680,77680,77680,59920,59920,59920,23704,55920,54912,54912,47800,47800,47800,47800,47800,15608,15608,15608,15608,15608,3540,3540,3092,3092,3092,3092,3092,3092
112,88,768,534,282,132,104,84,388,192,152,148,120,84,60,392,352,208,196,172,188,188,188,188,6282,5724,4062,3156,2712,1604,1340,620,1340,27746,4764,3532,3260,3188,18202,286438,43698,26870,24266,23478,23332,23220,23172,395952,391440,386514,84078,84030,115198,27974,27974,27974,27974,42790,45296,45296,45296,45296,45296,45296,45296,17952,17952,17952,18096,18096,18096,18120,18120,18120,18120,18120,18120,18120
964,612,394,258,3254,2754,1846,635,314,285,239,1732,1100,508,6286,3710,2350,1108,772,688,648,552,528,480,480,504,504,504,504,2744,1368,504,936,13432,10344,8376,8376,8452,8424,8424,8424,8424,8424,8424,17456,142664,28164,27276,76850,73592,35484,35412,34260,11986,11986,11986,11986,11986,12058,12058,12058,12058,12058,12058,21466,2714,2642,2642,2642,2642,2950,2950,2950,2950,2950,2950,2950,2950
263,147,1286,572,326,188,124,1944,1348,841,496,348,292,260,204,184,176,160,152,144,544,432,1924,1120,896,4772,4592,1272,10132,8708,7208,24464,13248,140944,85984,51288,30832,36534,36438,131192,131096,131048,126264,123620,160094,160084,160084,160640,160640,160640,1089922,1088410,609576,157934,157934,157934,157934,157934,157934,363264,167756,167756,167756,167756,167756,95958,95958,95958,95958,95958,29776,29776,7628,7628,7628,7628,7628,7628
1179,662,343,6163,2626,1549,944,575,343,166,117,93,91,76,73,70,67,398,6105,2776,33624,15259,13010,1756,28391,23651,21731,15039,14093,13192,34634,21184,22346,21958,23060,22956,27698,457700,409604,222482,52784,52416,52122,51978,10564,10084,275442,251324,388266,315850,219582,215148,212282,71724,71436,71148,69240,69240,70004,69980,69980,69980,69980,69980,69980,19704,19680,19680,19752,51998,35662,34638,34638,34638,34638,34638,34638,34638
459,276,170,1999,1074,574,327,166,68,893,461,4919,3135,1905,818,463,279,145,123,103,650,498,318,294,782,413,387,1817,1736,1172,725,701,2074,3117,50881,20542,439914,276339,212037,130311,109500,101448,388259,253608,217870,198250,194418,193864,193588,193552,193312,192304,185080,55096,53184,52640,52398,78995,117305,117269,117237,117237,117237,117237,117237,130787,130787,130787,134411,134411,134411,135213,135365,135365,135389,135389,135389,135389
3017,2038,1344,843,5845,3377,1936,1149,752,303,244,2832,2087,1023,11499,6314,4613,3499,2392,1942,1626,1480,696,688,676,26022,12158,5702,4486,3716,3428,3140,2956,2956,2956,2956,2956,3096,3020,2956,2956,2956,2956,2956,3464,3416,3416,3416,3416,3416,3416,3416,3416,3416,3416,3416,3632,3632,3872,3776,3776,3776,3776,7336,7336,7572,7572,7572,7572,7572,7572,7572,7572,7572,7572,7572,7572,7572
1133,777,254,5063,3120,1781,999,590,5698,3106,1176,904,738,557,525,487,471,481,473,473,573,2405,26337,102580,83776,42090,28076,22008,440300,294728,167304,70364,78232,63166,31892,31910,26468,26566,26518,185320,55236,42808,42808,42808,226472,437268,428932,429036,266440,266104,266104,266104,266104,67172,67172,67172,67172,67172,72660,72628,72628,72628,72628,72628,72628,61512,63756,63756,64392,64392,64392,64392,64416,64416,64416,64416,64416,64416
1656,932,329,4002,2306,1051,646,287,196,54,1249,16928,10633,2711,1400,780,11732,8836,7290,4943,3335,2860,2354,2136,1948,8908,8476,7940,31780,25036,24996,181497,207618,207538,207482,207402,189570,189630,1127710,977398,244100,231796,195732,177210,203242,203226,203226,203338,203338,203338,70574,70574,70574,44558,44558,44558,23650,23650,23674,23674,23674,23674,54774,42538,42482,12402,12402,12402,12414,12402,3444,3444,3444,3444,3444,3444,3444,3444
30,20,16,14,12,12,500,352,204,2282,2084,1828,922,524,220,200,172,172,172,172,172,172,172,172,172,172,1938,1154,932,298,3466,2554,3078,2226,12648,11918,11600,11422,38972,38425,37617,37473,30721,30721,32573,32569,202507,193811,370603,370027,364884,364820,1427212,264252,262284,261564,261564,261564,272546,272546,272546,272546,272546,272546,272546,80574,80574,80574,81270,81270,81270,81270,81294,81294,81294,81294,81294,81294
324,2982,1822,1329,786,560,286,86,76,702,480,399,325,322,306,264,114,104,42,41,365,2770,2746,9032,7088,6164,4820,4812,4796,4796,4796,4796,35056,34614,32770,31922,31914,27690,297142,269744,73838,71158,71162,70778,72634,72578,72578,72602,72602,408414,1117750,756074,471060,129526,128134,127818,126990,126990,132706,132514,132514,132514,132514,132514,132514,94904,94904,94904,95728,134542,134542,134736,134756,134756,134772,134784,134784,134784
17,192,109,64,872,381,205,125,824,340,178,66,49,815,396,310,226,190,622,594,500,472,2590,18278,9594,5088,4984,4602,2068,1976,8678,8662,8640,8634,8448,6480,8420,7976,190486,151038,21920,21412,21332,21172,21356,76770,67604,64936,57466,145090,125288,124254,122622,30418,29150,29182,29182,29182,31038,31002,31002,31002,31002,31002,31002,17670,17670,17670,17842,17842,17842,17914,17914,17914,17914,17914,17914,17914
