Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,2.94393253326416,3.0209662914276123,3.2807223796844482,3.3652150630950928,3.402050495147705,3.3679518699645996,3.354706287384033,3.322875499725342,3.3235373497009277,3.355313777923584,3.332057237625122,3.3172590732574463,2328.16405916214
1,3.5933353900909424,3.4328134059906006,3.240908145904541,3.3117635250091553,3.3807644844055176,3.383826971054077,3.3893182277679443,3.3769516944885254,3.386653423309326,3.391139507293701,3.388439416885376,3.390551805496216,2287.6206860542297
2,3.081904172897339,3.171783924102783,3.4785361289978027,3.537783622741699,3.590334177017212,3.5982775688171387,3.5880770683288574,3.499079942703247,3.432513952255249,3.4189412593841553,3.40869402885437,3.3981475830078125,2331.9441525936127
3,3.635716676712036,3.0449323654174805,3.27545428276062,4.24333119392395,3.3373095989227295,3.3459534645080566,3.366706132888794,3.3578617572784424,3.3810958862304688,3.3935487270355225,3.416796922683716,3.417377471923828,2257.7224140167236
4,2.8899004459381104,2.9641246795654297,3.19441819190979,3.2412631511688232,3.274043083190918,3.286529541015625,3.2915446758270264,3.310051202774048,3.3567323684692383,3.3827219009399414,3.3741092681884766,3.3508381843566895,2315.8554785251617
5,3.513401985168457,3.257797956466675,3.059431552886963,3.0949559211730957,3.1054599285125732,3.1027932167053223,3.538236141204834,3.1507880687713623,3.1851329803466797,3.546119213104248,3.194016695022583,3.1904311180114746,2290.234641313553
6,3.0374977588653564,3.118971586227417,3.3243327140808105,3.361504316329956,3.4012086391448975,3.397125720977783,3.3864521980285645,3.384716033935547,3.3815152645111084,3.387993574142456,3.386117696762085,3.3926737308502197,2342.0692703723907
7,3.0191104412078857,3.132383108139038,3.4186089038848877,3.508690595626831,3.5648152828216553,3.5742480754852295,3.586103916168213,3.598863124847412,3.5827627182006836,3.535417079925537,3.5405983924865723,3.458909749984741,2337.612845182419
8,3.01157808303833,3.104292869567871,3.352587938308716,3.462115526199341,3.530625820159912,3.578352689743042,3.5876307487487793,3.603806972503662,3.5926880836486816,3.546506643295288,3.466327428817749,3.4247939586639404,2335.32244348526
9,2.9958834648132324,3.3656833171844482,3.3059065341949463,3.4421465396881104,3.3820955753326416,3.40217924118042,3.414466381072998,3.4096453189849854,3.4402389526367188,3.4273481369018555,3.4499306678771973,3.463174343109131,2328.810020685196
10,3.6813971996307373,3.1733787059783936,3.41591477394104,3.466609477996826,3.498044490814209,3.6732466220855713,3.5035622119903564,3.5083513259887695,3.4973433017730713,3.4972681999206543,3.511993169784546,3.5037622451782227,2250.645483016968
11,3.6636219024658203,3.011162281036377,3.2340331077575684,3.268007516860962,3.316328525543213,3.3026609420776367,3.260157346725464,3.262051820755005,3.308018207550049,3.300907850265503,3.310588836669922,3.3210530281066895,2239.625798225403
