Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,1.7044618129730225,1.7055385112762451,1.8326950073242188,1.8638513088226318,1.8619179725646973,1.8568148612976074,1.8474688529968262,1.846433162689209,1.8407623767852783,1.8298358917236328,1.833968162536621,1.9588336944580078,1843.5460574626923
1,1.7481791973114014,1.8360388278961182,1.8703081607818604,1.882704257965088,1.90055251121521,1.9116714000701904,1.9032962322235107,1.9163899421691895,1.9009242057800293,1.8881604671478271,2.083758592605591,1.8807621002197266,1867.7470450401306
2,2.04630184173584,2.070836305618286,2.3113510608673096,2.2317893505096436,2.257338523864746,2.2502527236938477,2.265873670578003,2.2481296062469482,2.2489120960235596,2.2571191787719727,2.3555901050567627,2.2580788135528564,2330.0982689857483
3,1.7404913902282715,1.7217366695404053,1.8839104175567627,1.9019920825958252,1.9210033416748047,1.9339599609375,1.9537889957427979,1.9484937191009521,1.9560956954956055,1.9391014575958252,2.014968156814575,1.9647905826568604,1862.3947467803955
4,2.0710699558258057,2.1123874187469482,2.2796313762664795,2.2975664138793945,2.3235180377960205,2.3246402740478516,2.3241631984710693,2.323132038116455,2.332090377807617,2.327075958251953,2.340096950531006,2.3704135417938232,2332.406674861908
5,1.763563871383667,1.7585184574127197,1.8789441585540771,1.9221656322479248,1.913285732269287,1.9209318161010742,1.9382336139678955,1.9189116954803467,1.9084815979003906,1.9217066764831543,1.925865888595581,1.9120442867279053,1778.0002138614655
6,2.189389944076538,2.2084429264068604,2.3736233711242676,2.3947222232818604,2.3965227603912354,2.393444538116455,2.3648300170898438,2.3561885356903076,2.32340145111084,2.410979747772217,2.505866527557373,2.30539870262146,2337.59570479393
7,2.068228244781494,2.121446132659912,2.275158166885376,2.4175140857696533,2.3112995624542236,2.329294443130493,2.3148550987243652,2.3193655014038086,2.3197665214538574,2.3090925216674805,2.310739040374756,2.2974188327789307,2336.0534250736237
8,2.027695417404175,2.046687602996826,2.1990315914154053,2.2169830799102783,2.2491190433502197,2.2458951473236084,2.254892587661743,2.2437760829925537,2.24565052986145,2.2386491298675537,2.2453372478485107,2.244879961013794,2337.4705789089203
9,2.0255138874053955,2.051086187362671,2.2939932346343994,2.2293953895568848,2.236670732498169,2.375955104827881,2.2332842350006104,2.234468936920166,2.5224857330322266,2.2329630851745605,2.237853765487671,2.2322402000427246,2335.662389278412
10,1.7145988941192627,1.7143869400024414,1.8319346904754639,1.864548683166504,1.874720811843872,1.864534616470337,1.8617498874664307,1.8647692203521729,1.8785765171051025,1.8833835124969482,1.8763887882232666,1.8760335445404053,1874.8265690803528
11,1.9389336109161377,1.7040045261383057,2.2285678386688232,1.8686482906341553,1.862745761871338,1.8633365631103516,1.8525142669677734,1.8506362438201904,1.8481457233428955,1.8537867069244385,1.8404712677001953,1.842031478881836,1859.7410345077515
12,1.7289373874664307,2.0451598167419434,1.8604044914245605,1.8787777423858643,1.901926040649414,1.9389512538909912,1.9304449558258057,2.2006938457489014,1.942706823348999,1.9539852142333984,1.9703845977783203,1.9611117839813232,1858.6427903175354
13,2.0333268642425537,2.0457756519317627,2.201838493347168,2.2359697818756104,2.2451226711273193,2.26670503616333,2.4071333408355713,2.253171443939209,2.242655038833618,2.2607438564300537,2.2543954849243164,2.260575294494629,2327.3200118541718
14,2.104579448699951,2.2720797061920166,2.291067123413086,2.296307325363159,2.3105218410491943,2.3191590309143066,2.317899703979492,2.3051156997680664,2.30074405670166,2.2983059883117676,2.307889223098755,2.293621301651001,2324.0973069667816
15,1.7344253063201904,1.709216833114624,1.840571403503418,1.8505582809448242,1.8556256294250488,1.8542225360870361,1.8538951873779297,1.8452422618865967,1.8344600200653076,1.8430194854736328,2.15339732170105,1.8538024425506592,1839.4404985904694
16,1.7217819690704346,1.6901419162750244,1.8122448921203613,2.140129327774048,1.8377575874328613,1.8342149257659912,1.8289790153503418,1.842203140258789,1.839296579360962,1.8329355716705322,1.8432416915893555,1.8396315574645996,1881.9425888061523
17,1.7472436428070068,1.7513740062713623,1.884620189666748,1.896843671798706,1.939612627029419,1.951094388961792,1.9389255046844482,2.069798707962036,1.924861192703247,1.9524931907653809,1.9511899948120117,1.9313275814056396,1857.1061763763428
18,1.770188808441162,1.7548534870147705,1.8854060173034668,1.9331274032592773,1.9513006210327148,1.9524307250976562,1.9369659423828125,1.9386882781982422,1.9509153366088867,1.960832118988037,1.9353485107421875,1.8902802467346191,1858.9745020866394
19,1.7217352390289307,1.7158303260803223,1.8380091190338135,1.8539578914642334,1.8832793235778809,1.899653434753418,1.8942434787750244,1.888310194015503,1.8867831230163574,1.8867146968841553,1.878983974456787,1.8795371055603027,1847.8487877845764
