Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,6.940668821334839,7.994572877883911,8.314141273498535,9.280611515045166,11.882359027862549,12.153566122055054,12.171436309814453,12.210472583770752,12.183453798294067,12.21310544013977,12.197113990783691,12.20133900642395,462.15066361427307
1,7.2287492752075195,8.469631433486938,8.510970115661621,9.599642276763916,12.246598720550537,12.21051025390625,12.360387802124023,12.369200706481934,12.36335039138794,12.40112042427063,12.558196544647217,12.11022162437439,565.6562221050262
2,6.891944885253906,7.888563394546509,8.055591106414795,9.0254487991333,10.791809797286987,11.410832166671753,11.627903461456299,11.960498332977295,12.121174335479736,12.117903470993042,12.126158475875854,12.133944272994995,322.917209148407
3,7.162111520767212,8.250972032546997,8.533031702041626,9.604175329208374,12.167977571487427,12.174744844436646,12.176281452178955,12.19849157333374,12.087303400039673,12.080104112625122,12.102935791015625,11.644728183746338,742.0591382980347
4,8.09917426109314,9.326130628585815,9.401910781860352,10.423851728439331,13.255361557006836,13.199265956878662,13.174615621566772,13.10114336013794,13.041874408721924,13.235860347747803,13.250916242599487,13.059396743774414,582.9249458312988
5,6.95480489730835,8.13943076133728,8.38171648979187,9.476418495178223,12.32493257522583,12.333131074905396,12.351945400238037,12.362655639648438,12.300416707992554,12.293922185897827,12.334823369979858,12.385761976242065,826.3775544166565
6,7.114803314208984,8.36914348602295,8.51161503791809,9.615238428115845,12.134288311004639,12.176888465881348,12.190120697021484,12.239988565444946,12.257519721984863,12.214591979980469,12.20251989364624,12.197919130325317,615.5273883342743
7,7.137338638305664,8.252877950668335,8.529863119125366,9.688430547714233,12.170559883117676,12.221490383148193,12.218991756439209,12.221798419952393,12.243569374084473,12.34632420539856,12.343664646148682,11.998089075088501,527.9781711101532
8,7.7651002407073975,8.96149754524231,9.22315526008606,10.198887348175049,13.024693489074707,13.133499145507812,13.050673246383667,13.025338411331177,12.95302152633667,12.969370365142822,12.836452722549438,12.830304861068726,718.0952937602997
9,7.130829095840454,8.2238130569458,8.446246147155762,9.506118059158325,12.172863721847534,12.186155319213867,12.20580244064331,12.215203762054443,12.192597150802612,12.230263948440552,12.214866876602173,13.148998260498047,613.5812389850616
10,7.594430446624756,8.724229097366333,8.935410261154175,10.008056640625,12.833924055099487,12.880680799484253,12.84576964378357,12.88225245475769,13.00900936126709,12.675563335418701,12.546854496002197,12.47729754447937,571.056548833847
11,6.8865461349487305,8.033346891403198,8.296801805496216,9.330898523330688,12.015534162521362,12.157963752746582,12.188523530960083,12.18220853805542,12.175690650939941,12.207802295684814,12.190731525421143,12.136281251907349,497.5308368206024
12,6.85653281211853,8.04497504234314,8.261571168899536,9.278864860534668,11.96132230758667,12.00916838645935,12.05630373954773,12.031134843826294,12.023299932479858,11.93466830253601,11.92924976348877,11.903557062149048,710.8920130729675
13,7.25885272026062,8.395240545272827,8.7402925491333,9.830749988555908,12.338151931762695,12.402422428131104,12.49216365814209,13.566313982009888,12.460695505142212,12.445974826812744,12.294129848480225,11.674665451049805,569.0823471546173
14,7.006649971008301,8.115962743759155,8.403902530670166,9.515630960464478,12.350691318511963,12.168020725250244,12.295069932937622,12.174386978149414,12.103550672531128,12.057416439056396,12.092838764190674,11.774307489395142,732.8207306861877
15,6.9342734813690186,8.035594701766968,8.277642488479614,9.349831819534302,12.054380655288696,12.085393905639648,12.084512948989868,12.291942596435547,12.12055492401123,12.111393928527832,12.110397338867188,12.123809576034546,740.8117868900299
16,6.901662349700928,8.049636363983154,8.217295408248901,9.315215349197388,11.98049783706665,12.006480693817139,12.043428897857666,12.068181991577148,12.08325481414795,12.087725162506104,12.102506875991821,12.017599821090698,588.4138176441193
17,6.904260158538818,7.988576889038086,8.237393379211426,9.351260423660278,11.956649780273438,11.98054552078247,12.000194072723389,12.006681442260742,12.036601781845093,12.03528904914856,12.06189775466919,11.932594537734985,592.5965490341187
18,8.04030704498291,9.043747186660767,9.230040311813354,10.487825870513916,12.925673007965088,12.87942886352539,12.941044330596924,16.214844226837158,12.79049015045166,12.97729754447937,12.849450826644897,13.704627752304077,578.9074950218201
19,7.54998779296875,8.663376092910767,8.879726886749268,9.944438457489014,12.787311553955078,12.814373016357422,12.76418662071228,12.784592628479004,12.761100769042969,12.609339237213135,12.489904880523682,12.440626859664917,570.09370470047
20,6.978874444961548,8.105560541152954,8.3869149684906,9.445703983306885,12.07620882987976,12.172505617141724,12.187366485595703,12.195764303207397,12.194575786590576,12.20731782913208,12.208305597305298,12.129924058914185,810.7666566371918
21,7.5887041091918945,8.695301055908203,9.06607723236084,9.995520114898682,12.774223327636719,12.777833223342896,12.825217723846436,12.811531782150269,12.772711277008057,12.758543729782104,12.577923059463501,12.562871217727661,515.9861016273499
22,6.95245623588562,8.050332307815552,8.360989570617676,9.452389478683472,12.053954362869263,12.088201761245728,12.106383800506592,12.08930253982544,12.118561744689941,12.138535737991333,12.133516311645508,11.818679809570312,817.1821959018707
23,7.329113960266113,8.494621276855469,8.814893960952759,9.909478187561035,12.593692779541016,12.457804441452026,12.486286640167236,12.490905284881592,12.631736040115356,12.575847625732422,12.501317262649536,11.643475532531738,824.6719262599945
24,7.073045492172241,8.20194387435913,8.42293667793274,9.584673881530762,12.389601945877075,12.36164927482605,12.375340461730957,12.387203931808472,12.380214929580688,12.408673286437988,12.399882793426514,12.37792420387268,828.1988019943237
25,7.86193585395813,9.000518083572388,9.198700428009033,10.336304903030396,13.158533811569214,13.23950457572937,13.57845401763916,13.15107250213623,13.08194899559021,13.034979581832886,12.984097480773926,12.831298589706421,714.5986731052399
26,7.039062261581421,8.135944604873657,8.418222665786743,9.550417184829712,12.202061891555786,12.250238418579102,12.242488861083984,12.248932361602783,12.25788950920105,12.259358406066895,12.234107494354248,11.985767841339111,527.3159985542297
27,7.043638229370117,9.574122428894043,8.620123147964478,9.6162269115448,12.289990425109863,12.271911859512329,12.29240083694458,12.305582046508789,12.313594102859497,12.306305170059204,12.309284210205078,11.778715372085571,624.4545464515686
28,6.954281330108643,8.056369543075562,8.352085828781128,9.516358375549316,12.195295810699463,12.257992029190063,12.197965383529663,12.184085845947266,12.221087217330933,12.247192621231079,12.222447633743286,12.023780345916748,527.3445942401886
29,7.009941816329956,8.19942021369934,8.444558143615723,9.616080522537231,12.382045030593872,12.396564960479736,12.410397291183472,12.371570110321045,12.364713668823242,12.376676559448242,12.370843887329102,12.427142143249512,829.1174690723419
30,8.0651695728302,9.078351020812988,9.290004968643188,10.403981447219849,13.029483318328857,12.967755794525146,13.047166109085083,15.973427057266235,12.88644003868103,13.03907585144043,12.912107944488525,13.471407175064087,580.6710872650146
31,6.927172899246216,8.086223125457764,8.333008050918579,9.387267112731934,12.097752332687378,12.127583742141724,12.163254261016846,12.310001850128174,14.826954126358032,12.279754638671875,12.26246190071106,12.287648677825928,566.5679295063019
32,7.227807998657227,8.353787660598755,8.620867252349854,9.686213970184326,12.366228818893433,12.391858100891113,12.437833786010742,12.425508737564087,12.450461149215698,12.42876648902893,12.290088176727295,12.13959002494812,369.41129970550537
33,7.987369060516357,9.103423833847046,9.361616134643555,10.510279655456543,13.295336961746216,13.261650800704956,13.218974113464355,13.158581495285034,14.746657371520996,13.009714603424072,13.010668992996216,12.765165090560913,708.8993673324585
34,6.937279462814331,10.247156858444214,8.62780213356018,9.482030391693115,12.279078722000122,12.083222150802612,12.097835540771484,12.102545976638794,12.186284065246582,12.112892866134644,12.097045421600342,11.756382465362549,625.3631501197815
35,7.142066478729248,8.212207317352295,8.480393409729004,9.46377944946289,12.177204370498657,12.215278625488281,12.218954086303711,12.20372462272644,12.198730945587158,12.209733486175537,12.243337631225586,13.98017430305481,612.4393150806427
36,7.0524513721466064,8.155677795410156,8.448923349380493,9.565266370773315,12.232305526733398,12.242260456085205,12.267260074615479,12.292527198791504,12.293288469314575,12.315334558486938,12.303040981292725,11.978075504302979,589.8492336273193
37,6.975512504577637,8.153309106826782,8.455275058746338,9.433593988418579,12.146111726760864,12.160274028778076,12.174302577972412,12.368746995925903,15.67264986038208,12.301357746124268,12.272807359695435,12.27426266670227,567.0850777626038
38,6.91156268119812,7.934457063674927,8.314675569534302,9.210564851760864,11.88410234451294,12.161912441253662,12.200469017028809,12.19070553779602,12.239797592163086,12.250625371932983,12.217357635498047,12.226571083068848,534.6366529464722
