Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,0.6729745864868164,0.7793753147125244,0.7422366142272949,0.7425765991210938,0.7495133876800537,0.7689590454101562,0.7467021942138672,0.7532837390899658,0.7500007152557373,0.8247294425964355,0.7409076690673828,0.753140926361084,1799.0998125076294
1,0.853846549987793,0.9777998924255371,0.9913461208343506,0.9589300155639648,0.9606389999389648,0.9605169296264648,0.9557976722717285,0.9569423198699951,0.9547662734985352,0.95257568359375,1.2510807514190674,0.9520998001098633,2304.813289642334
2,0.802954912185669,0.9314670562744141,0.9022297859191895,1.148817777633667,0.9087691307067871,0.9128849506378174,0.9083044528961182,1.0397558212280273,0.901848554611206,0.9027371406555176,0.8990929126739502,0.902334451675415,2333.7215263843536
3,0.6690301895141602,0.8094961643218994,0.738736629486084,0.7396345138549805,0.755866527557373,0.7467391490936279,0.7407679557800293,0.7427182197570801,0.7406315803527832,0.7401876449584961,0.7420423030853271,0.7439229488372803,1776.8751316070557
4,0.660470724105835,0.7732396125793457,0.7353737354278564,0.7379543781280518,0.7600870132446289,0.7413296699523926,0.7398695945739746,0.7445428371429443,0.7412629127502441,0.7402608394622803,0.9951643943786621,0.7415499687194824,1760.4595665931702
5,0.8482780456542969,0.9638094902038574,0.9592740535736084,0.9453036785125732,1.230461835861206,0.9489626884460449,0.9594607353210449,0.9420621395111084,0.9490053653717041,0.9497041702270508,0.9507153034210205,0.9516658782958984,2272.334214448929
6,0.6650712490081787,0.7818772792816162,0.7359213829040527,0.8881645202636719,0.7603940963745117,0.7496335506439209,0.7453000545501709,0.7426397800445557,0.7399053573608398,0.7438156604766846,0.7419905662536621,0.7421479225158691,1790.5163266658783
7,0.6606054306030273,0.7771058082580566,0.7435851097106934,0.7339458465576172,0.7454423904418945,0.7364578247070312,0.7343857288360596,0.7318301200866699,0.7331628799438477,0.7370495796203613,0.7438859939575195,0.7317385673522949,1783.825881242752
8,0.6672604084014893,0.773430585861206,0.7369124889373779,0.7397418022155762,0.757387638092041,0.741530179977417,0.7448077201843262,0.7397675514221191,0.7404897212982178,0.7381737232208252,0.7402248382568359,0.7430109977722168,1794.7562446594238
9,0.6608262062072754,0.7722122669219971,0.7360341548919678,1.054429531097412,0.75101637840271,0.739201545715332,0.7380332946777344,0.7378337383270264,0.7420258522033691,0.7482225894927979,0.7457675933837891,0.7394990921020508,1737.6806101799011
10,0.6668922901153564,0.8009657859802246,0.7427868843078613,0.759624719619751,0.7497203350067139,0.9665043354034424,0.7564723491668701,0.7470872402191162,0.7598841190338135,0.7472882270812988,1.047553300857544,0.7578468322753906,1740.4489786624908
11,0.8425793647766113,1.151477575302124,0.9510338306427002,0.9589958190917969,0.9426190853118896,0.9422316551208496,0.945467472076416,0.9524357318878174,0.946962833404541,0.941349983215332,0.9439389705657959,0.9443597793579102,2315.9303255081177
12,0.6701292991638184,0.7861373424530029,0.747154951095581,0.7484197616577148,0.7548449039459229,1.2776200771331787,0.7492239475250244,0.7511448860168457,0.7453954219818115,0.7442567348480225,0.7439925670623779,0.7498085498809814,1783.392296552658
13,0.8076577186584473,0.9325466156005859,0.9115469455718994,0.902001142501831,0.9066755771636963,0.9121489524841309,0.899301290512085,0.9052512645721436,0.9024832248687744,0.9076652526855469,0.901827335357666,0.8962359428405762,2331.465882539749
14,0.8148965835571289,0.9305665493011475,0.9098515510559082,0.9139413833618164,0.9113836288452148,0.9079842567443848,0.9123270511627197,0.9133579730987549,0.9174094200134277,0.9119076728820801,0.9106605052947998,0.9109623432159424,2306.5893683433533
15,0.6617798805236816,0.8945980072021484,0.7480192184448242,0.7464971542358398,0.8465554714202881,0.758439302444458,0.7619903087615967,0.7526462078094482,0.7481536865234375,0.7512879371643066,0.7453339099884033,0.7467293739318848,1737.4359517097473
16,0.6652252674102783,0.7826082706451416,0.7454979419708252,0.761305570602417,0.7676267623901367,0.762819766998291,0.7602229118347168,0.8117470741271973,0.7671506404876709,0.7671446800231934,0.763484001159668,0.7633359432220459,1731.3072423934937
17,0.6540718078613281,0.7690324783325195,0.7330319881439209,0.7311491966247559,0.7332351207733154,0.7441799640655518,0.7353785037994385,0.7330513000488281,0.745121955871582,0.7326467037200928,0.8855786323547363,0.7400846481323242,1737.649597644806
18,0.8069255352020264,0.9233989715576172,0.9043292999267578,0.9007937908172607,0.9078528881072998,0.91025710105896,0.9054815769195557,0.9104478359222412,0.9139463901519775,0.9088571071624756,0.9160358905792236,0.9529819488525391,2351.033749818802
19,0.6565451622009277,0.7698771953582764,0.7328732013702393,0.7299175262451172,0.7328000068664551,0.7272827625274658,0.7379822731018066,0.724886417388916,0.7280540466308594,0.7337746620178223,1.137598991394043,0.7287139892578125,1798.3175206184387
20,0.6712572574615479,0.8033092021942139,0.7487385272979736,0.8945903778076172,0.7589502334594727,0.7585456371307373,0.7838375568389893,0.7520887851715088,0.7468996047973633,0.7498955726623535,0.7460415363311768,0.739661693572998,1736.6422975063324
21,0.6594033241271973,0.7684712409973145,0.7269895076751709,0.7463417053222656,0.7403936386108398,0.7492985725402832,0.7356023788452148,0.7542805671691895,0.7379944324493408,0.7449901103973389,0.7367813587188721,0.7361640930175781,1761.6775059700012
22,0.659003496170044,0.7797873020172119,0.7444584369659424,0.9409105777740479,0.7419428825378418,0.7429351806640625,0.7409934997558594,0.8170516490936279,0.7382848262786865,0.7422478199005127,0.7328341007232666,0.7337510585784912,1790.7544267177582
23,0.7925963401794434,0.9099395275115967,0.8940391540527344,0.8983733654022217,0.8913662433624268,0.9352729320526123,0.886751651763916,0.8941986560821533,0.8889098167419434,0.8904557228088379,0.8897914886474609,1.1288671493530273,2337.026183605194
24,0.6740083694458008,1.0127151012420654,0.7478551864624023,0.7532281875610352,0.7588930130004883,0.7572429180145264,0.7504513263702393,1.0300943851470947,0.7512662410736084,0.7496185302734375,1.0429069995880127,0.7532134056091309,1782.7498633861542
25,0.686161994934082,0.8200473785400391,0.8233356475830078,0.787428617477417,0.7745335102081299,0.8112764358520508,0.7764325141906738,0.7851500511169434,0.7679929733276367,0.7705478668212891,0.7689018249511719,0.7706766128540039,1735.0526480674744
26,0.6858456134796143,0.7962255477905273,0.7498891353607178,0.745398759841919,0.7577970027923584,0.7548480033874512,0.7532706260681152,0.7547028064727783,0.7492949962615967,0.8293075561523438,0.7515628337860107,0.7551512718200684,1732.663607597351
27,0.6912353038787842,0.8249704837799072,0.7630207538604736,0.7606885433197021,0.7632887363433838,0.7750821113586426,0.7587790489196777,0.7534511089324951,0.7479588985443115,0.7497665882110596,0.764141321182251,0.7685232162475586,1734.0281772613525
