Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,2.666707754135132,3.107487440109253,3.33843731880188,3.5813472270965576,3.6919329166412354,3.8505280017852783,4.006999731063843,4.008738994598389,4.031087398529053,4.068202257156372,4.044027090072632,4.030220985412598,1744.0324885845184
1,2.8065378665924072,3.3370773792266846,3.6406044960021973,3.9346506595611572,4.094101428985596,4.100731611251831,4.090680360794067,4.080643653869629,4.081920385360718,4.07853102684021,4.039025783538818,3.825371742248535,1750.855471611023
2,2.6941347122192383,3.1457362174987793,3.541107416152954,3.74001145362854,3.8984744548797607,3.921298027038574,3.9636948108673096,3.9718708992004395,3.9654810428619385,3.845270872116089,3.737187623977661,3.7391955852508545,1738.9799728393555
3,2.787714958190918,3.212942361831665,3.4883646965026855,3.705657720565796,3.831277370452881,3.870993137359619,3.9861083030700684,4.06552791595459,4.124244928359985,4.193078517913818,4.2175586223602295,4.187903165817261,1685.0006034374237
4,2.973694324493408,3.4569883346557617,3.816416025161743,4.045394659042358,4.2045135498046875,4.189652681350708,4.19185733795166,4.170199632644653,4.1348206996917725,4.079669237136841,3.909888744354248,3.7595643997192383,1740.2413804531097
5,2.6907689571380615,3.2066731452941895,3.5911452770233154,3.912529945373535,4.095602035522461,4.114882946014404,4.111048460006714,4.096749305725098,4.100240707397461,4.098649024963379,4.0591301918029785,3.968750238418579,1745.8654532432556
6,2.6868724822998047,3.1521472930908203,3.538343667984009,3.865489959716797,4.07081413269043,4.117758274078369,4.11987566947937,4.10907769203186,4.101579666137695,4.10336709022522,4.0916242599487305,4.07317042350769,1751.6778559684753
7,2.7838823795318604,3.312744140625,3.6358020305633545,3.9012794494628906,4.087462663650513,4.1182332038879395,4.118520975112915,4.045414447784424,4.0328898429870605,3.947575330734253,3.899402618408203,3.843660831451416,1735.7858881950378
8,2.716857433319092,3.1866042613983154,3.570058822631836,3.894240140914917,4.095026731491089,4.104769945144653,4.0984206199646,4.107310771942139,4.093635082244873,4.097512245178223,4.08264946937561,3.977628707885742,1739.2482280731201
9,2.8148646354675293,3.3839194774627686,3.693995237350464,3.9812557697296143,4.127715587615967,4.138301372528076,4.135350465774536,4.09605598449707,4.085113763809204,4.003418445587158,3.9429657459259033,3.8729465007781982,1741.5028765201569
10,2.9941558837890625,3.4977340698242188,3.7985005378723145,4.092384338378906,4.241396188735962,4.208271741867065,4.196516036987305,4.168894290924072,4.089327335357666,4.029302597045898,3.9507253170013428,3.8158516883850098,1740.176457643509
11,2.341965436935425,2.7155768871307373,2.9775900840759277,3.2029099464416504,3.3649370670318604,3.386002540588379,3.3683245182037354,3.378953456878662,3.380136489868164,3.3590245246887207,3.3383638858795166,3.273253917694092,1321.750385761261
