Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,2.0938093662261963,2.2993295192718506,2.584628105163574,2.71846866607666,2.8251476287841797,2.8934075832366943,2.93289852142334,2.9477713108062744,2.956749200820923,2.952665328979492,2.923659563064575,2.9229063987731934,1282.8474655151367
1,2.2272608280181885,2.5806379318237305,2.77377986907959,2.8836307525634766,2.9796717166900635,2.9719624519348145,2.9788026809692383,2.9535088539123535,2.9281418323516846,2.8903369903564453,2.906298875808716,2.7364742755889893,1345.1667902469635
2,2.1334919929504395,2.351555585861206,2.6560566425323486,2.7859420776367188,2.862658977508545,2.884366989135742,2.9130897521972656,2.8956351280212402,2.8661649227142334,2.8790390491485596,2.8929874897003174,2.8597259521484375,1338.8654580116272
3,2.0681116580963135,2.263800859451294,2.5182859897613525,2.6124041080474854,2.8207857608795166,2.8536479473114014,2.8837499618530273,2.9127752780914307,2.9370815753936768,2.9458305835723877,2.9508466720581055,2.9528660774230957,1314.1393661499023
4,2.3101792335510254,2.5461490154266357,2.840165138244629,2.9570810794830322,3.0500481128692627,3.054605484008789,3.056103229522705,3.0494251251220703,3.033135414123535,3.0161046981811523,2.9290599822998047,2.7743465900421143,1317.8521890640259
5,2.103651285171509,2.3512279987335205,2.721625328063965,2.824136734008789,2.9306461811065674,2.9516570568084717,2.9631083011627197,2.9593570232391357,2.9531471729278564,2.9362146854400635,2.896414279937744,2.8572909832000732,1348.2487165927887
6,2.097379207611084,2.2845101356506348,2.5386393070220947,2.606814384460449,2.6688013076782227,2.6837520599365234,2.7583985328674316,2.8223493099212646,2.8898046016693115,2.9381372928619385,2.963547468185425,2.979569673538208,1212.2661111354828
7,2.1022789478302,2.287471055984497,2.7542307376861572,2.6086113452911377,2.642862558364868,2.6467559337615967,2.6464312076568604,2.654526710510254,2.6631340980529785,2.716684341430664,2.7380523681640625,2.791429042816162,1267.1714835166931
8,2.0802855491638184,2.2680585384368896,2.5238869190216064,2.5889170169830322,2.694035053253174,2.8274612426757812,2.9047913551330566,2.911972999572754,2.9381773471832275,2.961536407470703,2.965322256088257,2.9708261489868164,1343.788997888565
9,2.101300001144409,2.3098161220550537,2.5624470710754395,2.634596347808838,2.7101361751556396,2.745309591293335,2.7920711040496826,2.8104419708251953,2.8663737773895264,2.885531425476074,2.9242353439331055,3.076594114303589,1305.30406832695
