Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,3.505462408065796,3.6535675525665283,3.9216296672821045,4.04054594039917,4.139399766921997,4.146383762359619,4.007988452911377,4.771771669387817,4.109854221343994,4.037164688110352,3.9304864406585693,3.873858690261841,1857.8551890850067
1,3.375760555267334,4.119396686553955,3.9588797092437744,4.087464809417725,4.172232627868652,4.178843259811401,4.121435642242432,4.1074378490448,4.030913829803467,4.860713481903076,3.9167978763580322,3.8859384059906006,1863.323974609375
2,3.4201788902282715,3.661710739135742,3.9693291187286377,4.077453136444092,4.1729912757873535,4.200764894485474,4.204875946044922,3.990126371383667,4.191382169723511,4.180257320404053,4.097754955291748,3.997171401977539,1860.967184305191
3,3.4897093772888184,3.6068711280822754,3.840057849884033,3.933094024658203,3.9702017307281494,3.959285259246826,3.954169511795044,3.943816900253296,3.936377763748169,3.9099299907684326,3.8832459449768066,3.8352322578430176,1892.0494709014893
4,3.5087573528289795,3.6577892303466797,3.9245448112487793,4.043636322021484,4.141776084899902,4.145250558853149,4.012418270111084,4.753260135650635,4.11305570602417,4.043486833572388,3.942333936691284,3.8827054500579834,1858.0635931491852
5,3.3144688606262207,3.4037163257598877,3.66802716255188,3.7533488273620605,3.8170924186706543,3.820769786834717,3.8157482147216797,3.842721700668335,3.8601412773132324,3.9063785076141357,3.930706739425659,3.936162233352661,1853.2873623371124
6,3.3426156044006348,3.455955743789673,3.7374653816223145,3.8664751052856445,4.002057790756226,4.058870792388916,4.031187057495117,3.997316598892212,4.0179150104522705,4.037724494934082,4.018313646316528,3.979102611541748,1907.6386187076569
7,3.3014447689056396,3.4795334339141846,3.7218899726867676,3.8195858001708984,3.925910234451294,3.9977803230285645,4.060098171234131,4.054461717605591,4.023793697357178,4.0300867557525635,4.046569347381592,4.05475640296936,1897.0970227718353
8,3.306633949279785,3.427551746368408,3.743215322494507,3.9397075176239014,4.042699575424194,4.099105358123779,4.131480693817139,4.160106658935547,4.148431062698364,4.0815510749816895,4.140073299407959,4.0473268032073975,1898.6670327186584
9,3.6280176639556885,3.571899652481079,3.8608579635620117,3.9963369369506836,4.098259687423706,4.107604503631592,4.066313028335571,4.6711344718933105,4.006812810897827,3.9689393043518066,3.8978583812713623,3.84879207611084,1890.3958129882812
