Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[507.0],[273.0],[20.0],[960.0],[656.0],[1067.0],[539.0],[502.0],[523.0],[1039.0],[1390.0],[746.0],[12.0],[821.0],[1036.0],[556.0],[322.0],[208.0],[351.0],[1302.0],[427.0],[468.0],[427.0],[445.0],[569.0],[1392.0],[650.0],[682.0],[436.0],[620.0],[1033.0],[851.0],[253.0],[150.0],[855.0],[1226.0],[136.0],[370.0],[1419.0],[144.0],[1163.0],[1054.0],[925.0],[1157.0],[605.0],[824.0],[52.0],[901.0],[705.0],[1243.0],[688.0],[767.0],[400.0],[1155.0],[345.0],[821.0],[547.0],[162.0],[681.0],[885.0],[63.0],[728.0],[1046.0],[908.0],[975.0],[1162.0],[113.0],[1235.0],[1328.0],[685.0],[420.0],[107.0],[173.0],[474.0],[228.0],[565.0],[703.0],[1343.0],[889.0],[966.0],[939.0],[1204.0],[1493.0],[1359.0],[692.0],[944.0],[376.0],[272.0],[152.0],[413.0],[1083.0],[1066.0],[217.0],[1209.0],[821.0],[747.0],[475.0],[551.0],[514.0],[1206.0]
1,[107.0],[104.0],[346.0],[887.0],[821.0],[454.0],[650.0],[375.0],[746.0],[583.0],[1492.0],[545.0],[766.0],[702.0],[1055.0],[812.0],[1495.0],[72.0],[1272.0],[704.0],[1027.0],[505.0],[679.0],[1464.0],[660.0],[801.0],[664.0],[1199.0],[1126.0],[430.0],[770.0],[1327.0],[1484.0],[191.0],[66.0],[1181.0],[956.0],[459.0],[1238.0],[1272.0],[653.0],[1053.0],[528.0],[989.0],[24.0],[1414.0],[1228.0],[1019.0],[807.0],[1080.0],[217.0],[1029.0],[809.0],[710.0],[1363.0],[1426.0],[1142.0],[414.0],[319.0],[519.0],[607.0],[997.0],[1492.0],[466.0],[1118.0],[1181.0],[758.0],[82.0],[170.0],[451.0],[450.0],[217.0],[854.0],[1051.0],[1355.0],[1139.0],[531.0],[959.0],[158.0],[1163.0],[232.0],[623.0],[1246.0],[979.0],[129.0],[1368.0],[217.0],[62.0],[1177.0],[686.0],[1026.0],[1046.0],[496.0],[208.0],[171.0],[781.0],[821.0],[742.0],[476.0],[1293.0]
2,[627.0],[405.0],[1045.0],[821.0],[208.0],[704.0],[621.0],[1474.0],[702.0],[1181.0],[1458.0],[739.0],[1155.0],[1426.0],[63.0],[1417.0],[170.0],[766.0],[388.0],[983.0],[1213.0],[1349.0],[524.0],[367.0],[268.0],[21.0],[634.0],[380.0],[372.0],[132.0],[676.0],[1044.0],[980.0],[127.0],[123.0],[344.0],[47.0],[1417.0],[427.0],[531.0],[1344.0],[571.0],[123.0],[217.0],[538.0],[1113.0],[1016.0],[1258.0],[1223.0],[710.0],[388.0],[1176.0],[1417.0],[1469.0],[220.0],[208.0],[1134.0],[1124.0],[1294.0],[655.0],[625.0],[37.0],[1133.0],[82.0],[1227.0],[495.0],[270.0],[243.0],[1281.0],[553.0],[1333.0],[419.0],[760.0],[188.0],[1372.0],[1379.0],[1472.0],[627.0],[108.0],[619.0],[1115.0],[969.0],[380.0],[1268.0],[274.0],[1278.0],[399.0],[755.0],[132.0],[724.0],[892.0],[124.0],[484.0],[205.0],[1194.0],[1042.0],[228.0],[462.0],[1275.0],[266.0]
3,[619.0],[1236.0],[752.0],[1426.0],[1357.0],[888.0],[610.0],[819.0],[1255.0],[428.0],[493.0],[994.0],[388.0],[128.0],[837.0],[459.0],[1186.0],[331.0],[399.0],[201.0],[710.0],[946.0],[271.0],[198.0],[223.0],[1365.0],[694.0],[40.0],[370.0],[772.0],[694.0],[821.0],[1036.0],[279.0],[772.0],[293.0],[548.0],[429.0],[531.0],[868.0],[107.0],[1386.0],[772.0],[1198.0],[1443.0],[633.0],[703.0],[1462.0],[581.0],[1155.0],[419.0],[447.0],[604.0],[891.0],[322.0],[563.0],[176.0],[1404.0],[749.0],[718.0],[392.0],[262.0],[944.0],[955.0],[22.0],[63.0],[438.0],[160.0],[279.0],[1282.0],[35.0],[447.0],[339.0],[203.0],[1395.0],[1031.0],[843.0],[1198.0],[1133.0],[447.0],[484.0],[525.0],[718.0],[1379.0],[295.0],[460.0],[558.0],[534.0],[556.0],[359.0],[1407.0],[297.0],[1155.0],[72.0],[1275.0],[825.0],[1483.0],[741.0],[454.0],[337.0]
4,[1155.0],[990.0],[903.0],[72.0],[835.0],[1297.0],[1097.0],[768.0],[1467.0],[78.0],[1156.0],[607.0],[447.0],[205.0],[1485.0],[938.0],[500.0],[419.0],[1364.0],[995.0],[447.0],[664.0],[759.0],[507.0],[1235.0],[294.0],[79.0],[79.0],[1297.0],[380.0],[1228.0],[1080.0],[827.0],[107.0],[694.0],[442.0],[263.0],[644.0],[869.0],[1278.0],[972.0],[1056.0],[460.0],[723.0],[567.0],[862.0],[750.0],[1481.0],[1420.0],[399.0],[1155.0],[388.0],[132.0],[1459.0],[732.0],[285.0],[1152.0],[1142.0],[384.0],[132.0],[160.0],[1441.0],[855.0],[23.0],[1042.0],[994.0],[226.0],[909.0],[1456.0],[858.0],[1425.0],[398.0],[754.0],[795.0],[820.0],[950.0],[767.0],[619.0],[1256.0],[419.0],[876.0],[831.0],[333.0],[638.0],[1279.0],[333.0],[653.0],[92.0],[454.0],[939.0],[581.0],[728.0],[447.0],[1283.0],[90.0],[577.0],[1426.0],[1203.0],[99.0],[1331.0]
5,[419.0],[710.0],[652.0],[1483.0],[845.0],[132.0],[821.0],[564.0],[0.0],[657.0],[718.0],[442.0],[851.0],[1394.0],[223.0],[79.0],[9.0],[1155.0],[1155.0],[259.0],[419.0],[576.0],[549.0],[1.0],[625.0],[459.0],[916.0],[604.0],[1464.0],[604.0],[222.0],[72.0],[428.0],[653.0],[604.0],[965.0],[1285.0],[460.0],[295.0],[976.0],[1056.0],[766.0],[1184.0],[1163.0],[1479.0],[402.0],[1417.0],[1417.0],[583.0],[107.0],[851.0],[399.0],[812.0],[101.0],[543.0],[1318.0],[337.0],[38.0],[48.0],[812.0],[0.0],[772.0],[934.0],[243.0],[827.0],[657.0],[1074.0],[1485.0],[876.0],[1143.0],[403.0],[388.0],[1067.0],[707.0],[1469.0],[662.0],[1466.0],[419.0],[597.0],[399.0],[805.0],[863.0],[588.0],[712.0],[62.0],[1417.0],[742.0],[710.0],[938.0],[802.0],[1140.0],[15.0],[419.0],[100.0],[40.0],[256.0],[1050.0],[768.0],[79.0],[719.0]
6,[558.0],[1198.0],[169.0],[1390.0],[316.0],[812.0],[1426.0],[821.0],[1325.0],[138.0],[459.0],[1287.0],[399.0],[407.0],[1235.0],[546.0],[742.0],[1483.0],[447.0],[664.0],[107.0],[77.0],[1056.0],[1407.0],[243.0],[1481.0],[16.0],[938.0],[283.0],[1252.0],[1297.0],[1483.0],[660.0],[619.0],[79.0],[1381.0],[295.0],[694.0],[263.0],[1125.0],[1343.0],[1244.0],[1033.0],[462.0],[125.0],[350.0],[429.0],[938.0],[768.0],[619.0],[398.0],[1201.0],[588.0],[1461.0],[1457.0],[772.0],[777.0],[1214.0],[1316.0],[1253.0],[23.0],[676.0],[1221.0],[1485.0],[293.0],[607.0],[1237.0],[282.0],[759.0],[968.0],[618.0],[331.0],[40.0],[918.0],[1205.0],[345.0],[811.0],[331.0],[576.0],[107.0],[695.0],[1222.0],[99.0],[61.0],[978.0],[750.0],[398.0],[399.0],[1033.0],[357.0],[67.0],[667.0],[558.0],[1493.0],[770.0],[366.0],[531.0],[994.0],[92.0],[217.0]
7,[217.0],[217.0],[520.0],[1168.0],[1208.0],[40.0],[208.0],[495.0],[526.0],[223.0],[1417.0],[1347.0],[398.0],[945.0],[160.0],[333.0],[569.0],[107.0],[217.0],[883.0],[851.0],[682.0],[92.0],[33.0],[1485.0],[1417.0],[102.0],[644.0],[1184.0],[339.0],[809.0],[1168.0],[545.0],[447.0],[90.0],[63.0],[1195.0],[1033.0],[306.0],[27.0],[851.0],[1178.0],[883.0],[627.0],[1357.0],[1354.0],[644.0],[750.0],[495.0],[398.0],[462.0],[42.0],[938.0],[1182.0],[1217.0],[938.0],[384.0],[1014.0],[848.0],[1033.0],[223.0],[1291.0],[703.0],[442.0],[607.0],[160.0],[338.0],[23.0],[500.0],[1470.0],[59.0],[851.0],[676.0],[398.0],[1477.0],[382.0],[1427.0],[399.0],[812.0],[1198.0],[414.0],[328.0],[294.0],[341.0],[985.0],[604.0],[619.0],[107.0],[1184.0],[1408.0],[1061.0],[832.0],[357.0],[1253.0],[132.0],[213.0],[853.0],[837.0],[558.0],[742.0]
8,[388.0],[398.0],[3.0],[929.0],[64.0],[546.0],[1483.0],[1426.0],[516.0],[625.0],[604.0],[243.0],[462.0],[456.0],[1347.0],[750.0],[268.0],[619.0],[619.0],[1297.0],[558.0],[850.0],[989.0],[1209.0],[622.0],[644.0],[706.0],[460.0],[1275.0],[40.0],[459.0],[128.0],[994.0],[398.0],[718.0],[1076.0],[1448.0],[400.0],[172.0],[255.0],[1198.0],[1200.0],[90.0],[742.0],[1063.0],[1405.0],[1252.0],[459.0],[63.0],[388.0],[1198.0],[1302.0],[460.0],[1171.0],[176.0],[644.0],[217.0],[959.0],[633.0],[454.0],[622.0],[694.0],[294.0],[965.0],[392.0],[392.0],[531.0],[1128.0],[778.0],[686.0],[421.0],[1200.0],[588.0],[742.0],[157.0],[1059.0],[80.0],[558.0],[772.0],[742.0],[277.0],[555.0],[1462.0],[976.0],[423.0],[429.0],[419.0],[398.0],[294.0],[169.0],[507.0],[1253.0],[791.0],[460.0],[1387.0],[973.0],[758.0],[223.0],[462.0],[388.0]
9,[398.0],[627.0],[961.0],[663.0],[1069.0],[938.0],[1168.0],[667.0],[521.0],[1347.0],[90.0],[657.0],[627.0],[768.0],[443.0],[1252.0],[625.0],[398.0],[558.0],[123.0],[388.0],[209.0],[1294.0],[506.0],[1347.0],[380.0],[1263.0],[878.0],[1177.0],[809.0],[460.0],[205.0],[837.0],[742.0],[429.0],[23.0],[1157.0],[938.0],[1431.0],[65.0],[723.0],[1107.0],[1481.0],[435.0],[106.0],[538.0],[546.0],[1033.0],[994.0],[1107.0],[1163.0],[1391.0],[452.0],[444.0],[798.0],[460.0],[1198.0],[1198.0],[757.0],[546.0],[1485.0],[539.0],[1252.0],[282.0],[625.0],[243.0],[1351.0],[442.0],[1261.0],[724.0],[417.0],[462.0],[1177.0],[851.0],[710.0],[81.0],[1324.0],[388.0],[604.0],[1155.0],[1142.0],[282.0],[1291.0],[711.0],[95.0],[459.0],[331.0],[388.0],[634.0],[1359.0],[923.0],[604.0],[993.0],[459.0],[459.0],[57.0],[767.0],[1235.0],[742.0],[1155.0]
