Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[1222.0],[229.0],[36.0],[16.0],[821.0],[1343.0],[391.0],[16.0],[1098.0],[531.0],[821.0],[1464.0],[171.0],[1127.0],[36.0],[943.0],[1464.0],[725.0],[1464.0],[1007.0],[1387.0],[855.0],[793.0],[1436.0],[1447.0],[708.0],[531.0],[911.0],[838.0],[999.0],[916.0],[855.0],[1077.0],[16.0],[821.0],[704.0],[716.0],[1037.0],[1340.0],[1469.0],[1464.0],[535.0],[1473.0],[1421.0],[579.0],[710.0],[419.0],[1018.0],[57.0],[1007.0],[1103.0],[1464.0],[468.0],[1271.0],[221.0],[531.0],[1436.0],[531.0],[785.0],[623.0],[377.0],[1151.0],[1405.0],[771.0],[581.0],[199.0],[852.0],[78.0],[1224.0],[531.0],[821.0],[1260.0],[1092.0],[244.0],[1078.0],[1347.0],[1406.0],[713.0],[977.0],[1423.0],[1085.0],[723.0],[1141.0],[623.0],[71.0],[860.0],[1464.0],[616.0],[531.0],[97.0],[1395.0],[659.0],[741.0],[716.0],[811.0],[315.0],[1469.0],[907.0],[713.0],[1438.0]
1,[1054.0],[855.0],[616.0],[852.0],[1394.0],[531.0],[531.0],[263.0],[531.0],[931.0],[16.0],[1213.0],[741.0],[811.0],[973.0],[843.0],[955.0],[551.0],[1410.0],[531.0],[1466.0],[1080.0],[297.0],[403.0],[25.0],[368.0],[448.0],[62.0],[249.0],[1151.0],[759.0],[464.0],[1120.0],[618.0],[794.0],[1160.0],[198.0],[1372.0],[62.0],[1054.0],[803.0],[1271.0],[868.0],[428.0],[1007.0],[165.0],[518.0],[531.0],[769.0],[1464.0],[1054.0],[1076.0],[581.0],[675.0],[1166.0],[167.0],[421.0],[811.0],[524.0],[598.0],[1148.0],[1054.0],[1467.0],[498.0],[852.0],[616.0],[919.0],[571.0],[403.0],[1157.0],[25.0],[1395.0],[36.0],[523.0],[396.0],[531.0],[1464.0],[811.0],[776.0],[249.0],[270.0],[1027.0],[1027.0],[803.0],[1136.0],[1206.0],[759.0],[771.0],[474.0],[523.0],[475.0],[915.0],[1464.0],[310.0],[741.0],[1160.0],[401.0],[1397.0],[355.0],[1250.0]
2,[1466.0],[249.0],[725.0],[1140.0],[1372.0],[1151.0],[143.0],[1272.0],[771.0],[1476.0],[1123.0],[811.0],[531.0],[1400.0],[1148.0],[314.0],[811.0],[892.0],[551.0],[725.0],[531.0],[1151.0],[1243.0],[1469.0],[502.0],[1478.0],[334.0],[67.0],[1171.0],[446.0],[1466.0],[581.0],[1180.0],[396.0],[1406.0],[725.0],[1447.0],[1151.0],[581.0],[475.0],[475.0],[475.0],[292.0],[675.0],[767.0],[1123.0],[1023.0],[235.0],[1324.0],[523.0],[143.0],[1140.0],[475.0],[336.0],[117.0],[62.0],[165.0],[1243.0],[1428.0],[523.0],[1406.0],[943.0],[366.0],[891.0],[1121.0],[1027.0],[1476.0],[943.0],[366.0],[328.0],[361.0],[1088.0],[336.0],[1083.0],[1160.0],[561.0],[837.0],[531.0],[12.0],[931.0],[1406.0],[238.0],[931.0],[1366.0],[1466.0],[323.0],[366.0],[1336.0],[403.0],[1088.0],[1140.0],[1466.0],[581.0],[1151.0],[1027.0],[531.0],[1041.0],[523.0],[678.0],[249.0]
3,[1104.0],[1059.0],[366.0],[1007.0],[1228.0],[855.0],[642.0],[581.0],[366.0],[1088.0],[1171.0],[1466.0],[524.0],[507.0],[931.0],[1140.0],[1104.0],[531.0],[314.0],[336.0],[1166.0],[1466.0],[581.0],[351.0],[581.0],[12.0],[475.0],[139.0],[811.0],[403.0],[1171.0],[531.0],[581.0],[403.0],[522.0],[1088.0],[1140.0],[1160.0],[336.0],[1166.0],[113.0],[811.0],[811.0],[313.0],[1027.0],[716.0],[675.0],[1406.0],[165.0],[891.0],[376.0],[1104.0],[1294.0],[1348.0],[1151.0],[475.0],[475.0],[12.0],[1406.0],[531.0],[396.0],[1406.0],[581.0],[1447.0],[446.0],[1228.0],[1027.0],[1104.0],[581.0],[1140.0],[1466.0],[725.0],[499.0],[524.0],[524.0],[843.0],[1171.0],[1466.0],[1160.0],[1333.0],[1315.0],[811.0],[1476.0],[1406.0],[725.0],[531.0],[1123.0],[1480.0],[551.0],[581.0],[931.0],[675.0],[73.0],[1140.0],[989.0],[271.0],[292.0],[475.0],[475.0],[531.0]
4,[1333.0],[931.0],[376.0],[1243.0],[475.0],[759.0],[475.0],[475.0],[1166.0],[716.0],[524.0],[140.0],[1171.0],[1243.0],[1104.0],[1271.0],[1023.0],[1151.0],[475.0],[475.0],[1171.0],[931.0],[531.0],[1166.0],[1406.0],[811.0],[336.0],[1447.0],[1104.0],[475.0],[498.0],[1088.0],[1160.0],[1088.0],[249.0],[716.0],[498.0],[437.0],[507.0],[498.0],[1171.0],[351.0],[1088.0],[351.0],[249.0],[524.0],[475.0],[1294.0],[1088.0],[1171.0],[475.0],[581.0],[1466.0],[551.0],[403.0],[324.0],[292.0],[390.0],[475.0],[518.0],[507.0],[1061.0],[1166.0],[475.0],[305.0],[186.0],[551.0],[1466.0],[524.0],[1406.0],[351.0],[531.0],[376.0],[12.0],[376.0],[581.0],[1151.0],[1027.0],[69.0],[214.0],[531.0],[127.0],[396.0],[261.0],[396.0],[811.0],[1104.0],[811.0],[1088.0],[226.0],[725.0],[531.0],[1104.0],[1088.0],[931.0],[716.0],[1334.0],[524.0],[581.0],[1140.0]
5,[532.0],[725.0],[524.0],[1029.0],[1160.0],[769.0],[1171.0],[532.0],[1029.0],[811.0],[292.0],[475.0],[532.0],[931.0],[523.0],[931.0],[1088.0],[581.0],[1447.0],[1447.0],[1406.0],[12.0],[769.0],[1447.0],[12.0],[1160.0],[931.0],[437.0],[437.0],[811.0],[1406.0],[1466.0],[531.0],[376.0],[1160.0],[305.0],[931.0],[717.0],[931.0],[252.0],[376.0],[523.0],[403.0],[1406.0],[475.0],[769.0],[12.0],[1104.0],[1171.0],[396.0],[581.0],[532.0],[675.0],[499.0],[475.0],[811.0],[675.0],[523.0],[403.0],[1171.0],[336.0],[1160.0],[292.0],[581.0],[531.0],[396.0],[1088.0],[403.0],[475.0],[1088.0],[581.0],[931.0],[551.0],[1160.0],[1088.0],[475.0],[1104.0],[581.0],[1333.0],[1209.0],[931.0],[403.0],[1333.0],[390.0],[769.0],[1104.0],[931.0],[475.0],[524.0],[1104.0],[12.0],[1088.0],[1466.0],[531.0],[1166.0],[437.0],[524.0],[531.0],[62.0],[931.0]
6,[1209.0],[314.0],[1209.0],[1088.0],[314.0],[931.0],[523.0],[1333.0],[1104.0],[675.0],[1088.0],[581.0],[1333.0],[523.0],[314.0],[581.0],[532.0],[1406.0],[931.0],[1243.0],[475.0],[811.0],[1104.0],[769.0],[475.0],[891.0],[675.0],[1406.0],[1333.0],[165.0],[532.0],[314.0],[675.0],[531.0],[1104.0],[524.0],[12.0],[931.0],[1104.0],[931.0],[532.0],[531.0],[931.0],[165.0],[531.0],[475.0],[305.0],[1466.0],[1447.0],[551.0],[507.0],[165.0],[531.0],[931.0],[531.0],[1333.0],[314.0],[507.0],[931.0],[165.0],[1140.0],[69.0],[475.0],[531.0],[1104.0],[403.0],[931.0],[931.0],[12.0],[12.0],[1464.0],[1104.0],[165.0],[1140.0],[1140.0],[675.0],[252.0],[165.0],[403.0],[847.0],[1104.0],[531.0],[12.0],[165.0],[376.0],[581.0],[475.0],[551.0],[12.0],[314.0],[1333.0],[305.0],[532.0],[675.0],[531.0],[1395.0],[351.0],[771.0],[1466.0],[1324.0]
7,[475.0],[1166.0],[532.0],[551.0],[1074.0],[811.0],[1333.0],[523.0],[551.0],[12.0],[891.0],[1406.0],[517.0],[1140.0],[675.0],[12.0],[523.0],[314.0],[62.0],[1466.0],[931.0],[581.0],[725.0],[931.0],[1466.0],[403.0],[524.0],[314.0],[532.0],[847.0],[847.0],[1333.0],[931.0],[523.0],[292.0],[62.0],[1104.0],[62.0],[551.0],[532.0],[1333.0],[1160.0],[531.0],[1104.0],[523.0],[62.0],[532.0],[62.0],[531.0],[1104.0],[931.0],[1333.0],[725.0],[531.0],[931.0],[931.0],[931.0],[437.0],[1372.0],[931.0],[769.0],[165.0],[314.0],[1372.0],[675.0],[847.0],[1171.0],[1464.0],[1464.0],[581.0],[931.0],[12.0],[532.0],[771.0],[523.0],[931.0],[1333.0],[532.0],[314.0],[12.0],[12.0],[523.0],[523.0],[403.0],[811.0],[165.0],[165.0],[931.0],[1104.0],[931.0],[523.0],[931.0],[1333.0],[931.0],[771.0],[530.0],[1088.0],[314.0],[1151.0],[1333.0]
8,[1447.0],[165.0],[523.0],[931.0],[1151.0],[1104.0],[1151.0],[847.0],[931.0],[532.0],[336.0],[305.0],[847.0],[12.0],[165.0],[1447.0],[847.0],[811.0],[675.0],[252.0],[1333.0],[1160.0],[523.0],[314.0],[769.0],[127.0],[716.0],[475.0],[932.0],[1074.0],[165.0],[165.0],[1074.0],[675.0],[531.0],[1104.0],[725.0],[1171.0],[1228.0],[892.0],[1209.0],[532.0],[1166.0],[769.0],[507.0],[725.0],[1074.0],[931.0],[1104.0],[1348.0],[725.0],[314.0],[532.0],[1333.0],[396.0],[705.0],[1151.0],[1151.0],[12.0],[154.0],[403.0],[475.0],[725.0],[1333.0],[1333.0],[475.0],[1140.0],[12.0],[1171.0],[532.0],[1166.0],[475.0],[314.0],[989.0],[1104.0],[532.0],[931.0],[1333.0],[532.0],[532.0],[1140.0],[314.0],[532.0],[1054.0],[305.0],[1333.0],[675.0],[531.0],[675.0],[532.0],[847.0],[1333.0],[847.0],[1104.0],[1151.0],[165.0],[931.0],[1061.0],[1324.0],[165.0]
9,[1088.0],[1151.0],[1333.0],[811.0],[403.0],[12.0],[532.0],[165.0],[725.0],[523.0],[847.0],[403.0],[292.0],[769.0],[1333.0],[811.0],[126.0],[1171.0],[1151.0],[1333.0],[165.0],[532.0],[1171.0],[531.0],[847.0],[314.0],[165.0],[811.0],[523.0],[314.0],[12.0],[12.0],[403.0],[771.0],[532.0],[1004.0],[523.0],[1104.0],[725.0],[165.0],[1166.0],[1151.0],[523.0],[314.0],[1151.0],[523.0],[1333.0],[1333.0],[932.0],[444.0],[532.0],[847.0],[1333.0],[1166.0],[314.0],[1209.0],[532.0],[1104.0],[581.0],[499.0],[532.0],[524.0],[165.0],[847.0],[165.0],[725.0],[523.0],[847.0],[725.0],[62.0],[314.0],[523.0],[847.0],[403.0],[771.0],[1333.0],[532.0],[523.0],[524.0],[1104.0],[1088.0],[1104.0],[847.0],[12.0],[1029.0],[523.0],[1151.0],[581.0],[314.0],[1074.0],[771.0],[12.0],[1171.0],[12.0],[1104.0],[1104.0],[1466.0],[1151.0],[532.0],[314.0]
