Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,4.5425331592559814,5.403729438781738,6.0196754932403564,6.9532434940338135,9.436975717544556,9.485336542129517,9.51025652885437,9.529029130935669,9.547825813293457,9.550416469573975,9.54219675064087,9.155435562133789,1249.3221685886383
1,4.475982427597046,5.478822469711304,6.178343296051025,7.013221502304077,9.551753759384155,9.569820404052734,9.59513783454895,9.587133884429932,9.587850332260132,9.501317024230957,9.317819356918335,8.877410650253296,1232.2757906913757
2,4.174060344696045,5.141938924789429,5.649374485015869,6.180903673171997,8.518223524093628,8.33379077911377,7.9992077350616455,7.982605695724487,7.755918264389038,7.770793676376343,7.763684034347534,7.755033254623413,1231.8879096508026
3,4.733407735824585,5.622284650802612,6.273232698440552,7.100541353225708,9.58484172821045,9.607073545455933,9.624076128005981,9.655266523361206,9.655818700790405,9.544716596603394,9.145994186401367,8.689115285873413,1248.8117034435272
4,4.799210786819458,5.628775358200073,6.29017186164856,7.10771632194519,9.566866874694824,9.575434923171997,9.583965539932251,9.598282098770142,9.595393896102905,9.453383207321167,9.107489585876465,8.485522747039795,1246.697257757187
5,4.227262735366821,4.821190357208252,7.344801902770996,6.373793125152588,9.06283974647522,9.327459573745728,9.559530019760132,9.587672472000122,9.621758460998535,9.649229526519775,9.668628454208374,9.579558849334717,1216.9336445331573
6,4.730271816253662,5.536738872528076,6.277296304702759,7.075991153717041,9.441746950149536,9.443873167037964,9.446932315826416,9.452083826065063,9.410181522369385,9.280300617218018,9.062959909439087,8.0404634475708,1228.746285200119
7,4.16948127746582,4.8029069900512695,5.581670045852661,6.586721897125244,9.090909719467163,9.376971960067749,9.487046957015991,9.494654178619385,9.505976915359497,9.529142618179321,9.479896545410156,9.332999229431152,1234.6544342041016
8,4.42046594619751,6.965425729751587,6.0529561042785645,6.8856000900268555,9.399588584899902,9.439086675643921,9.444295167922974,9.450755834579468,9.483461141586304,9.412676811218262,9.243362188339233,9.006913661956787,1233.8174879550934
9,4.451069355010986,5.328585147857666,5.9084556102752686,6.834816932678223,9.374412298202515,9.43312931060791,9.462671279907227,9.459858894348145,9.472357511520386,9.497668266296387,9.476836204528809,9.23851466178894,1251.0382630825043
10,4.43654465675354,5.375889778137207,6.010153293609619,6.7445197105407715,9.194216966629028,9.136544227600098,9.726799488067627,9.212931394577026,9.22331690788269,9.215507507324219,9.164677143096924,8.83917784690857,1271.9096574783325
11,4.71138334274292,5.573965072631836,6.209018230438232,7.028424978256226,9.491601943969727,9.519986629486084,9.508314371109009,9.527143478393555,9.543098211288452,9.457292795181274,9.114748239517212,8.604665040969849,1246.9744391441345
12,4.435027122497559,5.3408894538879395,5.927340745925903,6.8479413986206055,9.420777797698975,9.465978145599365,9.478145122528076,9.491109848022461,9.500411748886108,9.515706777572632,9.509956121444702,9.257237911224365,1251.0922846794128
