Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[92.0],[699.0],[415.0],[156.0],[322.0],[6.0],[531.0],[173.0],[942.0],[986.0],[26.0],[692.0],[596.0],[445.0],[702.0],[973.0],[566.0],[531.0],[468.0],[418.0],[986.0],[531.0],[531.0],[153.0],[648.0],[252.0],[876.0],[921.0],[531.0],[522.0],[247.0],[679.0],[531.0],[340.0],[165.0],[163.0],[97.0],[531.0],[741.0],[569.0],[2.0],[450.0],[224.0],[771.0],[683.0],[504.0],[774.0],[969.0],[478.0],[525.0],[185.0],[12.0],[156.0],[354.0],[471.0],[373.0],[763.0],[249.0],[213.0],[415.0],[531.0],[173.0],[461.0],[860.0],[531.0],[843.0],[71.0],[22.0],[860.0],[850.0],[71.0],[927.0],[24.0],[343.0],[531.0],[214.0],[970.0],[314.0],[815.0],[369.0],[208.0],[246.0],[543.0],[340.0],[531.0],[955.0],[252.0],[242.0],[13.0],[531.0],[19.0],[538.0],[674.0],[525.0],[777.0],[821.0],[663.0],[549.0],[608.0],[525.0]
1,[699.0],[44.0],[38.0],[730.0],[269.0],[623.0],[969.0],[505.0],[198.0],[969.0],[805.0],[195.0],[376.0],[571.0],[36.0],[691.0],[824.0],[839.0],[741.0],[531.0],[425.0],[916.0],[450.0],[415.0],[292.0],[709.0],[763.0],[373.0],[821.0],[722.0],[457.0],[551.0],[143.0],[74.0],[961.0],[38.0],[888.0],[57.0],[993.0],[310.0],[996.0],[716.0],[242.0],[214.0],[368.0],[502.0],[567.0],[596.0],[900.0],[865.0],[227.0],[886.0],[89.0],[741.0],[72.0],[376.0],[858.0],[212.0],[796.0],[969.0],[55.0],[133.0],[383.0],[36.0],[504.0],[676.0],[890.0],[531.0],[36.0],[426.0],[969.0],[531.0],[983.0],[667.0],[569.0],[969.0],[719.0],[667.0],[531.0],[61.0],[451.0],[777.0],[159.0],[413.0],[252.0],[971.0],[741.0],[771.0],[507.0],[759.0],[847.0],[531.0],[876.0],[852.0],[135.0],[297.0],[352.0],[449.0],[170.0],[531.0]
2,[9.0],[502.0],[152.0],[9.0],[531.0],[803.0],[324.0],[80.0],[36.0],[60.0],[561.0],[531.0],[122.0],[581.0],[531.0],[699.0],[908.0],[173.0],[976.0],[495.0],[713.0],[331.0],[741.0],[725.0],[71.0],[969.0],[759.0],[57.0],[728.0],[860.0],[392.0],[531.0],[957.0],[977.0],[994.0],[391.0],[495.0],[293.0],[703.0],[148.0],[679.0],[921.0],[290.0],[765.0],[821.0],[871.0],[113.0],[365.0],[16.0],[502.0],[278.0],[847.0],[966.0],[921.0],[531.0],[13.0],[713.0],[126.0],[747.0],[929.0],[12.0],[638.0],[362.0],[173.0],[397.0],[917.0],[152.0],[876.0],[942.0],[647.0],[62.0],[571.0],[373.0],[531.0],[916.0],[173.0],[648.0],[297.0],[610.0],[36.0],[977.0],[648.0],[165.0],[316.0],[658.0],[316.0],[571.0],[531.0],[701.0],[851.0],[821.0],[965.0],[173.0],[292.0],[921.0],[354.0],[699.0],[376.0],[153.0],[71.0]
3,[70.0],[92.0],[364.0],[373.0],[609.0],[177.0],[173.0],[305.0],[314.0],[915.0],[38.0],[354.0],[391.0],[968.0],[883.0],[293.0],[821.0],[699.0],[904.0],[741.0],[729.0],[740.0],[929.0],[569.0],[710.0],[759.0],[198.0],[140.0],[153.0],[84.0],[340.0],[383.0],[876.0],[523.0],[921.0],[198.0],[286.0],[891.0],[354.0],[519.0],[886.0],[829.0],[555.0],[616.0],[531.0],[630.0],[242.0],[415.0],[929.0],[571.0],[975.0],[374.0],[173.0],[104.0],[855.0],[967.0],[547.0],[329.0],[850.0],[581.0],[2.0],[461.0],[99.0],[481.0],[287.0],[616.0],[817.0],[822.0],[817.0],[531.0],[531.0],[26.0],[782.0],[170.0],[728.0],[442.0],[277.0],[913.0],[383.0],[249.0],[31.0],[124.0],[452.0],[885.0],[43.0],[234.0],[210.0],[504.0],[531.0],[957.0],[260.0],[245.0],[571.0],[152.0],[648.0],[310.0],[811.0],[321.0],[263.0],[679.0]
4,[1.0],[91.0],[876.0],[322.0],[321.0],[383.0],[331.0],[855.0],[531.0],[929.0],[326.0],[336.0],[642.0],[214.0],[821.0],[831.0],[877.0],[665.0],[500.0],[13.0],[818.0],[697.0],[746.0],[531.0],[847.0],[71.0],[12.0],[837.0],[36.0],[373.0],[703.0],[173.0],[518.0],[477.0],[702.0],[426.0],[16.0],[986.0],[208.0],[71.0],[204.0],[344.0],[966.0],[571.0],[6.0],[92.0],[25.0],[980.0],[103.0],[663.0],[277.0],[804.0],[229.0],[428.0],[513.0],[8.0],[571.0],[531.0],[12.0],[12.0],[6.0],[531.0],[531.0],[699.0],[383.0],[725.0],[531.0],[725.0],[744.0],[817.0],[373.0],[452.0],[741.0],[830.0],[344.0],[16.0],[647.0],[531.0],[32.0],[888.0],[77.0],[908.0],[392.0],[828.0],[728.0],[226.0],[821.0],[658.0],[577.0],[730.0],[373.0],[219.0],[952.0],[663.0],[879.0],[283.0],[830.0],[975.0],[36.0],[177.0]
5,[851.0],[226.0],[190.0],[462.0],[173.0],[113.0],[204.0],[400.0],[677.0],[250.0],[493.0],[373.0],[829.0],[655.0],[319.0],[854.0],[973.0],[683.0],[914.0],[720.0],[166.0],[93.0],[753.0],[57.0],[252.0],[498.0],[172.0],[904.0],[709.0],[3.0],[531.0],[859.0],[433.0],[851.0],[36.0],[725.0],[146.0],[849.0],[435.0],[531.0],[235.0],[531.0],[567.0],[561.0],[220.0],[780.0],[845.0],[821.0],[744.0],[383.0],[547.0],[792.0],[860.0],[560.0],[759.0],[766.0],[588.0],[689.0],[531.0],[452.0],[969.0],[570.0],[451.0],[418.0],[138.0],[139.0],[694.0],[642.0],[821.0],[886.0],[821.0],[383.0],[30.0],[633.0],[857.0],[92.0],[786.0],[868.0],[298.0],[675.0],[376.0],[611.0],[767.0],[699.0],[427.0],[616.0],[531.0],[37.0],[699.0],[943.0],[704.0],[373.0],[819.0],[531.0],[214.0],[388.0],[982.0],[531.0],[571.0],[567.0]
6,[536.0],[52.0],[961.0],[469.0],[554.0],[403.0],[722.0],[528.0],[709.0],[744.0],[133.0],[619.0],[723.0],[440.0],[88.0],[857.0],[955.0],[241.0],[973.0],[38.0],[580.0],[728.0],[518.0],[297.0],[843.0],[163.0],[539.0],[182.0],[9.0],[825.0],[825.0],[728.0],[821.0],[642.0],[198.0],[747.0],[955.0],[325.0],[19.0],[502.0],[709.0],[697.0],[234.0],[894.0],[647.0],[932.0],[716.0],[16.0],[843.0],[994.0],[531.0],[725.0],[373.0],[757.0],[433.0],[531.0],[353.0],[41.0],[366.0],[210.0],[539.0],[301.0],[843.0],[428.0],[587.0],[71.0],[920.0],[379.0],[924.0],[244.0],[803.0],[374.0],[198.0],[177.0],[467.0],[904.0],[761.0],[636.0],[971.0],[146.0],[915.0],[996.0],[92.0],[662.0],[818.0],[531.0],[494.0],[519.0],[202.0],[651.0],[249.0],[213.0],[403.0],[918.0],[856.0],[204.0],[157.0],[364.0],[697.0],[362.0]
7,[368.0],[968.0],[918.0],[920.0],[234.0],[926.0],[199.0],[877.0],[914.0],[242.0],[741.0],[25.0],[601.0],[531.0],[365.0],[709.0],[926.0],[281.0],[450.0],[493.0],[741.0],[975.0],[996.0],[754.0],[316.0],[704.0],[146.0],[361.0],[759.0],[214.0],[447.0],[321.0],[672.0],[581.0],[531.0],[127.0],[591.0],[390.0],[871.0],[843.0],[723.0],[709.0],[759.0],[246.0],[397.0],[736.0],[531.0],[284.0],[623.0],[418.0],[386.0],[199.0],[383.0],[583.0],[876.0],[999.0],[513.0],[714.0],[272.0],[71.0],[567.0],[697.0],[500.0],[57.0],[9.0],[264.0],[683.0],[322.0],[818.0],[638.0],[404.0],[655.0],[157.0],[648.0],[199.0],[638.0],[623.0],[198.0],[176.0],[985.0],[16.0],[567.0],[322.0],[83.0],[403.0],[697.0],[35.0],[712.0],[177.0],[586.0],[911.0],[285.0],[623.0],[722.0],[710.0],[840.0],[329.0],[482.0],[588.0],[68.0]
8,[581.0],[804.0],[855.0],[597.0],[848.0],[560.0],[925.0],[862.0],[45.0],[188.0],[699.0],[366.0],[597.0],[61.0],[421.0],[468.0],[676.0],[404.0],[744.0],[80.0],[86.0],[32.0],[735.0],[285.0],[799.0],[741.0],[822.0],[383.0],[659.0],[316.0],[403.0],[886.0],[373.0],[735.0],[648.0],[55.0],[840.0],[524.0],[759.0],[648.0],[581.0],[534.0],[973.0],[531.0],[870.0],[697.0],[709.0],[214.0],[297.0],[642.0],[2.0],[623.0],[149.0],[759.0],[699.0],[452.0],[52.0],[245.0],[730.0],[383.0],[705.0],[741.0],[915.0],[555.0],[505.0],[304.0],[195.0],[511.0],[811.0],[883.0],[623.0],[386.0],[352.0],[494.0],[761.0],[531.0],[426.0],[535.0],[403.0],[996.0],[480.0],[511.0],[581.0],[635.0],[194.0],[199.0],[56.0],[26.0],[199.0],[822.0],[462.0],[844.0],[416.0],[605.0],[574.0],[207.0],[182.0],[918.0],[57.0],[848.0]
9,[531.0],[403.0],[699.0],[25.0],[199.0],[894.0],[975.0],[102.0],[364.0],[91.0],[465.0],[999.0],[877.0],[558.0],[275.0],[797.0],[88.0],[885.0],[395.0],[45.0],[255.0],[915.0],[548.0],[74.0],[774.0],[623.0],[561.0],[198.0],[294.0],[93.0],[982.0],[39.0],[886.0],[461.0],[780.0],[908.0],[48.0],[663.0],[531.0],[306.0],[623.0],[25.0],[122.0],[479.0],[606.0],[741.0],[498.0],[897.0],[787.0],[362.0],[57.0],[360.0],[45.0],[130.0],[587.0],[25.0],[447.0],[48.0],[130.0],[172.0],[25.0],[772.0],[699.0],[252.0],[830.0],[623.0],[623.0],[741.0],[990.0],[825.0],[339.0],[182.0],[396.0],[623.0],[88.0],[336.0],[847.0],[277.0],[797.0],[12.0],[947.0],[199.0],[819.0],[909.0],[231.0],[699.0],[768.0],[380.0],[545.0],[198.0],[836.0],[199.0],[654.0],[254.0],[762.0],[245.0],[999.0],[48.0],[208.0],[709.0]
