Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[759.0],[852.0],[791.0],[129.0],[387.0],[818.0],[628.0],[128.0],[565.0],[866.0],[703.0],[619.0],[790.0],[618.0],[285.0],[128.0],[662.0],[78.0],[821.0],[728.0],[113.0],[23.0],[351.0],[836.0],[672.0],[72.0],[390.0],[760.0],[921.0],[885.0],[892.0],[31.0],[821.0],[883.0],[380.0],[821.0],[171.0],[780.0],[539.0],[577.0],[43.0],[832.0],[72.0],[670.0],[821.0],[821.0],[843.0],[610.0],[208.0],[79.0],[257.0],[237.0],[228.0],[380.0],[72.0],[42.0],[249.0],[374.0],[977.0],[242.0],[936.0],[294.0],[610.0],[283.0],[134.0],[486.0],[121.0],[232.0],[821.0],[72.0],[577.0],[259.0],[754.0],[249.0],[290.0],[631.0],[603.0],[623.0],[883.0],[600.0],[557.0],[148.0],[774.0],[638.0],[93.0],[506.0],[168.0],[982.0],[821.0],[426.0],[957.0],[98.0],[696.0],[440.0],[769.0],[882.0],[821.0],[497.0],[514.0],[821.0]
1,[531.0],[895.0],[565.0],[570.0],[821.0],[974.0],[205.0],[821.0],[520.0],[175.0],[576.0],[388.0],[934.0],[931.0],[934.0],[821.0],[803.0],[443.0],[208.0],[71.0],[571.0],[639.0],[43.0],[367.0],[850.0],[272.0],[305.0],[730.0],[623.0],[26.0],[314.0],[885.0],[368.0],[664.0],[556.0],[977.0],[272.0],[609.0],[946.0],[799.0],[485.0],[790.0],[456.0],[867.0],[72.0],[613.0],[411.0],[794.0],[633.0],[938.0],[481.0],[821.0],[807.0],[812.0],[128.0],[208.0],[771.0],[957.0],[794.0],[104.0],[821.0],[832.0],[244.0],[409.0],[522.0],[821.0],[198.0],[284.0],[208.0],[128.0],[996.0],[164.0],[775.0],[376.0],[821.0],[920.0],[497.0],[338.0],[370.0],[867.0],[208.0],[98.0],[420.0],[908.0],[797.0],[208.0],[128.0],[694.0],[380.0],[567.0],[640.0],[128.0],[964.0],[374.0],[62.0],[821.0],[273.0],[424.0],[898.0],[208.0]
2,[305.0],[728.0],[646.0],[263.0],[842.0],[205.0],[522.0],[72.0],[979.0],[117.0],[111.0],[627.0],[117.0],[450.0],[557.0],[208.0],[695.0],[746.0],[37.0],[854.0],[648.0],[746.0],[745.0],[485.0],[29.0],[127.0],[498.0],[239.0],[699.0],[493.0],[725.0],[117.0],[208.0],[377.0],[821.0],[925.0],[127.0],[986.0],[152.0],[996.0],[947.0],[821.0],[470.0],[117.0],[128.0],[369.0],[821.0],[821.0],[757.0],[812.0],[211.0],[128.0],[799.0],[946.0],[205.0],[653.0],[62.0],[936.0],[372.0],[367.0],[72.0],[698.0],[821.0],[118.0],[843.0],[691.0],[745.0],[697.0],[88.0],[205.0],[937.0],[434.0],[729.0],[127.0],[294.0],[821.0],[704.0],[712.0],[339.0],[493.0],[72.0],[208.0],[727.0],[319.0],[775.0],[568.0],[57.0],[531.0],[128.0],[18.0],[821.0],[821.0],[669.0],[514.0],[716.0],[72.0],[208.0],[764.0],[562.0],[72.0]
3,[241.0],[71.0],[950.0],[548.0],[72.0],[283.0],[821.0],[886.0],[3.0],[368.0],[342.0],[398.0],[598.0],[51.0],[821.0],[711.0],[20.0],[227.0],[190.0],[895.0],[390.0],[566.0],[192.0],[947.0],[10.0],[679.0],[34.0],[867.0],[153.0],[728.0],[389.0],[493.0],[57.0],[205.0],[208.0],[318.0],[529.0],[504.0],[667.0],[242.0],[228.0],[111.0],[188.0],[493.0],[205.0],[957.0],[971.0],[208.0],[501.0],[703.0],[609.0],[205.0],[953.0],[576.0],[71.0],[541.0],[769.0],[208.0],[650.0],[853.0],[128.0],[600.0],[850.0],[905.0],[575.0],[954.0],[192.0],[463.0],[767.0],[305.0],[273.0],[476.0],[952.0],[529.0],[407.0],[336.0],[291.0],[847.0],[283.0],[598.0],[128.0],[205.0],[648.0],[151.0],[821.0],[118.0],[854.0],[475.0],[132.0],[654.0],[208.0],[72.0],[323.0],[38.0],[771.0],[205.0],[996.0],[208.0],[794.0],[205.0]
4,[577.0],[368.0],[3.0],[479.0],[833.0],[164.0],[717.0],[212.0],[961.0],[57.0],[15.0],[419.0],[71.0],[296.0],[600.0],[949.0],[260.0],[893.0],[449.0],[467.0],[932.0],[572.0],[897.0],[118.0],[821.0],[249.0],[843.0],[167.0],[89.0],[854.0],[820.0],[234.0],[71.0],[208.0],[72.0],[952.0],[72.0],[38.0],[958.0],[43.0],[715.0],[72.0],[898.0],[234.0],[25.0],[925.0],[112.0],[394.0],[72.0],[430.0],[978.0],[456.0],[104.0],[318.0],[945.0],[462.0],[943.0],[205.0],[586.0],[795.0],[795.0],[885.0],[472.0],[53.0],[535.0],[713.0],[405.0],[496.0],[128.0],[945.0],[506.0],[6.0],[620.0],[396.0],[587.0],[272.0],[332.0],[740.0],[603.0],[71.0],[513.0],[407.0],[755.0],[173.0],[31.0],[198.0],[72.0],[498.0],[205.0],[452.0],[941.0],[369.0],[992.0],[821.0],[12.0],[407.0],[506.0],[821.0],[997.0],[407.0]
5,[150.0],[957.0],[662.0],[933.0],[128.0],[613.0],[324.0],[942.0],[30.0],[71.0],[493.0],[399.0],[728.0],[431.0],[237.0],[54.0],[345.0],[864.0],[354.0],[679.0],[305.0],[893.0],[615.0],[198.0],[155.0],[771.0],[33.0],[493.0],[525.0],[606.0],[523.0],[371.0],[72.0],[383.0],[294.0],[493.0],[574.0],[481.0],[175.0],[408.0],[996.0],[958.0],[633.0],[71.0],[571.0],[128.0],[208.0],[205.0],[651.0],[875.0],[275.0],[13.0],[568.0],[31.0],[952.0],[265.0],[165.0],[407.0],[818.0],[336.0],[407.0],[128.0],[456.0],[735.0],[52.0],[913.0],[88.0],[791.0],[115.0],[581.0],[43.0],[610.0],[493.0],[574.0],[898.0],[574.0],[821.0],[831.0],[311.0],[13.0],[351.0],[654.0],[230.0],[642.0],[205.0],[853.0],[26.0],[717.0],[644.0],[904.0],[685.0],[164.0],[44.0],[609.0],[989.0],[470.0],[150.0],[205.0],[244.0],[945.0]
6,[280.0],[312.0],[803.0],[474.0],[634.0],[374.0],[411.0],[220.0],[695.0],[26.0],[598.0],[462.0],[895.0],[710.0],[208.0],[3.0],[544.0],[555.0],[458.0],[499.0],[450.0],[344.0],[836.0],[594.0],[108.0],[128.0],[535.0],[234.0],[457.0],[689.0],[292.0],[821.0],[721.0],[192.0],[205.0],[598.0],[467.0],[709.0],[592.0],[745.0],[937.0],[128.0],[757.0],[958.0],[458.0],[208.0],[577.0],[72.0],[599.0],[958.0],[848.0],[606.0],[745.0],[239.0],[470.0],[8.0],[219.0],[5.0],[290.0],[814.0],[524.0],[842.0],[208.0],[489.0],[796.0],[174.0],[814.0],[565.0],[748.0],[11.0],[401.0],[10.0],[234.0],[795.0],[655.0],[467.0],[433.0],[426.0],[704.0],[300.0],[485.0],[855.0],[308.0],[621.0],[952.0],[128.0],[855.0],[540.0],[945.0],[954.0],[451.0],[201.0],[693.0],[373.0],[551.0],[840.0],[192.0],[535.0],[208.0],[840.0]
7,[292.0],[821.0],[20.0],[188.0],[721.0],[701.0],[72.0],[352.0],[559.0],[493.0],[234.0],[653.0],[668.0],[92.0],[636.0],[950.0],[624.0],[294.0],[764.0],[469.0],[498.0],[864.0],[367.0],[473.0],[131.0],[12.0],[52.0],[57.0],[286.0],[944.0],[727.0],[598.0],[167.0],[631.0],[562.0],[26.0],[920.0],[374.0],[49.0],[485.0],[953.0],[205.0],[651.0],[952.0],[759.0],[81.0],[825.0],[768.0],[301.0],[175.0],[231.0],[728.0],[485.0],[15.0],[239.0],[828.0],[198.0],[945.0],[128.0],[523.0],[467.0],[205.0],[941.0],[115.0],[807.0],[658.0],[165.0],[289.0],[192.0],[247.0],[745.0],[208.0],[776.0],[551.0],[171.0],[400.0],[206.0],[567.0],[599.0],[377.0],[192.0],[397.0],[614.0],[900.0],[456.0],[351.0],[944.0],[869.0],[718.0],[130.0],[656.0],[586.0],[173.0],[176.0],[536.0],[124.0],[853.0],[256.0],[539.0],[883.0]
8,[774.0],[109.0],[260.0],[700.0],[867.0],[557.0],[535.0],[877.0],[81.0],[895.0],[561.0],[27.0],[854.0],[107.0],[163.0],[672.0],[559.0],[713.0],[205.0],[532.0],[393.0],[846.0],[853.0],[88.0],[973.0],[524.0],[806.0],[71.0],[605.0],[900.0],[648.0],[208.0],[128.0],[72.0],[407.0],[57.0],[252.0],[472.0],[689.0],[367.0],[568.0],[729.0],[969.0],[620.0],[764.0],[749.0],[836.0],[407.0],[700.0],[592.0],[798.0],[71.0],[489.0],[167.0],[117.0],[972.0],[745.0],[456.0],[821.0],[821.0],[574.0],[721.0],[255.0],[453.0],[799.0],[218.0],[252.0],[28.0],[897.0],[140.0],[485.0],[222.0],[879.0],[252.0],[556.0],[7.0],[339.0],[397.0],[244.0],[254.0],[594.0],[804.0],[199.0],[895.0],[902.0],[242.0],[900.0],[256.0],[470.0],[674.0],[326.0],[616.0],[297.0],[211.0],[252.0],[297.0],[72.0],[456.0],[72.0],[206.0]
9,[421.0],[616.0],[432.0],[651.0],[689.0],[945.0],[358.0],[112.0],[749.0],[854.0],[900.0],[263.0],[606.0],[388.0],[317.0],[83.0],[573.0],[106.0],[945.0],[261.0],[51.0],[677.0],[814.0],[383.0],[561.0],[351.0],[577.0],[689.0],[490.0],[117.0],[25.0],[689.0],[592.0],[80.0],[945.0],[6.0],[811.0],[315.0],[598.0],[203.0],[191.0],[407.0],[824.0],[689.0],[755.0],[445.0],[367.0],[428.0],[824.0],[167.0],[266.0],[56.0],[948.0],[855.0],[898.0],[719.0],[192.0],[318.0],[208.0],[811.0],[614.0],[15.0],[451.0],[401.0],[242.0],[212.0],[314.0],[646.0],[242.0],[540.0],[853.0],[650.0],[561.0],[523.0],[840.0],[489.0],[283.0],[804.0],[205.0],[171.0],[280.0],[620.0],[860.0],[284.0],[470.0],[197.0],[731.0],[245.0],[587.0],[106.0],[187.0],[285.0],[900.0],[647.0],[314.0],[642.0],[554.0],[395.0],[703.0],[370.0]
