Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[531.0],[621.0],[847.0],[18.0],[974.0],[974.0],[29.0],[821.0],[531.0],[821.0],[339.0],[999.0],[604.0],[794.0],[821.0],[629.0],[305.0],[430.0],[472.0],[821.0],[831.0],[856.0],[323.0],[208.0],[336.0],[621.0],[255.0],[342.0],[537.0],[962.0],[821.0],[721.0],[690.0],[377.0],[821.0],[124.0],[960.0],[239.0],[470.0],[944.0],[208.0],[821.0],[347.0],[718.0],[821.0],[234.0],[821.0],[821.0],[72.0],[239.0],[908.0],[818.0],[821.0],[621.0],[332.0],[208.0],[821.0],[318.0],[375.0],[671.0],[690.0],[957.0],[821.0],[468.0],[367.0],[821.0],[833.0],[821.0],[821.0],[72.0],[821.0],[216.0],[895.0],[208.0],[502.0],[821.0],[946.0],[526.0],[997.0],[821.0],[208.0],[850.0],[134.0],[821.0],[532.0],[641.0],[300.0],[821.0],[171.0],[810.0],[821.0],[821.0],[967.0],[531.0],[123.0],[493.0],[821.0],[821.0],[874.0],[237.0]
1,[847.0],[502.0],[532.0],[391.0],[821.0],[821.0],[821.0],[850.0],[847.0],[502.0],[821.0],[27.0],[72.0],[531.0],[977.0],[561.0],[821.0],[531.0],[821.0],[531.0],[106.0],[527.0],[208.0],[764.0],[456.0],[72.0],[865.0],[895.0],[642.0],[847.0],[531.0],[880.0],[410.0],[42.0],[764.0],[821.0],[982.0],[13.0],[208.0],[908.0],[701.0],[237.0],[957.0],[189.0],[973.0],[821.0],[531.0],[300.0],[585.0],[224.0],[531.0],[821.0],[882.0],[208.0],[72.0],[171.0],[227.0],[208.0],[59.0],[821.0],[531.0],[128.0],[442.0],[637.0],[531.0],[478.0],[821.0],[502.0],[10.0],[458.0],[667.0],[208.0],[16.0],[301.0],[973.0],[237.0],[821.0],[531.0],[353.0],[42.0],[128.0],[291.0],[590.0],[987.0],[621.0],[531.0],[821.0],[519.0],[821.0],[821.0],[407.0],[925.0],[180.0],[821.0],[821.0],[821.0],[237.0],[974.0],[208.0],[821.0]
2,[869.0],[356.0],[498.0],[730.0],[29.0],[610.0],[291.0],[919.0],[478.0],[702.0],[642.0],[111.0],[856.0],[581.0],[268.0],[821.0],[827.0],[878.0],[599.0],[980.0],[111.0],[690.0],[593.0],[957.0],[62.0],[254.0],[837.0],[208.0],[821.0],[42.0],[540.0],[158.0],[821.0],[957.0],[734.0],[291.0],[754.0],[821.0],[250.0],[980.0],[396.0],[607.0],[23.0],[557.0],[342.0],[5.0],[599.0],[519.0],[297.0],[98.0],[208.0],[42.0],[965.0],[290.0],[472.0],[911.0],[607.0],[593.0],[290.0],[108.0],[532.0],[335.0],[495.0],[42.0],[576.0],[667.0],[729.0],[250.0],[569.0],[6.0],[698.0],[290.0],[882.0],[957.0],[821.0],[994.0],[974.0],[428.0],[377.0],[850.0],[856.0],[29.0],[576.0],[635.0],[427.0],[557.0],[667.0],[801.0],[880.0],[880.0],[926.0],[599.0],[63.0],[151.0],[486.0],[335.0],[866.0],[58.0],[599.0],[334.0]
3,[475.0],[702.0],[564.0],[505.0],[347.0],[72.0],[72.0],[528.0],[208.0],[194.0],[208.0],[209.0],[610.0],[847.0],[844.0],[708.0],[826.0],[576.0],[311.0],[583.0],[994.0],[407.0],[180.0],[531.0],[893.0],[31.0],[657.0],[515.0],[215.0],[637.0],[445.0],[776.0],[702.0],[29.0],[293.0],[808.0],[32.0],[387.0],[907.0],[819.0],[300.0],[160.0],[994.0],[764.0],[175.0],[145.0],[335.0],[844.0],[158.0],[958.0],[847.0],[128.0],[428.0],[100.0],[29.0],[768.0],[837.0],[783.0],[764.0],[631.0],[821.0],[832.0],[428.0],[821.0],[844.0],[209.0],[254.0],[290.0],[195.0],[818.0],[866.0],[974.0],[925.0],[633.0],[297.0],[734.0],[42.0],[330.0],[925.0],[285.0],[285.0],[628.0],[262.0],[915.0],[198.0],[847.0],[744.0],[667.0],[128.0],[776.0],[638.0],[158.0],[660.0],[288.0],[957.0],[514.0],[377.0],[347.0],[335.0],[682.0]
4,[564.0],[728.0],[821.0],[889.0],[528.0],[145.0],[145.0],[369.0],[843.0],[22.0],[721.0],[493.0],[128.0],[241.0],[148.0],[13.0],[498.0],[901.0],[168.0],[613.0],[821.0],[135.0],[656.0],[537.0],[209.0],[128.0],[909.0],[958.0],[531.0],[801.0],[847.0],[108.0],[404.0],[977.0],[974.0],[205.0],[888.0],[621.0],[72.0],[151.0],[775.0],[377.0],[58.0],[821.0],[72.0],[855.0],[847.0],[148.0],[208.0],[356.0],[44.0],[764.0],[371.0],[152.0],[128.0],[244.0],[566.0],[842.0],[821.0],[542.0],[135.0],[599.0],[625.0],[141.0],[760.0],[957.0],[606.0],[514.0],[640.0],[528.0],[111.0],[72.0],[324.0],[148.0],[225.0],[925.0],[744.0],[847.0],[703.0],[722.0],[843.0],[208.0],[330.0],[415.0],[387.0],[532.0],[208.0],[589.0],[776.0],[297.0],[323.0],[882.0],[768.0],[887.0],[369.0],[515.0],[875.0],[557.0],[72.0],[208.0]
5,[241.0],[84.0],[475.0],[637.0],[145.0],[205.0],[128.0],[72.0],[69.0],[128.0],[83.0],[635.0],[925.0],[72.0],[818.0],[667.0],[563.0],[847.0],[640.0],[83.0],[493.0],[601.0],[629.0],[663.0],[840.0],[973.0],[258.0],[31.0],[952.0],[208.0],[472.0],[911.0],[583.0],[100.0],[208.0],[407.0],[72.0],[600.0],[878.0],[926.0],[6.0],[72.0],[514.0],[704.0],[944.0],[987.0],[532.0],[72.0],[57.0],[353.0],[589.0],[205.0],[208.0],[598.0],[818.0],[128.0],[747.0],[205.0],[599.0],[895.0],[593.0],[171.0],[208.0],[353.0],[318.0],[486.0],[531.0],[128.0],[208.0],[128.0],[148.0],[84.0],[821.0],[72.0],[466.0],[208.0],[940.0],[268.0],[209.0],[801.0],[72.0],[334.0],[821.0],[72.0],[785.0],[290.0],[297.0],[885.0],[973.0],[390.0],[208.0],[72.0],[669.0],[880.0],[977.0],[587.0],[208.0],[208.0],[640.0],[764.0]
6,[208.0],[878.0],[202.0],[353.0],[58.0],[254.0],[628.0],[430.0],[661.0],[145.0],[472.0],[875.0],[957.0],[1.0],[734.0],[782.0],[768.0],[698.0],[59.0],[753.0],[730.0],[85.0],[783.0],[158.0],[202.0],[682.0],[23.0],[356.0],[239.0],[628.0],[34.0],[542.0],[856.0],[847.0],[268.0],[415.0],[330.0],[895.0],[557.0],[753.0],[519.0],[625.0],[223.0],[702.0],[569.0],[318.0],[472.0],[576.0],[744.0],[901.0],[775.0],[856.0],[330.0],[974.0],[528.0],[975.0],[994.0],[826.0],[907.0],[621.0],[907.0],[977.0],[195.0],[730.0],[866.0],[768.0],[495.0],[531.0],[783.0],[32.0],[5.0],[285.0],[610.0],[757.0],[988.0],[837.0],[335.0],[63.0],[237.0],[528.0],[366.0],[856.0],[994.0],[567.0],[215.0],[518.0],[209.0],[505.0],[730.0],[108.0],[911.0],[495.0],[281.0],[158.0],[714.0],[977.0],[925.0],[486.0],[610.0],[100.0]
7,[977.0],[855.0],[390.0],[479.0],[72.0],[128.0],[205.0],[354.0],[495.0],[205.0],[377.0],[885.0],[407.0],[475.0],[879.0],[202.0],[535.0],[515.0],[208.0],[532.0],[13.0],[563.0],[782.0],[637.0],[821.0],[205.0],[251.0],[730.0],[889.0],[155.0],[932.0],[124.0],[417.0],[428.0],[290.0],[15.0],[847.0],[531.0],[128.0],[663.0],[148.0],[925.0],[599.0],[72.0],[128.0],[128.0],[717.0],[818.0],[887.0],[600.0],[184.0],[456.0],[171.0],[576.0],[374.0],[967.0],[736.0],[689.0],[237.0],[628.0],[72.0],[899.0],[837.0],[728.0],[208.0],[678.0],[368.0],[58.0],[882.0],[997.0],[486.0],[128.0],[208.0],[832.0],[13.0],[312.0],[468.0],[348.0],[667.0],[380.0],[428.0],[347.0],[428.0],[428.0],[730.0],[261.0],[72.0],[528.0],[205.0],[973.0],[687.0],[468.0],[495.0],[16.0],[148.0],[262.0],[790.0],[531.0],[128.0],[833.0]
8,[540.0],[819.0],[42.0],[988.0],[628.0],[945.0],[407.0],[128.0],[72.0],[975.0],[867.0],[538.0],[285.0],[205.0],[300.0],[973.0],[244.0],[475.0],[882.0],[616.0],[572.0],[935.0],[149.0],[879.0],[597.0],[297.0],[579.0],[317.0],[173.0],[261.0],[599.0],[708.0],[166.0],[974.0],[72.0],[945.0],[407.0],[208.0],[940.0],[44.0],[424.0],[128.0],[639.0],[599.0],[10.0],[57.0],[518.0],[208.0],[128.0],[254.0],[762.0],[470.0],[72.0],[57.0],[938.0],[741.0],[363.0],[407.0],[515.0],[208.0],[456.0],[29.0],[72.0],[171.0],[563.0],[347.0],[847.0],[205.0],[128.0],[205.0],[202.0],[83.0],[247.0],[128.0],[579.0],[72.0],[599.0],[223.0],[430.0],[202.0],[205.0],[205.0],[72.0],[470.0],[367.0],[98.0],[13.0],[387.0],[26.0],[581.0],[72.0],[128.0],[741.0],[663.0],[347.0],[588.0],[72.0],[205.0],[936.0],[72.0]
9,[390.0],[901.0],[505.0],[111.0],[980.0],[600.0],[318.0],[66.0],[58.0],[783.0],[72.0],[698.0],[29.0],[261.0],[545.0],[141.0],[907.0],[4.0],[583.0],[819.0],[958.0],[641.0],[827.0],[847.0],[505.0],[600.0],[223.0],[901.0],[833.0],[698.0],[593.0],[173.0],[291.0],[495.0],[78.0],[999.0],[545.0],[475.0],[42.0],[702.0],[576.0],[293.0],[160.0],[753.0],[195.0],[628.0],[291.0],[760.0],[880.0],[377.0],[665.0],[593.0],[660.0],[764.0],[458.0],[827.0],[293.0],[827.0],[180.0],[368.0],[826.0],[148.0],[714.0],[428.0],[4.0],[194.0],[965.0],[847.0],[564.0],[556.0],[291.0],[291.0],[599.0],[430.0],[105.0],[138.0],[663.0],[293.0],[10.0],[300.0],[564.0],[158.0],[837.0],[195.0],[958.0],[499.0],[505.0],[760.0],[472.0],[111.0],[871.0],[215.0],[753.0],[189.0],[428.0],[148.0],[874.0],[334.0],[958.0],[42.0]
