Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[92.0],[699.0],[415.0],[156.0],[322.0],[6.0],[531.0],[173.0],[942.0],[986.0],[26.0],[692.0],[596.0],[445.0],[702.0],[973.0],[566.0],[531.0],[468.0],[418.0],[986.0],[531.0],[531.0],[153.0],[648.0],[252.0],[876.0],[921.0],[531.0],[522.0],[247.0],[679.0],[531.0],[340.0],[165.0],[163.0],[97.0],[531.0],[741.0],[569.0],[2.0],[450.0],[224.0],[771.0],[683.0],[504.0],[774.0],[969.0],[478.0],[525.0],[185.0],[12.0],[156.0],[354.0],[471.0],[373.0],[763.0],[249.0],[213.0],[415.0],[531.0],[173.0],[461.0],[860.0],[531.0],[843.0],[71.0],[22.0],[860.0],[850.0],[71.0],[927.0],[24.0],[343.0],[531.0],[214.0],[970.0],[314.0],[815.0],[369.0],[208.0],[246.0],[543.0],[340.0],[531.0],[955.0],[252.0],[242.0],[13.0],[531.0],[19.0],[538.0],[674.0],[525.0],[777.0],[821.0],[663.0],[549.0],[608.0],[525.0]
1,[1.0],[929.0],[152.0],[730.0],[269.0],[623.0],[969.0],[202.0],[12.0],[969.0],[805.0],[195.0],[376.0],[219.0],[198.0],[268.0],[908.0],[665.0],[741.0],[495.0],[425.0],[916.0],[16.0],[415.0],[292.0],[969.0],[556.0],[837.0],[821.0],[859.0],[622.0],[252.0],[957.0],[376.0],[293.0],[198.0],[495.0],[268.0],[369.0],[310.0],[272.0],[943.0],[100.0],[424.0],[234.0],[502.0],[310.0],[365.0],[900.0],[451.0],[227.0],[354.0],[89.0],[428.0],[72.0],[376.0],[529.0],[906.0],[12.0],[969.0],[6.0],[133.0],[383.0],[173.0],[138.0],[181.0],[890.0],[822.0],[36.0],[426.0],[969.0],[452.0],[68.0],[318.0],[569.0],[124.0],[648.0],[667.0],[610.0],[309.0],[977.0],[420.0],[159.0],[413.0],[252.0],[616.0],[16.0],[219.0],[701.0],[957.0],[821.0],[495.0],[670.0],[642.0],[59.0],[297.0],[352.0],[960.0],[153.0],[531.0]
2,[376.0],[502.0],[353.0],[318.0],[859.0],[892.0],[859.0],[528.0],[383.0],[567.0],[194.0],[369.0],[375.0],[587.0],[141.0],[969.0],[651.0],[394.0],[744.0],[531.0],[729.0],[908.0],[702.0],[195.0],[63.0],[775.0],[822.0],[57.0],[607.0],[761.0],[562.0],[859.0],[143.0],[977.0],[281.0],[999.0],[494.0],[368.0],[562.0],[519.0],[394.0],[921.0],[202.0],[973.0],[821.0],[638.0],[127.0],[819.0],[708.0],[502.0],[428.0],[610.0],[124.0],[198.0],[531.0],[999.0],[539.0],[569.0],[722.0],[12.0],[165.0],[926.0],[362.0],[495.0],[505.0],[6.0],[576.0],[531.0],[818.0],[371.0],[716.0],[354.0],[782.0],[173.0],[818.0],[870.0],[719.0],[383.0],[704.0],[465.0],[958.0],[542.0],[392.0],[739.0],[427.0],[971.0],[768.0],[519.0],[202.0],[730.0],[616.0],[219.0],[702.0],[576.0],[145.0],[369.0],[173.0],[44.0],[306.0],[78.0]
3,[5.0],[6.0],[519.0],[330.0],[716.0],[701.0],[908.0],[768.0],[775.0],[760.0],[701.0],[660.0],[831.0],[844.0],[716.0],[246.0],[180.0],[528.0],[616.0],[36.0],[194.0],[83.0],[708.0],[919.0],[430.0],[994.0],[23.0],[458.0],[394.0],[965.0],[907.0],[124.0],[821.0],[775.0],[495.0],[908.0],[467.0],[428.0],[208.0],[148.0],[667.0],[861.0],[404.0],[290.0],[6.0],[318.0],[83.0],[635.0],[158.0],[994.0],[424.0],[83.0],[768.0],[285.0],[428.0],[818.0],[209.0],[762.0],[965.0],[818.0],[564.0],[514.0],[593.0],[353.0],[78.0],[392.0],[195.0],[576.0],[663.0],[775.0],[564.0],[701.0],[537.0],[730.0],[82.0],[338.0],[856.0],[180.0],[12.0],[495.0],[564.0],[908.0],[133.0],[519.0],[818.0],[424.0],[44.0],[965.0],[545.0],[657.0],[219.0],[628.0],[23.0],[62.0],[948.0],[738.0],[762.0],[811.0],[818.0],[436.0]
4,[703.0],[334.0],[430.0],[607.0],[537.0],[223.0],[607.0],[593.0],[82.0],[708.0],[195.0],[394.0],[4.0],[771.0],[768.0],[495.0],[837.0],[702.0],[428.0],[994.0],[495.0],[564.0],[657.0],[495.0],[977.0],[285.0],[657.0],[63.0],[281.0],[775.0],[138.0],[39.0],[965.0],[347.0],[458.0],[330.0],[78.0],[607.0],[638.0],[660.0],[965.0],[965.0],[768.0],[701.0],[392.0],[329.0],[837.0],[394.0],[844.0],[158.0],[293.0],[281.0],[293.0],[583.0],[472.0],[768.0],[826.0],[6.0],[775.0],[281.0],[701.0],[768.0],[907.0],[424.0],[556.0],[152.0],[111.0],[472.0],[775.0],[6.0],[314.0],[180.0],[977.0],[775.0],[290.0],[12.0],[225.0],[625.0],[528.0],[628.0],[12.0],[528.0],[714.0],[593.0],[394.0],[268.0],[545.0],[536.0],[702.0],[564.0],[564.0],[980.0],[268.0],[32.0],[768.0],[610.0],[818.0],[458.0],[84.0],[424.0]
5,[844.0],[762.0],[698.0],[430.0],[29.0],[616.0],[616.0],[783.0],[519.0],[783.0],[458.0],[593.0],[957.0],[663.0],[593.0],[607.0],[195.0],[472.0],[764.0],[826.0],[994.0],[957.0],[314.0],[593.0],[23.0],[665.0],[63.0],[291.0],[293.0],[458.0],[428.0],[335.0],[168.0],[576.0],[593.0],[6.0],[318.0],[708.0],[616.0],[160.0],[133.0],[300.0],[844.0],[564.0],[82.0],[768.0],[105.0],[82.0],[994.0],[24.0],[281.0],[818.0],[827.0],[148.0],[334.0],[556.0],[82.0],[822.0],[610.0],[383.0],[281.0],[957.0],[616.0],[545.0],[23.0],[768.0],[589.0],[334.0],[589.0],[195.0],[607.0],[285.0],[708.0],[657.0],[168.0],[23.0],[528.0],[714.0],[957.0],[734.0],[347.0],[472.0],[768.0],[335.0],[133.0],[576.0],[160.0],[195.0],[965.0],[980.0],[472.0],[844.0],[607.0],[708.0],[827.0],[300.0],[607.0],[569.0],[599.0],[610.0]
6,[660.0],[335.0],[768.0],[837.0],[818.0],[818.0],[994.0],[994.0],[428.0],[660.0],[564.0],[844.0],[545.0],[957.0],[783.0],[223.0],[569.0],[5.0],[988.0],[569.0],[818.0],[82.0],[180.0],[826.0],[994.0],[78.0],[576.0],[23.0],[768.0],[564.0],[430.0],[610.0],[714.0],[293.0],[826.0],[486.0],[528.0],[29.0],[704.0],[768.0],[29.0],[753.0],[223.0],[168.0],[195.0],[701.0],[330.0],[994.0],[514.0],[335.0],[768.0],[319.0],[714.0],[593.0],[528.0],[593.0],[569.0],[160.0],[734.0],[708.0],[837.0],[599.0],[138.0],[195.0],[223.0],[965.0],[428.0],[428.0],[495.0],[428.0],[576.0],[583.0],[599.0],[665.0],[335.0],[887.0],[599.0],[63.0],[837.0],[195.0],[965.0],[495.0],[980.0],[783.0],[907.0],[495.0],[734.0],[957.0],[424.0],[168.0],[607.0],[827.0],[545.0],[660.0],[714.0],[704.0],[635.0],[957.0],[764.0],[138.0]
7,[994.0],[329.0],[194.0],[866.0],[665.0],[495.0],[168.0],[194.0],[837.0],[980.0],[334.0],[826.0],[734.0],[430.0],[576.0],[660.0],[957.0],[957.0],[610.0],[607.0],[63.0],[760.0],[293.0],[783.0],[837.0],[58.0],[293.0],[977.0],[23.0],[268.0],[994.0],[657.0],[335.0],[818.0],[569.0],[194.0],[519.0],[994.0],[335.0],[293.0],[268.0],[708.0],[753.0],[818.0],[564.0],[394.0],[599.0],[281.0],[837.0],[63.0],[783.0],[907.0],[133.0],[768.0],[424.0],[977.0],[768.0],[994.0],[589.0],[127.0],[965.0],[268.0],[495.0],[734.0],[576.0],[701.0],[827.0],[734.0],[994.0],[844.0],[495.0],[424.0],[428.0],[428.0],[768.0],[223.0],[564.0],[994.0],[607.0],[610.0],[844.0],[701.0],[430.0],[430.0],[965.0],[545.0],[63.0],[783.0],[268.0],[293.0],[514.0],[268.0],[78.0],[760.0],[281.0],[977.0],[564.0],[168.0],[335.0],[495.0]
8,[458.0],[458.0],[576.0],[734.0],[616.0],[576.0],[6.0],[293.0],[844.0],[528.0],[977.0],[827.0],[610.0],[607.0],[394.0],[319.0],[607.0],[907.0],[593.0],[63.0],[564.0],[78.0],[82.0],[63.0],[495.0],[495.0],[495.0],[607.0],[168.0],[783.0],[29.0],[293.0],[148.0],[495.0],[768.0],[268.0],[866.0],[545.0],[599.0],[866.0],[907.0],[545.0],[394.0],[569.0],[818.0],[5.0],[768.0],[657.0],[657.0],[168.0],[180.0],[957.0],[818.0],[335.0],[818.0],[394.0],[866.0],[768.0],[977.0],[783.0],[593.0],[394.0],[472.0],[564.0],[837.0],[194.0],[152.0],[78.0],[734.0],[818.0],[657.0],[610.0],[734.0],[844.0],[610.0],[472.0],[335.0],[293.0],[977.0],[63.0],[818.0],[63.0],[194.0],[472.0],[63.0],[734.0],[138.0],[194.0],[495.0],[23.0],[268.0],[569.0],[180.0],[994.0],[472.0],[428.0],[994.0],[335.0],[994.0],[818.0]
9,[293.0],[168.0],[965.0],[78.0],[698.0],[599.0],[837.0],[6.0],[495.0],[994.0],[148.0],[569.0],[495.0],[152.0],[180.0],[428.0],[994.0],[965.0],[977.0],[907.0],[837.0],[599.0],[607.0],[610.0],[293.0],[168.0],[837.0],[768.0],[775.0],[844.0],[837.0],[977.0],[268.0],[593.0],[907.0],[734.0],[5.0],[734.0],[152.0],[514.0],[495.0],[734.0],[194.0],[495.0],[607.0],[734.0],[472.0],[818.0],[347.0],[472.0],[701.0],[424.0],[394.0],[783.0],[335.0],[180.0],[293.0],[837.0],[495.0],[472.0],[826.0],[180.0],[607.0],[330.0],[714.0],[576.0],[657.0],[775.0],[957.0],[616.0],[701.0],[495.0],[472.0],[486.0],[495.0],[495.0],[569.0],[138.0],[818.0],[616.0],[293.0],[818.0],[790.0],[5.0],[472.0],[907.0],[994.0],[734.0],[180.0],[818.0],[495.0],[599.0],[495.0],[300.0],[994.0],[701.0],[319.0],[965.0],[610.0],[844.0]
