Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[252.0],[24.0],[13.0],[153.0],[986.0],[369.0],[679.0],[531.0],[322.0],[702.0],[549.0],[566.0],[955.0],[71.0],[461.0],[340.0],[343.0],[445.0],[531.0],[12.0],[471.0],[249.0],[741.0],[156.0],[165.0],[821.0],[986.0],[185.0],[156.0],[173.0],[525.0],[247.0],[354.0],[213.0],[683.0],[531.0],[648.0],[531.0],[538.0],[208.0],[777.0],[970.0],[815.0],[26.0],[531.0],[246.0],[663.0],[569.0],[596.0],[763.0],[531.0],[969.0],[531.0],[525.0],[97.0],[531.0],[608.0],[774.0],[876.0],[22.0],[252.0],[699.0],[173.0],[531.0],[242.0],[224.0],[674.0],[860.0],[843.0],[19.0],[850.0],[314.0],[163.0],[543.0],[692.0],[531.0],[531.0],[214.0],[973.0],[927.0],[478.0],[468.0],[415.0],[860.0],[6.0],[450.0],[71.0],[418.0],[942.0],[522.0],[771.0],[2.0],[415.0],[531.0],[525.0],[92.0],[504.0],[340.0],[921.0],[373.0]
1,[709.0],[983.0],[507.0],[415.0],[969.0],[61.0],[551.0],[759.0],[269.0],[36.0],[449.0],[824.0],[971.0],[969.0],[383.0],[413.0],[667.0],[571.0],[143.0],[886.0],[72.0],[212.0],[993.0],[730.0],[961.0],[297.0],[425.0],[227.0],[89.0],[505.0],[852.0],[457.0],[741.0],[796.0],[368.0],[12.0],[292.0],[450.0],[965.0],[451.0],[690.0],[719.0],[610.0],[805.0],[504.0],[124.0],[352.0],[310.0],[376.0],[858.0],[569.0],[596.0],[969.0],[531.0],[888.0],[293.0],[170.0],[310.0],[763.0],[531.0],[16.0],[44.0],[133.0],[916.0],[219.0],[290.0],[876.0],[36.0],[809.0],[847.0],[426.0],[667.0],[391.0],[159.0],[195.0],[252.0],[173.0],[969.0],[691.0],[531.0],[900.0],[741.0],[969.0],[36.0],[623.0],[716.0],[890.0],[495.0],[198.0],[722.0],[214.0],[679.0],[38.0],[821.0],[865.0],[549.0],[502.0],[376.0],[373.0],[376.0]
2,[969.0],[782.0],[701.0],[725.0],[360.0],[249.0],[173.0],[957.0],[531.0],[531.0],[376.0],[908.0],[616.0],[62.0],[362.0],[316.0],[531.0],[581.0],[957.0],[354.0],[531.0],[126.0],[703.0],[373.0],[293.0],[354.0],[713.0],[278.0],[173.0],[80.0],[292.0],[622.0],[428.0],[850.0],[821.0],[55.0],[71.0],[16.0],[219.0],[977.0],[921.0],[648.0],[83.0],[561.0],[397.0],[420.0],[811.0],[148.0],[122.0],[713.0],[916.0],[365.0],[324.0],[71.0],[495.0],[57.0],[153.0],[270.0],[198.0],[822.0],[571.0],[502.0],[638.0],[331.0],[531.0],[242.0],[175.0],[942.0],[6.0],[821.0],[647.0],[131.0],[198.0],[165.0],[369.0],[658.0],[665.0],[173.0],[699.0],[26.0],[16.0],[904.0],[929.0],[173.0],[803.0],[921.0],[152.0],[531.0],[165.0],[46.0],[765.0],[996.0],[152.0],[153.0],[502.0],[699.0],[871.0],[977.0],[837.0],[967.0]
3,[71.0],[373.0],[531.0],[569.0],[567.0],[888.0],[383.0],[730.0],[173.0],[198.0],[975.0],[821.0],[913.0],[531.0],[99.0],[842.0],[173.0],[219.0],[821.0],[804.0],[689.0],[329.0],[369.0],[9.0],[702.0],[310.0],[729.0],[975.0],[966.0],[528.0],[152.0],[703.0],[198.0],[12.0],[6.0],[6.0],[710.0],[929.0],[531.0],[376.0],[856.0],[277.0],[531.0],[493.0],[138.0],[777.0],[699.0],[519.0],[829.0],[679.0],[88.0],[753.0],[859.0],[679.0],[16.0],[336.0],[306.0],[242.0],[556.0],[876.0],[210.0],[92.0],[308.0],[626.0],[38.0],[555.0],[124.0],[818.0],[917.0],[260.0],[531.0],[198.0],[38.0],[392.0],[531.0],[427.0],[281.0],[16.0],[293.0],[452.0],[708.0],[520.0],[12.0],[495.0],[177.0],[829.0],[817.0],[741.0],[531.0],[860.0],[424.0],[886.0],[364.0],[728.0],[663.0],[1.0],[630.0],[74.0],[57.0],[999.0]
4,[498.0],[891.0],[202.0],[754.0],[929.0],[465.0],[859.0],[198.0],[609.0],[141.0],[321.0],[885.0],[531.0],[821.0],[567.0],[83.0],[251.0],[588.0],[876.0],[847.0],[679.0],[714.0],[208.0],[814.0],[198.0],[283.0],[818.0],[80.0],[229.0],[855.0],[158.0],[825.0],[748.0],[747.0],[531.0],[969.0],[847.0],[819.0],[245.0],[958.0],[725.0],[285.0],[943.0],[281.0],[505.0],[908.0],[830.0],[71.0],[391.0],[539.0],[712.0],[415.0],[124.0],[365.0],[494.0],[811.0],[36.0],[845.0],[716.0],[725.0],[768.0],[351.0],[514.0],[975.0],[519.0],[567.0],[702.0],[725.0],[392.0],[704.0],[171.0],[529.0],[999.0],[452.0],[336.0],[104.0],[383.0],[870.0],[831.0],[571.0],[103.0],[725.0],[383.0],[481.0],[383.0],[344.0],[694.0],[13.0],[502.0],[373.0],[571.0],[394.0],[353.0],[502.0],[994.0],[9.0],[92.0],[477.0],[140.0],[818.0]
5,[704.0],[741.0],[545.0],[145.0],[589.0],[495.0],[531.0],[943.0],[767.0],[982.0],[482.0],[521.0],[226.0],[166.0],[531.0],[739.0],[519.0],[309.0],[518.0],[610.0],[587.0],[167.0],[638.0],[597.0],[623.0],[332.0],[706.0],[208.0],[860.0],[102.0],[722.0],[907.0],[583.0],[729.0],[870.0],[567.0],[716.0],[955.0],[285.0],[476.0],[762.0],[426.0],[383.0],[38.0],[587.0],[663.0],[329.0],[531.0],[642.0],[219.0],[818.0],[821.0],[925.0],[738.0],[955.0],[708.0],[588.0],[531.0],[822.0],[236.0],[821.0],[226.0],[587.0],[32.0],[37.0],[410.0],[25.0],[383.0],[725.0],[252.0],[383.0],[243.0],[908.0],[702.0],[12.0],[818.0],[241.0],[638.0],[495.0],[354.0],[744.0],[744.0],[818.0],[729.0],[892.0],[908.0],[195.0],[720.0],[844.0],[825.0],[561.0],[202.0],[519.0],[607.0],[362.0],[771.0],[60.0],[642.0],[904.0],[452.0]
6,[775.0],[198.0],[577.0],[879.0],[744.0],[285.0],[39.0],[822.0],[859.0],[821.0],[531.0],[180.0],[465.0],[88.0],[843.0],[519.0],[633.0],[449.0],[672.0],[224.0],[965.0],[531.0],[435.0],[704.0],[531.0],[663.0],[194.0],[428.0],[593.0],[305.0],[892.0],[771.0],[42.0],[965.0],[583.0],[539.0],[660.0],[336.0],[844.0],[564.0],[7.0],[523.0],[198.0],[878.0],[628.0],[567.0],[982.0],[625.0],[617.0],[353.0],[113.0],[36.0],[908.0],[78.0],[908.0],[495.0],[208.0],[127.0],[23.0],[13.0],[908.0],[924.0],[531.0],[198.0],[965.0],[505.0],[223.0],[744.0],[139.0],[714.0],[677.0],[394.0],[330.0],[767.0],[999.0],[394.0],[641.0],[997.0],[213.0],[383.0],[353.0],[426.0],[281.0],[389.0],[319.0],[697.0],[814.0],[689.0],[999.0],[3.0],[557.0],[291.0],[818.0],[588.0],[244.0],[619.0],[932.0],[908.0],[989.0],[973.0]
7,[42.0],[988.0],[251.0],[490.0],[269.0],[675.0],[386.0],[68.0],[943.0],[859.0],[708.0],[957.0],[855.0],[195.0],[219.0],[415.0],[740.0],[844.0],[433.0],[312.0],[354.0],[6.0],[110.0],[318.0],[84.0],[908.0],[495.0],[6.0],[682.0],[593.0],[254.0],[739.0],[704.0],[145.0],[397.0],[564.0],[977.0],[996.0],[213.0],[62.0],[593.0],[244.0],[536.0],[348.0],[781.0],[424.0],[999.0],[330.0],[682.0],[547.0],[82.0],[292.0],[607.0],[476.0],[272.0],[158.0],[818.0],[83.0],[704.0],[472.0],[626.0],[6.0],[430.0],[568.0],[658.0],[966.0],[319.0],[821.0],[383.0],[472.0],[638.0],[554.0],[374.0],[68.0],[660.0],[775.0],[424.0],[943.0],[23.0],[588.0],[514.0],[616.0],[336.0],[6.0],[701.0],[965.0],[505.0],[994.0],[195.0],[965.0],[246.0],[702.0],[832.0],[394.0],[13.0],[875.0],[318.0],[576.0],[182.0],[23.0]
8,[994.0],[494.0],[911.0],[583.0],[82.0],[985.0],[737.0],[138.0],[666.0],[716.0],[314.0],[844.0],[528.0],[908.0],[576.0],[593.0],[170.0],[249.0],[965.0],[286.0],[424.0],[82.0],[880.0],[746.0],[610.0],[610.0],[837.0],[152.0],[293.0],[768.0],[708.0],[607.0],[160.0],[775.0],[714.0],[300.0],[842.0],[138.0],[822.0],[915.0],[394.0],[699.0],[29.0],[701.0],[78.0],[629.0],[23.0],[180.0],[4.0],[82.0],[878.0],[291.0],[120.0],[362.0],[78.0],[23.0],[554.0],[999.0],[294.0],[576.0],[934.0],[319.0],[599.0],[195.0],[376.0],[297.0],[519.0],[844.0],[925.0],[911.0],[68.0],[782.0],[39.0],[866.0],[394.0],[728.0],[576.0],[909.0],[343.0],[764.0],[844.0],[988.0],[924.0],[569.0],[224.0],[314.0],[519.0],[907.0],[948.0],[587.0],[811.0],[495.0],[23.0],[538.0],[822.0],[531.0],[977.0],[336.0],[285.0],[531.0]
9,[880.0],[977.0],[819.0],[495.0],[783.0],[616.0],[502.0],[714.0],[844.0],[746.0],[827.0],[837.0],[32.0],[607.0],[593.0],[138.0],[138.0],[531.0],[931.0],[866.0],[974.0],[868.0],[430.0],[66.0],[768.0],[704.0],[580.0],[82.0],[908.0],[300.0],[531.0],[832.0],[593.0],[738.0],[32.0],[2.0],[252.0],[811.0],[569.0],[844.0],[948.0],[761.0],[528.0],[564.0],[576.0],[385.0],[818.0],[472.0],[198.0],[827.0],[880.0],[394.0],[654.0],[424.0],[714.0],[725.0],[635.0],[576.0],[965.0],[428.0],[887.0],[336.0],[768.0],[468.0],[132.0],[625.0],[294.0],[125.0],[430.0],[223.0],[538.0],[698.0],[988.0],[564.0],[587.0],[702.0],[962.0],[811.0],[854.0],[487.0],[105.0],[495.0],[879.0],[545.0],[625.0],[958.0],[495.0],[403.0],[607.0],[7.0],[704.0],[948.0],[610.0],[704.0],[383.0],[556.0],[663.0],[514.0],[63.0],[556.0]
