Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[531.0],[531.0],[600.0],[542.0],[29.0],[977.0],[237.0],[866.0],[425.0],[100.0],[855.0],[599.0],[556.0],[226.0],[974.0],[821.0],[908.0],[844.0],[100.0],[377.0],[600.0],[977.0],[616.0],[764.0],[396.0],[377.0],[62.0],[254.0],[531.0],[585.0],[821.0],[830.0],[128.0],[335.0],[856.0],[6.0],[528.0],[585.0],[456.0],[57.0],[610.0],[354.0],[291.0],[576.0],[821.0],[708.0],[977.0],[42.0],[334.0],[637.0],[4.0],[610.0],[100.0],[597.0],[72.0],[977.0],[640.0],[958.0],[285.0],[213.0],[377.0],[335.0],[616.0],[830.0],[179.0],[458.0],[667.0],[957.0],[821.0],[6.0],[32.0],[166.0],[589.0],[974.0],[531.0],[821.0],[600.0],[282.0],[158.0],[285.0],[208.0],[424.0],[472.0],[801.0],[790.0],[819.0],[812.0],[957.0],[458.0],[531.0],[472.0],[764.0],[173.0],[764.0],[7.0],[205.0],[977.0],[476.0],[818.0],[424.0]
1,[675.0],[663.0],[882.0],[397.0],[775.0],[332.0],[882.0],[818.0],[208.0],[318.0],[557.0],[290.0],[790.0],[33.0],[821.0],[885.0],[629.0],[531.0],[821.0],[528.0],[730.0],[29.0],[523.0],[10.0],[775.0],[744.0],[730.0],[234.0],[623.0],[602.0],[616.0],[895.0],[6.0],[436.0],[531.0],[974.0],[430.0],[875.0],[590.0],[576.0],[29.0],[701.0],[377.0],[958.0],[764.0],[887.0],[557.0],[208.0],[599.0],[663.0],[128.0],[312.0],[383.0],[10.0],[151.0],[708.0],[100.0],[875.0],[610.0],[297.0],[138.0],[430.0],[599.0],[105.0],[844.0],[237.0],[952.0],[168.0],[977.0],[10.0],[821.0],[85.0],[908.0],[957.0],[895.0],[557.0],[945.0],[406.0],[771.0],[10.0],[171.0],[369.0],[576.0],[224.0],[254.0],[208.0],[821.0],[68.0],[514.0],[580.0],[821.0],[318.0],[940.0],[290.0],[948.0],[32.0],[925.0],[528.0],[208.0],[145.0]
2,[1.0],[908.0],[167.0],[365.0],[537.0],[818.0],[616.0],[640.0],[247.0],[175.0],[701.0],[692.0],[958.0],[663.0],[600.0],[621.0],[285.0],[175.0],[374.0],[556.0],[124.0],[532.0],[931.0],[701.0],[833.0],[124.0],[744.0],[880.0],[821.0],[744.0],[818.0],[880.0],[472.0],[528.0],[625.0],[175.0],[664.0],[141.0],[152.0],[600.0],[209.0],[929.0],[974.0],[297.0],[855.0],[318.0],[531.0],[587.0],[818.0],[880.0],[215.0],[663.0],[351.0],[556.0],[974.0],[250.0],[674.0],[629.0],[531.0],[26.0],[154.0],[539.0],[974.0],[472.0],[703.0],[701.0],[598.0],[472.0],[285.0],[32.0],[861.0],[208.0],[782.0],[531.0],[319.0],[704.0],[318.0],[736.0],[527.0],[433.0],[335.0],[290.0],[148.0],[783.0],[708.0],[826.0],[663.0],[616.0],[977.0],[100.0],[110.0],[610.0],[975.0],[532.0],[616.0],[436.0],[818.0],[974.0],[100.0],[519.0]
3,[996.0],[141.0],[764.0],[286.0],[889.0],[290.0],[744.0],[958.0],[739.0],[22.0],[13.0],[27.0],[31.0],[764.0],[599.0],[557.0],[72.0],[475.0],[616.0],[141.0],[141.0],[410.0],[403.0],[377.0],[430.0],[728.0],[952.0],[152.0],[44.0],[108.0],[472.0],[576.0],[957.0],[957.0],[599.0],[29.0],[111.0],[26.0],[764.0],[663.0],[556.0],[762.0],[42.0],[952.0],[468.0],[329.0],[305.0],[925.0],[900.0],[936.0],[643.0],[32.0],[878.0],[224.0],[15.0],[215.0],[771.0],[105.0],[818.0],[581.0],[248.0],[514.0],[738.0],[290.0],[318.0],[616.0],[728.0],[741.0],[495.0],[531.0],[728.0],[708.0],[31.0],[633.0],[576.0],[472.0],[151.0],[330.0],[458.0],[667.0],[898.0],[818.0],[616.0],[495.0],[730.0],[806.0],[576.0],[283.0],[290.0],[49.0],[610.0],[600.0],[629.0],[908.0],[168.0],[610.0],[722.0],[531.0],[599.0],[374.0]
4,[975.0],[224.0],[958.0],[605.0],[850.0],[975.0],[124.0],[977.0],[237.0],[776.0],[844.0],[977.0],[175.0],[430.0],[704.0],[925.0],[10.0],[237.0],[311.0],[152.0],[875.0],[83.0],[102.0],[224.0],[290.0],[866.0],[168.0],[124.0],[286.0],[375.0],[892.0],[531.0],[290.0],[977.0],[23.0],[640.0],[919.0],[730.0],[72.0],[597.0],[576.0],[158.0],[616.0],[744.0],[228.0],[225.0],[312.0],[254.0],[6.0],[148.0],[124.0],[856.0],[198.0],[975.0],[424.0],[818.0],[557.0],[592.0],[527.0],[198.0],[531.0],[576.0],[343.0],[600.0],[735.0],[622.0],[531.0],[236.0],[356.0],[975.0],[311.0],[988.0],[666.0],[818.0],[667.0],[100.0],[542.0],[82.0],[599.0],[821.0],[943.0],[576.0],[556.0],[145.0],[224.0],[312.0],[430.0],[977.0],[667.0],[821.0],[926.0],[290.0],[744.0],[319.0],[42.0],[887.0],[424.0],[335.0],[850.0],[576.0]
5,[796.0],[329.0],[720.0],[248.0],[704.0],[141.0],[531.0],[209.0],[31.0],[42.0],[821.0],[251.0],[141.0],[358.0],[66.0],[902.0],[616.0],[138.0],[83.0],[975.0],[290.0],[764.0],[83.0],[666.0],[576.0],[666.0],[670.0],[297.0],[861.0],[641.0],[140.0],[290.0],[339.0],[675.0],[557.0],[908.0],[318.0],[821.0],[562.0],[515.0],[730.0],[666.0],[878.0],[82.0],[15.0],[801.0],[821.0],[602.0],[814.0],[898.0],[667.0],[472.0],[948.0],[667.0],[433.0],[100.0],[376.0],[41.0],[957.0],[616.0],[475.0],[319.0],[531.0],[821.0],[952.0],[909.0],[675.0],[250.0],[428.0],[844.0],[343.0],[704.0],[850.0],[194.0],[224.0],[43.0],[703.0],[808.0],[764.0],[958.0],[524.0],[472.0],[665.0],[708.0],[273.0],[775.0],[929.0],[821.0],[472.0],[635.0],[708.0],[821.0],[72.0],[663.0],[977.0],[171.0],[175.0],[83.0],[977.0],[234.0]
6,[290.0],[844.0],[505.0],[674.0],[472.0],[175.0],[472.0],[291.0],[878.0],[665.0],[704.0],[580.0],[812.0],[599.0],[667.0],[703.0],[29.0],[152.0],[223.0],[576.0],[667.0],[741.0],[208.0],[531.0],[730.0],[760.0],[189.0],[128.0],[635.0],[417.0],[957.0],[332.0],[911.0],[139.0],[607.0],[844.0],[171.0],[563.0],[66.0],[744.0],[977.0],[468.0],[599.0],[495.0],[148.0],[821.0],[843.0],[610.0],[531.0],[958.0],[585.0],[729.0],[605.0],[708.0],[531.0],[744.0],[219.0],[666.0],[708.0],[472.0],[610.0],[718.0],[472.0],[842.0],[744.0],[383.0],[314.0],[878.0],[209.0],[224.0],[10.0],[701.0],[977.0],[428.0],[290.0],[708.0],[152.0],[999.0],[29.0],[237.0],[426.0],[4.0],[968.0],[844.0],[975.0],[141.0],[10.0],[335.0],[590.0],[377.0],[141.0],[665.0],[105.0],[63.0],[714.0],[164.0],[472.0],[810.0],[6.0],[586.0]
7,[818.0],[708.0],[105.0],[847.0],[682.0],[762.0],[171.0],[703.0],[305.0],[173.0],[472.0],[743.0],[708.0],[703.0],[576.0],[124.0],[833.0],[764.0],[424.0],[640.0],[234.0],[377.0],[908.0],[831.0],[977.0],[729.0],[291.0],[539.0],[387.0],[761.0],[730.0],[592.0],[983.0],[10.0],[640.0],[730.0],[600.0],[194.0],[940.0],[318.0],[42.0],[699.0],[633.0],[975.0],[895.0],[729.0],[540.0],[929.0],[32.0],[722.0],[82.0],[925.0],[445.0],[105.0],[335.0],[151.0],[187.0],[889.0],[764.0],[10.0],[261.0],[42.0],[519.0],[598.0],[377.0],[139.0],[23.0],[475.0],[818.0],[171.0],[958.0],[628.0],[599.0],[40.0],[821.0],[216.0],[637.0],[124.0],[291.0],[581.0],[314.0],[291.0],[659.0],[958.0],[775.0],[663.0],[189.0],[514.0],[377.0],[175.0],[744.0],[285.0],[525.0],[189.0],[657.0],[616.0],[958.0],[535.0],[224.0],[821.0]
8,[401.0],[430.0],[856.0],[708.0],[587.0],[237.0],[557.0],[744.0],[597.0],[935.0],[497.0],[566.0],[875.0],[589.0],[703.0],[946.0],[472.0],[430.0],[965.0],[616.0],[936.0],[964.0],[708.0],[173.0],[472.0],[290.0],[682.0],[958.0],[305.0],[843.0],[693.0],[958.0],[148.0],[472.0],[6.0],[39.0],[557.0],[714.0],[911.0],[610.0],[430.0],[974.0],[708.0],[430.0],[600.0],[830.0],[171.0],[105.0],[342.0],[764.0],[670.0],[958.0],[171.0],[730.0],[470.0],[973.0],[171.0],[590.0],[880.0],[335.0],[330.0],[31.0],[4.0],[794.0],[600.0],[645.0],[821.0],[471.0],[764.0],[539.0],[397.0],[974.0],[374.0],[556.0],[744.0],[629.0],[844.0],[223.0],[704.0],[670.0],[310.0],[790.0],[836.0],[21.0],[368.0],[506.0],[40.0],[704.0],[576.0],[171.0],[663.0],[377.0],[511.0],[994.0],[290.0],[977.0],[699.0],[957.0],[975.0],[818.0]
9,[312.0],[667.0],[855.0],[598.0],[285.0],[82.0],[842.0],[729.0],[187.0],[975.0],[237.0],[934.0],[889.0],[880.0],[369.0],[152.0],[342.0],[4.0],[42.0],[430.0],[698.0],[290.0],[105.0],[426.0],[15.0],[898.0],[811.0],[100.0],[57.0],[319.0],[958.0],[152.0],[610.0],[616.0],[994.0],[168.0],[934.0],[576.0],[576.0],[958.0],[424.0],[286.0],[124.0],[224.0],[197.0],[952.0],[833.0],[760.0],[387.0],[224.0],[428.0],[133.0],[225.0],[812.0],[818.0],[958.0],[451.0],[494.0],[319.0],[240.0],[957.0],[911.0],[977.0],[368.0],[902.0],[42.0],[622.0],[531.0],[702.0],[818.0],[339.0],[10.0],[68.0],[590.0],[430.0],[307.0],[794.0],[768.0],[262.0],[880.0],[482.0],[495.0],[474.0],[300.0],[171.0],[576.0],[262.0],[581.0],[387.0],[762.0],[580.0],[844.0],[24.0],[348.0],[293.0],[975.0],[902.0],[377.0],[889.0],[667.0]
10,[620.0],[911.0],[698.0],[521.0],[790.0],[808.0],[830.0],[105.0],[724.0],[579.0],[224.0],[493.0],[158.0],[290.0],[297.0],[958.0],[247.0],[842.0],[495.0],[6.0],[744.0],[830.0],[994.0],[879.0],[598.0],[775.0],[48.0],[975.0],[988.0],[702.0],[105.0],[610.0],[629.0],[301.0],[818.0],[105.0],[243.0],[10.0],[882.0],[105.0],[919.0],[306.0],[823.0],[151.0],[818.0],[975.0],[297.0],[100.0],[71.0],[556.0],[908.0],[42.0],[275.0],[794.0],[445.0],[531.0],[591.0],[224.0],[224.0],[152.0],[495.0],[722.0],[904.0],[108.0],[776.0],[715.0],[724.0],[244.0],[519.0],[812.0],[531.0],[744.0],[616.0],[999.0],[492.0],[610.0],[744.0],[583.0],[722.0],[318.0],[24.0],[138.0],[436.0],[657.0],[958.0],[495.0],[224.0],[955.0],[957.0],[600.0],[482.0],[698.0],[867.0],[708.0],[909.0],[929.0],[957.0],[557.0],[744.0],[42.0]
