Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)"
0,1.675671100616455,4.027769088745117,2.7632503509521484,2.245823383331299,2.2287325859069824,2.228447437286377,2.234227418899536,2.232229232788086,2.233051300048828,2.2360517978668213,2.225700855255127,2.209336757659912
1,1.8230879306793213,2.0738861560821533,2.1967122554779053,2.26674485206604,2.2886862754821777,2.2909061908721924,2.279855251312256,2.2691969871520996,2.2473857402801514,2.211536169052124,2.1965532302856445,2.1750829219818115
2,1.7770588397979736,2.0238566398620605,2.1411590576171875,2.213897228240967,2.236377716064453,2.239166021347046,2.225353717803955,2.2168936729431152,2.19842267036438,2.1593472957611084,2.1434807777404785,2.130614757537842
3,1.9116649627685547,2.0274596214294434,2.1422722339630127,2.2075047492980957,2.517216682434082,2.7693521976470947,2.487567186355591,2.5303940773010254,2.4895966053009033,2.4564619064331055,2.4264988899230957,2.418307065963745
4,1.7772388458251953,2.294783592224121,2.44246506690979,2.2753841876983643,2.316763162612915,2.3337244987487793,2.339728593826294,2.3414511680603027,2.347221612930298,2.3464863300323486,2.337554931640625,2.3146626949310303
5,1.794140100479126,2.062605142593384,2.193368434906006,2.27129864692688,2.297055959701538,2.635892391204834,2.2767889499664307,2.277134418487549,2.2770025730133057,2.2618651390075684,2.24275803565979,2.1716175079345703
6,2.3965647220611572,2.6362674236297607,2.914773941040039,3.0179479122161865,2.8932554721832275,8.496164560317993,3.0485761165618896,2.9251694679260254,2.5009078979492188,2.2335166931152344,2.8086252212524414,2.885375499725342
7,1.7926557064056396,1.9665186405181885,2.13603138923645,2.1517012119293213,2.151761293411255,2.1495614051818848,2.126181125640869,2.1110408306121826,2.1307945251464844,2.1358635425567627,2.1343913078308105,2.1154654026031494
8,1.9296886920928955,2.225651502609253,2.33158016204834,6.959930419921875,2.6971335411071777,2.7141900062561035,2.6099514961242676,2.5761148929595947,2.541916608810425,2.5355491638183594,2.5109105110168457,2.4090917110443115
9,1.7244977951049805,2.0431835651397705,2.2111976146698,2.292961359024048,2.3345069885253906,2.3344857692718506,2.2992351055145264,2.315899133682251,2.318929433822632,2.3309929370880127,2.3040988445281982,2.2832133769989014
10,1.8079428672790527,2.0806965827941895,2.2051913738250732,2.2885029315948486,2.2786006927490234,2.2840542793273926,2.2921361923217773,2.4110629558563232,2.2913222312927246,2.268084764480591,2.2432868480682373,2.1820125579833984
11,2.418651819229126,2.6497714519500732,2.875232696533203,3.0375916957855225,3.025529146194458,9.173252820968628,3.0453052520751953,2.9331576824188232,2.514699935913086,2.2610316276550293,2.8364174365997314,2.8920960426330566
12,2.1221399307250977,2.239130735397339,2.4242827892303467,2.4866175651550293,2.7212367057800293,2.462111234664917,2.53356671333313,2.5781631469726562,2.3406171798706055,2.4902408123016357,2.4647433757781982,2.4874625205993652
13,1.778714895248413,2.1773533821105957,2.355736255645752,2.45243763923645,2.483489513397217,2.441232204437256,2.4009313583374023,2.446592092514038,2.4992761611938477,2.5602898597717285,2.3785994052886963,6.025435209274292
14,1.714705228805542,1.9162251949310303,2.113635301589966,2.2401013374328613,2.276974678039551,2.2925281524658203,2.282865285873413,2.2516281604766846,2.267125129699707,2.2780568599700928,2.281175136566162,2.2586324214935303
