Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,2.4878382682800293,2.8534996509552,3.120567798614502,3.4632158279418945,3.3533267974853516,3.5864005088806152,3.3660786151885986,3.333860158920288,3.2978787422180176,3.265021562576294,3.401806116104126,3.109435796737671,1254.5955317020416
1,2.5661368370056152,3.075930118560791,3.175672769546509,3.3842334747314453,3.5074377059936523,3.4592983722686768,3.442570447921753,3.4350192546844482,3.4331555366516113,3.454042434692383,3.417968273162842,3.2000298500061035,1286.116019487381
2,2.5459392070770264,2.9233052730560303,3.2456555366516113,3.4008257389068604,3.5180845260620117,3.4733498096466064,3.4520986080169678,3.380352258682251,9.37471342086792,3.233441114425659,3.1906721591949463,3.0778589248657227,1182.8150725364685
3,2.4226584434509277,2.8294694423675537,3.0987231731414795,3.2736294269561768,3.429691791534424,3.4446158409118652,3.405503511428833,3.3902392387390137,3.3837828636169434,3.37609601020813,3.3747901916503906,3.3439440727233887,1276.816192150116
4,2.573930263519287,2.93416428565979,3.1548943519592285,3.3255436420440674,3.4460372924804688,3.419456720352173,3.415395498275757,3.372559070587158,9.434323072433472,3.2473812103271484,3.2021028995513916,3.0984435081481934,1184.6304910182953
5,2.348634958267212,2.6606192588806152,5.9376771450042725,3.092777967453003,3.291623592376709,3.3925564289093018,3.375180721282959,3.400759220123291,3.4124104976654053,3.3987042903900146,3.393676519393921,3.3644354343414307,1163.886195898056
6,2.638259172439575,2.930870294570923,3.1950266361236572,3.3743791580200195,3.448976993560791,3.435011148452759,3.414710521697998,3.2436258792877197,7.187727212905884,3.2972912788391113,3.243849754333496,3.1241724491119385,1184.4371621608734
7,2.4787051677703857,2.8883326053619385,3.167297124862671,3.347696304321289,3.498867988586426,3.489793062210083,3.4601938724517822,3.4547276496887207,3.446014881134033,3.4439165592193604,3.440605640411377,3.380918025970459,1288.7396104335785
8,2.7232773303985596,3.0779078006744385,3.4014081954956055,3.588425636291504,3.7161855697631836,3.716015100479126,3.653996467590332,7.870498180389404,3.8808910846710205,3.8615012168884277,3.776601791381836,3.708134412765503,1186.2661728858948
9,2.423438549041748,2.8378303050994873,3.1346521377563477,3.297642230987549,3.455860137939453,3.4976718425750732,3.5497257709503174,3.4910876750946045,3.509141683578491,3.4732019901275635,3.4518258571624756,3.431975841522217,1277.8812582492828
10,2.557002544403076,2.8717942237854004,3.1407461166381836,3.310340642929077,3.424424171447754,3.4238908290863037,3.3912887573242188,3.3703055381774902,3.3242673873901367,3.3155109882354736,3.2667415142059326,3.1630935668945312,1283.240258216858
11,2.3604400157928467,2.79119873046875,2.9467172622680664,3.186077833175659,3.367049217224121,3.3769373893737793,3.398291826248169,3.4174678325653076,3.418010711669922,3.401437282562256,3.3848819732666016,3.3331973552703857,1273.9190332889557
