Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,41.05324196815491,143.16092586517334,92.23877811431885,289.6700644493103,598.9619834423065,590.4930369853973,579.8303928375244,575.9498319625854,571.8088579177856,572.3671324253082,573.7247545719147,564.4510223865509,1078.6725442409515
1,40.63212776184082,143.3533055782318,92.02101302146912,288.8512387275696,590.639906167984,590.1398622989655,582.9371836185455,578.4809398651123,574.5416073799133,574.0388448238373,574.793977022171,564.5521328449249,1080.0324115753174
2,41.00865173339844,144.3624620437622,92.85728025436401,291.0934419631958,600.5230722427368,592.3610107898712,592.5849759578705,585.5009882450104,583.1514840126038,577.7719578742981,579.6328806877136,551.0442924499512,1054.7191548347473
3,42.99294137954712,145.5804374217987,95.84149384498596,289.97315764427185,600.7860295772552,594.4587790966034,588.3432416915894,584.9909586906433,583.2824537754059,583.0257954597473,579.4405689239502,550.357213973999,769.0490980148315
4,37.08540606498718,138.18082118034363,85.26637077331543,270.11268186569214,557.5556297302246,560.9805707931519,559.6734521389008,557.6154141426086,557.7119176387787,557.4190583229065,555.2645003795624,553.5988552570343,450.6064610481262
5,40.62284994125366,140.95203828811646,88.69025158882141,276.7584879398346,575.7983934879303,577.9534494876862,577.0086493492126,576.2348897457123,575.4998116493225,574.6206068992615,569.3778476715088,538.4509625434875,884.8209445476532
6,41.54014301300049,140.6316273212433,89.33331155776978,277.66085839271545,574.2874963283539,576.1707344055176,576.6310930252075,577.8563103675842,574.2245304584503,574.8261768817902,575.8738541603088,534.4547719955444,891.9250712394714
7,40.44856882095337,143.5004780292511,92.30275249481201,288.41349267959595,587.0810940265656,584.6572451591492,581.6651563644409,579.3231701850891,576.8151681423187,574.3801729679108,572.3889484405518,565.7357368469238,1069.7446579933167
8,41.09053826332092,140.4737229347229,89.07630729675293,277.1153039932251,574.8810341358185,577.4996991157532,576.8041021823883,575.209463596344,575.0911066532135,575.2725112438202,570.2260200977325,535.4839053153992,883.0148072242737
9,41.63204526901245,146.26104927062988,94.6431040763855,298.1081910133362,627.9722859859467,628.4023652076721,627.6068062782288,626.1201989650726,625.0709345340729,626.0066413879395,626.4996507167816,604.3918693065643,894.0221779346466
