Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,2.2679147720336914,2.3874001502990723,2.562065839767456,2.5949716567993164,2.590324878692627,2.5638885498046875,2.5524983406066895,2.529083728790283,2.509286880493164,2.4772112369537354,2.4415996074676514,2.4155051708221436,1524.9254126548767
1,2.1727840900421143,2.3262526988983154,2.4952468872070312,2.575623035430908,2.6090574264526367,2.595628499984741,2.5935189723968506,2.5511462688446045,2.5914642810821533,2.535630941390991,2.502657175064087,2.489917278289795,1529.3386697769165
2,2.0888426303863525,2.2320916652679443,2.498600482940674,2.4984354972839355,2.561350107192993,2.5050015449523926,3.0046026706695557,2.6022942066192627,2.610015392303467,2.6158273220062256,2.5558948516845703,2.512348175048828,1500.972059249878
3,2.261730432510376,2.2887961864471436,2.8217453956604004,2.5886988639831543,2.6281096935272217,2.6307215690612793,2.55472731590271,2.5191264152526855,2.5257794857025146,2.4275152683258057,2.3959221839904785,2.4304497241973877,1492.3861072063446
4,2.2788052558898926,2.403440475463867,2.486746311187744,2.5969676971435547,2.684464693069458,2.6390984058380127,2.629523992538452,2.6108689308166504,2.526623487472534,2.5320963859558105,2.431455135345459,2.4522604942321777,1493.5281896591187
5,2.2542943954467773,2.539562940597534,2.5879247188568115,2.6932687759399414,2.6478705406188965,2.6404168605804443,2.642646312713623,2.639845609664917,2.623972177505493,2.619544267654419,2.6087915897369385,2.557725429534912,449.696496963501
6,2.2736763954162598,2.3884873390197754,2.5697576999664307,2.5995895862579346,2.594770669937134,2.5707263946533203,2.5573155879974365,2.5202548503875732,2.498577833175659,2.4726521968841553,2.436483383178711,2.410919427871704,1523.78200340271
7,2.1134090423583984,2.321398973464966,2.577082872390747,2.6158854961395264,2.653384208679199,2.651777505874634,2.647794485092163,2.6490237712860107,2.6540915966033936,2.635831832885742,2.629171133041382,2.6216366291046143,435.64430570602417
8,2.144854784011841,2.4081478118896484,2.497828483581543,2.560892343521118,2.550828456878662,3.1385223865509033,2.6268389225006104,2.640561103820801,2.644716262817383,2.578585147857666,2.532540798187256,2.500945806503296,1498.725081205368
9,2.2400295734405518,2.3777008056640625,2.5530664920806885,2.5800905227661133,2.6136810779571533,2.5984439849853516,2.5888760089874268,2.585120916366577,2.584308385848999,2.531846761703491,2.5017127990722656,2.4017553329467773,1017.9374992847443
10,2.0752885341644287,2.1768693923950195,2.3511335849761963,2.4006850719451904,2.466001033782959,2.5232627391815186,2.560275077819824,2.5682942867279053,2.579455614089966,2.5745432376861572,2.542689800262451,2.531818151473999,1536.656737089157
11,2.3055315017700195,2.4307303428649902,2.610863447189331,2.644639015197754,2.6707651615142822,2.667398691177368,2.667948007583618,2.6509671211242676,2.6356379985809326,2.6245312690734863,2.5894062519073486,2.520585298538208,449.7715423107147
12,2.1265859603881836,2.350512742996216,2.571678638458252,2.6016600131988525,2.6312222480773926,2.6234869956970215,2.635406255722046,2.6186931133270264,2.6168298721313477,2.6136014461517334,2.5938477516174316,2.5545358657836914,1016.3000950813293
13,2.286423683166504,2.4138343334198,2.599046230316162,2.6301486492156982,2.657109498977661,2.659461259841919,2.6521177291870117,2.644191265106201,2.6342008113861084,2.6339211463928223,2.6144778728485107,2.552767753601074,450.5502736568451
14,2.1657092571258545,2.3051047325134277,2.501377582550049,2.457956314086914,2.6788687705993652,2.5882387161254883,2.600712776184082,2.6050939559936523,2.5453269481658936,2.5051562786102295,2.554919481277466,2.4137520790100098,1497.1627838611603
15,2.422762393951416,2.555183172225952,2.6965126991271973,2.6876578330993652,2.6626176834106445,2.60859751701355,2.5568366050720215,2.518908977508545,2.4987239837646484,2.5020852088928223,2.5064456462860107,2.575308322906494,1485.8303575515747
16,2.1459031105041504,2.381255626678467,2.589766025543213,2.6242947578430176,2.6525533199310303,2.65317440032959,2.6474499702453613,2.6374635696411133,2.635343551635742,2.633432626724243,2.5718369483947754,2.54754376411438,1020.1072239875793
17,2.1312575340270996,2.352351665496826,2.5910050868988037,2.633601665496826,2.669882297515869,2.666688919067383,2.6699602603912354,2.6684699058532715,2.673297166824341,2.649202585220337,2.646547794342041,2.638326644897461,448.46317291259766
18,2.122387647628784,2.236586093902588,2.4325003623962402,2.500952959060669,2.604945659637451,2.61436128616333,2.621251344680786,2.6304831504821777,2.635300636291504,2.604454755783081,2.592668294906616,2.5809247493743896,1534.662838935852
19,2.203521728515625,2.3542096614837646,2.5447542667388916,2.4772708415985107,2.6097657680511475,2.7362146377563477,2.6384871006011963,2.6211495399475098,2.5701568126678467,2.5254738330841064,2.485494613647461,2.4296483993530273,1495.9115331172943
20,2.097285509109497,2.2214488983154297,2.411545753479004,2.482358455657959,2.5601296424865723,2.584350824356079,2.592982292175293,2.590672731399536,2.563831329345703,2.5460898876190186,2.544527292251587,2.518031358718872,1533.324815750122
21,2.053041696548462,2.1633028984069824,2.32373309135437,2.393991231918335,2.7113754749298096,2.495008707046509,2.527998447418213,2.4824490547180176,3.0156784057617188,2.583462953567505,2.5902011394500732,2.624412775039673,1503.7900884151459
22,2.1173343658447266,2.234588861465454,2.49959397315979,2.629166603088379,2.652841806411743,2.661851167678833,2.775211811065674,2.6562912464141846,2.623657464981079,2.6049625873565674,2.610105514526367,2.5927395820617676,1002.4064989089966
23,2.101116895675659,2.2424142360687256,2.446035861968994,2.5202231407165527,2.5698938369750977,2.4751980304718018,2.5689172744750977,2.703035831451416,2.610301971435547,2.6029717922210693,2.548333168029785,2.5026798248291016,1500.4573152065277
24,2.063343048095703,2.311750888824463,2.3248846530914307,2.3497958183288574,2.3934459686279297,2.4211418628692627,2.577106475830078,2.5288145542144775,2.5894570350646973,2.5787439346313477,2.5910277366638184,2.565943479537964,1535.6792540550232
25,2.272641181945801,2.4165637493133545,2.602447748184204,2.6423497200012207,2.6661810874938965,2.6632401943206787,2.657773017883301,2.6554348468780518,2.636746883392334,2.635178327560425,2.6170809268951416,2.5662946701049805,450.9242081642151
26,2.103471279144287,2.253652334213257,2.5134408473968506,2.5258209705352783,2.583606481552124,4.333425045013428,2.610018491744995,2.6251044273376465,2.6300313472747803,2.5675816535949707,2.5162389278411865,2.477803945541382,1499.1803603172302
27,2.233214855194092,2.3804407119750977,2.5688047409057617,2.630298614501953,2.60565447807312,2.6082208156585693,2.5947275161743164,2.591296911239624,2.591177463531494,2.5518014430999756,2.5137715339660645,2.4415488243103027,1019.06751537323
28,2.1651458740234375,2.3540172576904297,2.565507411956787,2.5505623817443848,3.9590301513671875,2.6136622428894043,2.6233229637145996,2.6293842792510986,2.5632035732269287,2.5230839252471924,2.485934019088745,2.434622287750244,1497.1264016628265
29,2.1795623302459717,2.3381285667419434,2.524397134780884,2.56780743598938,2.5911953449249268,2.581725597381592,2.5450100898742676,2.5471324920654297,2.526132345199585,2.5068533420562744,2.4901926517486572,2.452428102493286,1526.6035377979279
30,2.078404188156128,2.177263021469116,2.3355088233947754,2.3904736042022705,2.46382474899292,2.4987857341766357,2.5392098426818848,2.55790376663208,4.0386340618133545,2.59893536567688,2.612231731414795,2.610339403152466,1504.216166973114
31,2.2084994316101074,2.389902353286743,2.52803635597229,2.5489351749420166,2.5555875301361084,2.4649829864501953,2.4810962677001953,3.0310659408569336,2.5249133110046387,2.610292911529541,2.562249183654785,2.593075752258301,537.9953775405884
32,2.248168706893921,2.352679491043091,2.5404276847839355,2.5722315311431885,2.6065216064453125,2.6191651821136475,2.599794387817383,2.5887370109558105,2.567322015762329,2.5510799884796143,2.5059704780578613,2.478646755218506,1526.206966161728
33,2.231762170791626,2.3877463340759277,2.5678372383117676,2.599914073944092,2.625305652618408,2.626523494720459,2.6192569732666016,2.618105411529541,2.6024293899536133,2.567744731903076,2.5403733253479004,2.4682846069335938,1018.2398872375488
34,2.2507150173187256,2.4104905128479004,2.589454174041748,2.624397039413452,2.648531436920166,2.64200496673584,2.634138584136963,2.6297240257263184,2.6282687187194824,2.588536024093628,2.55574369430542,2.48583984375,1018.6246159076691
35,2.0997934341430664,2.2031493186950684,2.353585720062256,2.410965919494629,2.557845115661621,2.635565996170044,2.650973081588745,2.6578354835510254,2.6636152267456055,2.673715829849243,2.671196937561035,2.666048765182495,382.87948346138
36,2.2260868549346924,2.388500928878784,2.553844928741455,2.589534282684326,2.6186625957489014,2.6119070053100586,2.6022655963897705,2.5897552967071533,2.5985169410705566,2.5569052696228027,2.522390365600586,2.4545648097991943,1018.0773651599884
37,2.210317373275757,2.428283452987671,2.6045546531677246,2.647768020629883,2.6801838874816895,2.6813738346099854,2.6738932132720947,2.6781022548675537,2.6614861488342285,2.655824899673462,2.65751576423645,2.620161771774292,447.12469244003296
38,2.262294054031372,2.361037015914917,2.5297162532806396,2.5494391918182373,2.5390803813934326,2.520054578781128,2.55659556388855,2.4851818084716797,2.4593379497528076,2.4681031703948975,2.430088996887207,2.420238733291626,1525.5627522468567
39,2.1016929149627686,2.21195912361145,2.4155354499816895,2.486143112182617,2.5487942695617676,2.576716423034668,2.564849615097046,3.494593620300293,2.623471260070801,2.64029598236084,2.6419105529785156,2.578718662261963,1503.5982298851013
40,2.1734774112701416,2.3265743255615234,2.5342564582824707,2.5897510051727295,2.5259623527526855,2.6182596683502197,2.847614288330078,2.650463819503784,2.635035753250122,2.6199791431427,2.5447256565093994,2.5043137073516846,1497.8945128917694
41,2.1037650108337402,2.2142252922058105,2.416537046432495,2.48683762550354,2.56003475189209,2.5870471000671387,2.5712361335754395,3.4501445293426514,2.6416993141174316,2.6547434329986572,2.657818555831909,2.591066837310791,1501.5687773227692
42,2.0794951915740967,2.200859785079956,2.4067482948303223,2.4792613983154297,2.542355537414551,2.568545341491699,2.4806761741638184,2.575096368789673,2.6117255687713623,2.6229748725891113,2.6169466972351074,2.5652012825012207,1502.9000437259674
43,2.137917995452881,2.292811870574951,2.5119822025299072,2.788846731185913,2.6003122329711914,2.609225273132324,2.592521905899048,2.565303087234497,2.556252956390381,2.5434694290161133,2.502685546875,2.479910373687744,1529.3658220767975
44,2.12290096282959,2.2621138095855713,2.59989070892334,2.5606002807617188,2.601109027862549,2.5916860103607178,2.5909674167633057,2.562664747238159,2.545997381210327,2.549283981323242,2.534820556640625,2.5085408687591553,1530.4863815307617
45,2.0665628910064697,2.1653337478637695,2.3057823181152344,2.343630313873291,2.34791898727417,2.3582215309143066,2.349275827407837,2.3914921283721924,2.3447823524475098,2.364563226699829,2.3619871139526367,2.346931219100952,779.5840468406677
46,2.1980602741241455,2.3712525367736816,2.5709285736083984,2.601010322570801,2.6237685680389404,2.6331052780151367,2.6182644367218018,2.603588581085205,2.605889081954956,2.5886549949645996,2.542311429977417,2.5075571537017822,1017.2963049411774
47,2.1061086654663086,2.3417789936065674,2.578765392303467,2.612055778503418,2.6358511447906494,2.6346006393432617,2.6546404361724854,2.620516300201416,2.623220205307007,2.6314117908477783,2.5730621814727783,2.5393455028533936,1010.4871063232422
48,2.1325948238372803,2.2402868270874023,2.4582154750823975,2.7636878490448,2.5885581970214844,2.6238768100738525,2.5493147373199463,2.7762038707733154,2.6602869033813477,2.6839706897735596,2.6793246269226074,2.6157548427581787,1502.649808883667
